"iteration","seed","algorithm","gene","importance","rank","selected"
1,20270719,"LASSO","P2RY10",2.53981055996373,1,TRUE
1,20270719,"LASSO","CCR3",0.620884745913109,2,TRUE
1,20270719,"LASSO","EOMES",0.40843488743338,3,TRUE
1,20270719,"LASSO","GADD45A",0.287436403689153,4,TRUE
1,20270719,"LASSO","KLRG1",0.233694249966035,5,TRUE
1,20270719,"LASSO","FCER1A",0.194411151061229,6,TRUE
1,20270719,"LASSO","AGAP4",0.191496902926827,7,TRUE
1,20270719,"LASSO","PAFAH2",0.130593448033046,8,TRUE
1,20270719,"glmBoost","P2RY10",1.16444853886427,1,TRUE
1,20270719,"glmBoost","CCR3",0.294288527351737,2,TRUE
1,20270719,"glmBoost","EOMES",0.182289839392163,3,TRUE
1,20270719,"glmBoost","C19orf59",0.110154574864298,4,TRUE
1,20270719,"glmBoost","FCER1A",0.104439311497726,5,TRUE
1,20270719,"glmBoost","KLRG1",0.0949563375752454,6,TRUE
1,20270719,"glmBoost","GADD45A",0.0824888948268626,7,TRUE
1,20270719,"glmBoost","AGAP4",0.0558835644744315,8,TRUE
1,20270719,"glmBoost","PAFAH2",0.0367116250226398,9,TRUE
1,20270719,"Ranger","FAIM3",0.0205991331108978,1,TRUE
1,20270719,"Ranger","UPP1",0.0183677230332455,2,TRUE
1,20270719,"Ranger","CAMK2D",0.0173074300017182,3,TRUE
1,20270719,"Ranger","TRAF5",0.0164093774180731,4,TRUE
1,20270719,"Ranger","IL2RB",0.0163703052096645,5,TRUE
1,20270719,"Ranger","Septin 9",0.0152200197463355,6,TRUE
1,20270719,"Ranger","P2RY10",0.0146798112074731,7,TRUE
1,20270719,"Ranger","S100A8",0.0139336021212451,8,TRUE
1,20270719,"Ranger","KDM2B",0.0137068730913125,9,TRUE
1,20270719,"Ranger","GATA3",0.011568750937172,10,TRUE
1,20270719,"Ranger","CCR3",0.0113936162729002,11,TRUE
1,20270719,"Ranger","C5orf32",0.0112585957647743,12,TRUE
1,20270719,"Ranger","BCL11B",0.0110583223539745,13,TRUE
1,20270719,"Ranger","LOC644006",0.0105862433862434,14,TRUE
1,20270719,"Ranger","PJA1",0.0103791423001949,15,TRUE
1,20270719,"Ranger","RNF125",0.0100066983315065,16,TRUE
1,20270719,"Ranger","EVL",0.00936247327551675,17,TRUE
1,20270719,"Ranger","NR1D2",0.00860287081339713,18,TRUE
1,20270719,"Ranger","TRA@",0.00844268774703557,19,TRUE
1,20270719,"Ranger","SIRPG",0.00802010956244366,20,TRUE
1,20270719,"Ranger","TMEM109",0.00776222183026134,21,FALSE
1,20270719,"Ranger","TSHZ1",0.00771458106545826,22,FALSE
1,20270719,"Ranger","GOLGA8A",0.0075719298245614,23,FALSE
1,20270719,"Ranger","ST6GAL1",0.00754441659704818,24,FALSE
1,20270719,"Ranger","CD96",0.00709090909090909,25,FALSE
