"iteration","seed","algorithm","ROC_AUC","PR_AUC","sensitivity","specificity","balanced_accuracy","PPV","NPV","F1","MCC","Brier","calibration_slope"
1,20270719,"LASSO",1,1,1,1,1,1,1,1,1,0.00629268503721277,15.8522573997777
1,20270719,"glmBoost",1,1,1,1,1,1,1,1,1,0.00696100455707401,17.8615804542628
1,20270719,"Ranger",1,1,1,1,1,1,1,1,1,0.00199490740740741,10.1593579621699
1,20270719,"XGBoost",1,1,1,1,1,1,1,1,1,0.00325634048380997,12.2255922385201
2,20270720,"LASSO",1,1,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.0304265761346851,104.831670033072
2,20270720,"glmBoost",1,1,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.0273827316523117,71.0061163488476
2,20270720,"Ranger",1,1,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.0298731481481481,83.2265170940367
2,20270720,"XGBoost",0.993055555555556,0.993329774360539,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.833333333333333,0.0723627918982388,0.824224783509525
3,20270721,"LASSO",1,1,1,1,1,1,1,1,1,0.00461824468191286,11.468463284458
3,20270721,"glmBoost",1,1,1,1,1,1,1,1,1,0.00893213139128433,15.4697637258949
3,20270721,"Ranger",1,1,1,1,1,1,1,1,1,0.0134953703703704,18.9474032643363
3,20270721,"XGBoost",1,1,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.0277180009546755,26.0292352973368
4,20270722,"LASSO",1,1,1,1,1,1,1,1,1,0.0048729765743775,11.8451127337972
4,20270722,"glmBoost",1,1,1,1,1,1,1,1,1,0.00218152649647704,10.2020680600243
4,20270722,"Ranger",1,1,1,1,1,1,1,1,1,0.00311018518518519,8.93542049474543
4,20270722,"XGBoost",1,1,1,1,1,1,1,1,1,0.00162458557715771,8.17876947962671
5,20270723,"LASSO",1,1,1,1,1,1,1,1,1,0.00263820369016406,11.1411587302753
5,20270723,"glmBoost",1,1,1,1,1,1,1,1,1,0.00651507703774093,15.3962983155554
5,20270723,"Ranger",1,1,1,1,1,1,1,1,1,0.0149680555555556,23.8251242491411
5,20270723,"XGBoost",0.993055555555556,0.993329774360539,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.833333333333333,0.0524035750456907,1.06772121452008
6,20270724,"LASSO",0.993055555555556,0.993329774360539,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.0496074245916502,2.62345480390786
6,20270724,"glmBoost",1,1,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.0463970719270876,400.004347711076
6,20270724,"Ranger",1,1,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.0254393518518518,21.1102825653704
6,20270724,"XGBoost",0.986111111111111,0.987833468311096,0.833333333333333,1,0.916666666666667,1,0.857142857142857,0.909090909090909,0.845154254728517,0.0762039127336177,69.5767493534157
7,20270725,"LASSO",1,1,1,1,1,1,1,1,1,0.00752136043703573,14.6861200229444
7,20270725,"glmBoost",1,1,1,1,1,1,1,1,1,0.0111282545963549,17.52399177226
7,20270725,"Ranger",1,1,1,1,1,1,1,1,1,0.00513472222222222,13.7791363363804
7,20270725,"XGBoost",1,1,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.0379036504211291,22.7209737715213
8,20270726,"LASSO",1,1,1,1,1,1,1,1,1,0.000553146901589587,7.90676466176308
8,20270726,"glmBoost",1,1,1,1,1,1,1,1,1,0.00249310654574001,10.3887790560935
8,20270726,"Ranger",1,1,1,1,1,1,1,1,1,0.00332824074074074,9.09582714901408
8,20270726,"XGBoost",1,1,1,1,1,1,1,1,1,0.00179358303942862,8.74671018124011
9,20270727,"LASSO",1,1,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.0133868894036629,14.2104427364122
9,20270727,"glmBoost",1,1,1,1,1,1,1,1,1,0.00935664582343225,15.0329402863131
9,20270727,"Ranger",1,1,1,1,1,1,1,1,1,0.00889351851851852,11.6671892857349
9,20270727,"XGBoost",1,1,1,1,1,1,1,1,1,0.001388533252247,7.86122217653484
10,20270728,"LASSO",1,1,1,1,1,1,1,1,1,0.0140018104427029,26.7128287740658
10,20270728,"glmBoost",1,1,1,1,1,1,1,1,1,0.0164568781037332,25.6262171913313
10,20270728,"Ranger",1,1,1,1,1,1,1,1,1,0.0162925925925926,22.9390840863847
10,20270728,"XGBoost",1,1,1,1,1,1,1,1,1,0.00232701094449153,11.3388593646622
11,20270729,"LASSO",1,1,1,1,1,1,1,1,1,0.0066056191981868,17.0398831938302
11,20270729,"glmBoost",1,1,1,1,1,1,1,1,1,0.00524682848560951,16.0719602866025
11,20270729,"Ranger",1,1,1,1,1,1,1,1,1,0.00302777777777778,12.1356507295397
11,20270729,"XGBoost",1,1,1,1,1,1,1,1,1,0.00139671527141417,7.8709161258973
12,20270730,"LASSO",1,1,1,1,1,1,1,1,1,0.0066880842486403,14.3879394577051
12,20270730,"glmBoost",1,1,1,1,1,1,1,1,1,0.00486441267799056,13.2753525847199
12,20270730,"Ranger",1,1,1,1,1,1,1,1,1,0.00255138888888889,10.7141030271427
12,20270730,"XGBoost",0.993055555555556,0.993329774360539,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.833333333333333,0.0531405488123313,1.09582849529535
13,20270731,"LASSO",1,1,1,1,1,1,1,1,1,0.00233455426295041,11.0906098060576
13,20270731,"glmBoost",1,1,1,1,1,1,1,1,1,0.00542866838439714,14.9364448633511
13,20270731,"Ranger",1,1,1,1,1,1,1,1,1,0.0142953703703704,18.6475231468122
13,20270731,"XGBoost",1,1,1,0.916666666666667,0.958333333333333,0.923076923076923,1,0.96,0.9198662110078,0.032195300667543,36.9531992381878
14,20270732,"LASSO",1,1,1,1,1,1,1,1,1,0.0183670797678094,87.7328892762312
14,20270732,"glmBoost",1,1,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.021847006860312,166.528536161126
14,20270732,"Ranger",1,1,1,1,1,1,1,1,1,0.0233861111111111,190.573102718569
14,20270732,"XGBoost",0.993055555555556,0.993329774360539,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.833333333333333,0.0632930637236089,0.954792573842642
15,20270733,"LASSO",1,1,1,1,1,1,1,1,1,0.0108958313797126,29.7228132526419
15,20270733,"glmBoost",1,1,1,1,1,1,1,1,1,0.0132881889778435,35.7418517822469
15,20270733,"Ranger",1,1,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.0128351851851852,21.0882576779773
15,20270733,"XGBoost",0.989583333333333,0.990448058297346,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.0397871144135709,9.20287527769015
16,20270734,"LASSO",1,1,1,1,1,1,1,1,1,0.0100061047549648,13.3693423109314
16,20270734,"glmBoost",1,1,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.0183711866451623,21.2793836125657
16,20270734,"Ranger",1,1,1,1,1,1,1,1,1,0.010374537037037,16.5639622190211
16,20270734,"XGBoost",1,1,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.041929399817893,37.4341333002138
17,20270735,"LASSO",1,1,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.0125183585773005,13.686034794167
17,20270735,"glmBoost",1,1,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.0133250259531728,16.4694072280332
17,20270735,"Ranger",1,1,1,1,1,1,1,1,1,0.0105902777777778,13.0902733858022
17,20270735,"XGBoost",1,1,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.0387308501335314,108.023770967983
18,20270736,"LASSO",1,1,1,1,1,1,1,1,1,0.0221864660480796,32.6195675151108
18,20270736,"glmBoost",1,1,1,1,1,1,1,1,1,0.00390955780036263,13.0524211193955
18,20270736,"Ranger",1,1,1,1,1,1,1,1,1,0.0125578703703704,39.1345309463285
18,20270736,"XGBoost",1,1,1,1,1,1,1,1,1,0.00132473668985391,8.15249219234715
19,20270737,"LASSO",1,1,1,1,1,1,1,1,1,0.0257224233242127,39.6685326966838
19,20270737,"glmBoost",1,1,1,1,1,1,1,1,1,0.0181763978403049,33.1538457025362
19,20270737,"Ranger",1,1,1,1,1,1,1,1,1,0.0215119212962963,35.5770150407577
19,20270737,"XGBoost",1,1,1,0.916666666666667,0.958333333333333,0.923076923076923,1,0.96,0.9198662110078,0.0210998999858229,23.4306152713914
20,20270738,"LASSO",0.916666666666667,0.957440385581204,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.0575353764241831,0.659088843370293
20,20270738,"glmBoost",0.916666666666667,0.957440385581204,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.0598584200256102,0.773245648143708
20,20270738,"Ranger",0.993055555555556,0.993329774360539,0.916666666666667,1,0.958333333333333,1,0.923076923076923,0.956521739130435,0.9198662110078,0.0450865740740741,1.66129935617312
20,20270738,"XGBoost",0.947916666666667,0.96449538390086,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.833333333333333,0.0742959977523588,0.892624607846576
21,20270739,"LASSO",1,1,1,1,1,1,1,1,1,0.00308766687372083,12.294757514192
21,20270739,"glmBoost",1,1,1,1,1,1,1,1,1,0.00394099627297971,12.1009511813082
21,20270739,"Ranger",1,1,1,1,1,1,1,1,1,0.003875,11.5967560723339
21,20270739,"XGBoost",1,1,1,1,1,1,1,1,1,0.00179087892990101,9.01413642673355
22,20270740,"LASSO",1,1,1,1,1,1,1,1,1,0.00329085509563472,13.3713640694279
