"regime","algorithm","total_units","selected_units","selection_frequency","rank_median","rank_q1","rank_q3"
"Weighted nested CV","LASSO",100,100,1,1,1,2
"Weighted nested CV","glmBoost",100,100,1,1,1,1
"Weighted nested CV","Ranger",100,100,1,94,92,97
"Weighted nested CV","XGBoost",100,99,0.99,1,1,2
"Unweighted nested CV","LASSO",100,100,1,1,1,1
"Unweighted nested CV","glmBoost",100,100,1,1,1,1
"Unweighted nested CV","Ranger",100,100,1,3,2,3
"Unweighted nested CV","XGBoost",100,99,0.99,3,2,4
"Training-fold downsampling","LASSO",100,54,0.54,3.5,2.25,6.75
"Training-fold downsampling","glmBoost",100,69,0.69,5,2,8
"Training-fold downsampling","Ranger",100,100,1,10,5,23.25
"Training-fold downsampling","XGBoost",100,30,0.3,3,2,4.75
"Repeated 1:1 downsampling","LASSO",200,123,0.615,5,3,8
"Repeated 1:1 downsampling","glmBoost",200,127,0.635,5,2,8
"Repeated 1:1 downsampling","Ranger",200,196,0.98,16,7,37.25
"Repeated 1:1 downsampling","XGBoost",200,46,0.23,3,2,4
"Stratified bootstrap","LASSO",1000,999,0.999,1,1,1
"Stratified bootstrap","glmBoost",1000,1000,1,1,1,1
"Stratified bootstrap","Ranger",1000,1000,1,3,2,4
"Stratified bootstrap","XGBoost",1000,975,0.975,3,2,5
