"fold","strategy","algorithm","gene","importance","rank","selected"
"Fold1.Rep01","unweighted","LASSO","S100A8",1.02923689413644,1,TRUE
"Fold1.Rep01","unweighted","LASSO","TBC1D4",0.379851072613476,2,TRUE
"Fold1.Rep01","unweighted","LASSO","IKZF2",0.178562081960148,3,TRUE
"Fold1.Rep01","unweighted","LASSO","PID1",0.078734450064438,4,TRUE
"Fold1.Rep01","unweighted","LASSO","CD160",0.0624483563876194,5,TRUE
"Fold1.Rep01","unweighted","LASSO","ARG1",0.053652331388993,6,TRUE
"Fold1.Rep01","unweighted","LASSO","GATA2",0.0263866624228584,7,TRUE
"Fold1.Rep01","unweighted","LASSO","EPHX2",0.00445307365035969,8,TRUE
"Fold1.Rep01","unweighted","glmBoost","S100A8",0.395872469793751,1,TRUE
"Fold1.Rep01","unweighted","glmBoost","TBC1D4",0.103431983800126,2,TRUE
"Fold1.Rep01","unweighted","glmBoost","IKZF2",0.0739732001593754,3,TRUE
"Fold1.Rep01","unweighted","glmBoost","EPHX2",0.039353217199899,4,TRUE
"Fold1.Rep01","unweighted","glmBoost","PID1",0.0385449906849272,5,TRUE
"Fold1.Rep01","unweighted","glmBoost","GATA2",0.0318208966027611,6,TRUE
"Fold1.Rep01","unweighted","glmBoost","CD160",0.0300963406824756,7,TRUE
"Fold1.Rep01","unweighted","glmBoost","PTCH1",0.0276812071234595,8,TRUE
"Fold1.Rep01","unweighted","Ranger","C5orf32",0.00637582712945951,1,TRUE
"Fold1.Rep01","unweighted","Ranger","S100A8",0.00514389780631195,2,TRUE
"Fold1.Rep01","unweighted","Ranger","S100A12",0.00487090830810731,3,TRUE
"Fold1.Rep01","unweighted","Ranger","C19orf59",0.00463675099529942,4,TRUE
"Fold1.Rep01","unweighted","Ranger","ANXA3",0.00333419959998564,5,TRUE
"Fold1.Rep01","unweighted","Ranger","ARG1",0.00278773742507518,6,TRUE
"Fold1.Rep01","unweighted","Ranger","TRA@",0.00207306907475085,7,TRUE
"Fold1.Rep01","unweighted","Ranger","UPP1",0.00194706097458494,8,TRUE
"Fold1.Rep01","unweighted","Ranger","NMT2",0.00182657018649154,9,TRUE
"Fold1.Rep01","unweighted","Ranger","NOV",0.0017476226628216,10,TRUE
"Fold1.Rep01","unweighted","Ranger","PID1",0.00173296892116359,11,TRUE
"Fold1.Rep01","unweighted","Ranger","Septin 9",0.00172827641096636,12,TRUE
"Fold1.Rep01","unweighted","Ranger","GATA2",0.00124889345824785,13,TRUE
"Fold1.Rep01","unweighted","Ranger","P2RY10",0.00120550537628557,14,TRUE
"Fold1.Rep01","unweighted","Ranger","METTL9",0.00111860875491805,15,TRUE
"Fold1.Rep01","unweighted","Ranger","FAM43A",0.00104734905562649,16,TRUE
"Fold1.Rep01","unweighted","Ranger","SSBP2",0.00102830888989554,17,TRUE
"Fold1.Rep01","unweighted","Ranger","KIAA0748",0.000907850895505548,18,TRUE
