"fold","strategy","algorithm","gene","importance","rank","selected"
"Fold1.Rep01","weighted","LASSO","ARG1",1.06089057418268,1,TRUE
"Fold1.Rep01","weighted","LASSO","S100A8",0.961309500128071,2,TRUE
"Fold1.Rep01","weighted","LASSO","PID1",0.655418062813197,3,TRUE
"Fold1.Rep01","weighted","LASSO","TBC1D4",0.536419682368426,4,TRUE
"Fold1.Rep01","weighted","LASSO","FAM43A",0.535003349335643,5,TRUE
"Fold1.Rep01","weighted","LASSO","NOV",0.505848788916835,6,TRUE
"Fold1.Rep01","weighted","LASSO","GATA2",0.411388410163211,7,TRUE
"Fold1.Rep01","weighted","LASSO","TCTN1",0.390453137959178,8,TRUE
"Fold1.Rep01","weighted","LASSO","IKZF2",0.382267934890293,9,TRUE
"Fold1.Rep01","weighted","LASSO","CD160",0.326692149104701,10,TRUE
"Fold1.Rep01","weighted","LASSO","PAFAH2",0.31042178906842,11,TRUE
"Fold1.Rep01","weighted","LASSO","SIGLECP3",0.244393653651791,12,TRUE
"Fold1.Rep01","weighted","LASSO","C19orf59",0.201109868508814,13,TRUE
"Fold1.Rep01","weighted","glmBoost","S100A8",0.176232792165698,1,TRUE
"Fold1.Rep01","weighted","glmBoost","ARG1",0.103641621764976,2,TRUE
"Fold1.Rep01","weighted","glmBoost","P2RY10",0.0976832074757816,3,TRUE
"Fold1.Rep01","weighted","glmBoost","PID1",0.0889811298197314,4,TRUE
"Fold1.Rep01","weighted","glmBoost","TBC1D4",0.0846445116295098,5,TRUE
"Fold1.Rep01","weighted","glmBoost","NOV",0.0610695194778357,6,TRUE
"Fold1.Rep01","weighted","glmBoost","CD160",0.0417340675578441,7,TRUE
"Fold1.Rep01","weighted","glmBoost","TCTN1",0.0417225671710487,8,TRUE
"Fold1.Rep01","weighted","glmBoost","C19orf59",0.0374438581807442,9,TRUE
"Fold1.Rep01","weighted","glmBoost","FAM43A",0.0142751315589812,10,TRUE
"Fold1.Rep01","weighted","glmBoost","SIGLECP3",0.0124743600529737,11,TRUE
"Fold1.Rep01","weighted","glmBoost","IKZF2",0.00535619864789855,12,TRUE
"Fold1.Rep01","weighted","Ranger","TBC1D4",2.35294117647058e-05,1,TRUE
"Fold1.Rep01","weighted","Ranger","NAT10",1.15822595145338e-05,2,TRUE
"Fold1.Rep01","weighted","Ranger","LRRN3",1.07967129036017e-05,3,TRUE
"Fold1.Rep01","weighted","Ranger","GATA2",5.43825254172559e-06,4,TRUE
"Fold1.Rep01","weighted","Ranger","POLR1B",4.96656675368756e-06,5,TRUE
"Fold1.Rep01","weighted","Ranger","ZNF549",0,6,TRUE
"Fold1.Rep01","weighted","Ranger","KLF12",0,7,TRUE
"Fold1.Rep01","weighted","Ranger","ZNHIT6",0,8,TRUE
"Fold1.Rep01","weighted","Ranger","GCET2",0,9,TRUE
"Fold1.Rep01","weighted","Ranger","C12orf65",0,10,TRUE
"Fold1.Rep01","weighted","Ranger","SYNJ2BP",0,11,TRUE
"Fold1.Rep01","weighted","Ranger","MAN1C1",-5.46974641932119e-06,12,TRUE
"Fold1.Rep01","weighted","Ranger","KIAA0182",-5.71428571428556e-06,13,TRUE
"Fold1.Rep01","weighted","Ranger","CD160",-1.0958904109589e-05,14,TRUE
"Fold1.Rep01","weighted","Ranger","ANAPC1",-1.11111111111111e-05,15,TRUE
"Fold1.Rep01","weighted","Ranger","FLT3LG",-1.60314373900137e-05,16,TRUE
"Fold1.Rep01","weighted","Ranger","TIGIT",-1.65505025804373e-05,17,TRUE
"Fold1.Rep01","weighted","Ranger","BACH2",-1.69284129864888e-05,18,TRUE
"Fold1.Rep01","weighted","Ranger","DCAF16",-1.72236188857287e-05,19,TRUE
"Fold1.Rep01","weighted","Ranger","INPP4B",-1.75418487939127e-05,20,TRUE
"Fold1.Rep01","weighted","Ranger","SIGLECP3",-2.25955178578237e-05,21,FALSE
"Fold1.Rep01","weighted","Ranger","ABHD15",-2.26162421876808e-05,22,FALSE
"Fold1.Rep01","weighted","Ranger","TTC27",-2.35143101489232e-05,23,FALSE
"Fold1.Rep01","weighted","Ranger","IL11RA",-2.79487839704125e-05,24,FALSE
"Fold1.Rep01","weighted","Ranger","FANCF",-2.79587922971767e-05,25,FALSE
"Fold1.Rep01","weighted","Ranger","SLC7A6",-2.80112044817928e-05,26,FALSE
"Fold1.Rep01","weighted","Ranger","METTL9",-2.82667673811097e-05,27,FALSE
"Fold1.Rep01","weighted","Ranger","RABL2A",-2.8564488705368e-05,28,FALSE
"Fold1.Rep01","weighted","Ranger","PAQR8",-3.3506930223226e-05,29,FALSE
"Fold1.Rep01","weighted","Ranger","SIDT1",-3.80599777860053e-05,30,FALSE
"Fold1.Rep01","weighted","Ranger","NELL2",-3.94402579800441e-05,31,FALSE
"Fold1.Rep01","weighted","Ranger","PATZ1",-3.96766965428936e-05,32,FALSE
"Fold1.Rep01","weighted","Ranger","NUP160",-4.02284242388451e-05,33,FALSE
"Fold1.Rep01","weighted","Ranger","LEF1",-4.10639524680991e-05,34,FALSE
