"fold","strategy","algorithm","ROC_AUC","PR_AUC","sensitivity","specificity","balanced_accuracy","PPV","NPV","F1","MCC","Brier","calibration_slope"
"Fold1.Rep01","weighted","LASSO",1,1,0.986842105263158,1,0.993421052631579,1,0.818181818181818,0.993377483443709,0.898563446809731,0.0070833533976567,106.401194449237
"Fold1.Rep01","weighted","glmBoost",1,1,0.973684210526316,1,0.986842105263158,1,0.692307692307692,0.986666666666667,0.821029274037114,0.0356841259732557,109.329274136343
"Fold1.Rep01","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.00213788819875776,22.31513328572
"Fold1.Rep01","weighted","XGBoost",1,1,1,1,1,1,1,1,1,0.00254809261760873,12.719687557833
"Fold2.Rep01","weighted","LASSO",1,1,0.986842105263158,1,0.993421052631579,1,0.8,0.993377483443709,0.888523316638638,0.00698657268692148,18.7996972565193
"Fold2.Rep01","weighted","glmBoost",0.999177631578947,0.999956859206933,0.967105263157895,1,0.983552631578947,1,0.615384615384615,0.983277591973244,0.771454276289177,0.0692150293215382,5.19429545659605
"Fold2.Rep01","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.002071575,35.2357798133149
"Fold2.Rep01","weighted","XGBoost",1,1,1,1,1,1,1,1,1,0.00458339758520771,23.7659304294299
"Fold3.Rep01","weighted","LASSO",1,1,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00730063057816281,50.7524308952581
"Fold3.Rep01","weighted","glmBoost",1,1,0.973684210526316,1,0.986842105263158,1,0.666666666666667,0.986666666666667,0.805681579172283,0.040827268194541,98.0759668896329
"Fold3.Rep01","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.00325715,20.269731510273
"Fold3.Rep01","weighted","XGBoost",0.999177631578947,0.999956859206933,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00959028699722646,3.05057409828976
"Fold4.Rep01","weighted","LASSO",0.999269005847953,0.999956859206933,0.993421052631579,1,0.996710526315789,1,0.9,0.996699669966997,0.945557479674515,0.0127331322330251,2.55712195269352
"Fold4.Rep01","weighted","glmBoost",0.999269005847953,0.999956859206933,0.973684210526316,1,0.986842105263158,1,0.692307692307692,0.986666666666667,0.821029274037114,0.0354445550368324,5.03981936371108
"Fold4.Rep01","weighted","Ranger",1,1,1,0.888888888888889,0.944444444444444,0.993464052287582,1,0.99672131147541,0.939722915326088,0.00423242236024845,522.302501747814
"Fold4.Rep01","weighted","XGBoost",0.999269005847953,0.999956859206933,0.993421052631579,1,0.996710526315789,1,0.9,0.996699669966997,0.945557479674515,0.00666123552603914,2.02104347520224
"Fold5.Rep01","weighted","LASSO",0.999177631578947,0.999956859206933,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00945596570802172,3.08225250631124
"Fold5.Rep01","weighted","glmBoost",0.999177631578947,0.999956859206933,0.973684210526316,1,0.986842105263158,1,0.666666666666667,0.986666666666667,0.805681579172283,0.0628137806515666,6.48559804856091
"Fold5.Rep01","weighted","Ranger",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.0036912,91.1224169216386
"Fold5.Rep01","weighted","XGBoost",0.998355263157895,0.999913433654095,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.0071236474797952,3.90390401706171
"Fold1.Rep02","weighted","LASSO",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.0024914557337775,24.5846443282516
