"fold","strategy","algorithm","gene"
"Fold1.Rep01","weighted","LASSO","S100A8"
"Fold1.Rep01","weighted","LASSO","S100A12"
"Fold1.Rep01","weighted","LASSO","NMT2"
"Fold1.Rep01","weighted","LASSO","EPHX2"
"Fold1.Rep01","weighted","LASSO","ANXA3"
"Fold1.Rep01","weighted","LASSO","GATA3"
"Fold1.Rep01","weighted","LASSO","ARG1"
"Fold1.Rep01","weighted","LASSO","PTCH1"
"Fold1.Rep01","weighted","LASSO","P2RY10"
"Fold1.Rep01","weighted","LASSO","TBC1D4"
"Fold1.Rep01","weighted","LASSO","GATA2"
"Fold1.Rep01","weighted","LASSO","C19orf59"
"Fold1.Rep01","weighted","LASSO","LRRN3"
"Fold1.Rep01","weighted","LASSO","IKZF2"
"Fold1.Rep01","weighted","LASSO","C5orf32"
"Fold1.Rep01","weighted","LASSO","ABLIM1"
"Fold1.Rep01","weighted","LASSO","NELL2"
"Fold1.Rep01","weighted","LASSO","OSGEPL1"
"Fold1.Rep01","weighted","LASSO","CD96"
"Fold1.Rep01","weighted","LASSO","PJA1"
"Fold1.Rep01","weighted","LASSO","DCAF16"
"Fold1.Rep01","weighted","LASSO","THEM4"
"Fold1.Rep01","weighted","LASSO","NR1D2"
"Fold1.Rep01","weighted","LASSO","CD160"
"Fold1.Rep01","weighted","LASSO","FBXL16"
"Fold1.Rep01","weighted","LASSO","DYRK2"
"Fold1.Rep01","weighted","LASSO","FAM102A"
"Fold1.Rep01","weighted","LASSO","LEF1"
"Fold1.Rep01","weighted","LASSO","POLR1B"
"Fold1.Rep01","weighted","LASSO","CCR6"
"Fold1.Rep01","weighted","LASSO","C2orf89"
"Fold1.Rep01","weighted","LASSO","TTC27"
"Fold1.Rep01","weighted","LASSO","SBK1"
"Fold1.Rep01","weighted","LASSO","ZNF549"
"Fold1.Rep01","weighted","LASSO","KLF12"
"Fold1.Rep01","weighted","LASSO","PLEKHA1"
"Fold1.Rep01","weighted","LASSO","TXN"
"Fold1.Rep01","weighted","LASSO","FAM50B"
"Fold1.Rep01","weighted","LASSO","KIAA0182"
"Fold1.Rep01","weighted","LASSO","MAN1C1"
"Fold1.Rep01","weighted","LASSO","NAT10"
"Fold1.Rep01","weighted","LASSO","ZNHIT6"
"Fold1.Rep01","weighted","LASSO","FAM43A"
"Fold1.Rep01","weighted","LASSO","BACH2"
"Fold1.Rep01","weighted","LASSO","KIAA0748"
"Fold1.Rep01","weighted","LASSO","RNASEN"
"Fold1.Rep01","weighted","LASSO","PAQR8"
"Fold1.Rep01","weighted","LASSO","BCKDHB"
"Fold1.Rep01","weighted","LASSO","RNF125"
"Fold1.Rep01","weighted","LASSO","SIRPG"
"Fold1.Rep01","weighted","LASSO","RABL2A"
"Fold1.Rep01","weighted","LASSO","PTGDR"
"Fold1.Rep01","weighted","LASSO","MTR"
"Fold1.Rep01","weighted","LASSO","PAFAH2"
"Fold1.Rep01","weighted","LASSO","GCET2"
"Fold1.Rep01","weighted","LASSO","PATZ1"
"Fold1.Rep01","weighted","LASSO","UBASH3A"
"Fold1.Rep01","weighted","LASSO","PRKCQ"
"Fold1.Rep01","weighted","LASSO","NLRC3"
