"variable","availability","status"
"28-day mortality","GSE65682/GSE26440/GSE9692","Analysed"
"time-to-death","GSE65682","Analysed"
"septic shock","Case definition only","Not an analyzable within-sepsis endpoint"
"SOFA","Not available in analysed public metadata","Data unavailable"
"APACHE II","Not available in analysed public metadata","Data unavailable"
"organ failure","Not consistently available","Data unavailable"
"mechanical ventilation","Not available","Data unavailable"
"vasopressor use","Not available","Data unavailable"
"ICU length of stay","Not available","Data unavailable"
"treatment response","Not available","Data unavailable"
