"measure","reference","comparison","n_reference","n_comparison","median_difference","p_value","fdr"
"S100A8","Control","Leuk-UTI",19,10,0.53115074789077,0.0939862650990483,0.213605147952383
"S100A8","Leuk-UTI","URO",10,10,1.02902365834404,0.01401927711396,0.0674449909755917
"S100A8","Leuk-UTI","Int-URO",10,7,1.32086656861297,0.0218269900384181,0.0682093438700564
"S100A8","ICU-NoSEP","ICU-SEP",7,8,0.325918252186876,0.685443482677522,0.791513133409523
"S100A8","Control","Bac-SEP",19,4,1.22577561106766,0.0207966892513792,0.0682093438700564
"independent_state_score","Control","Leuk-UTI",19,10,-5.64206471427055e-05,0.69653155740038,0.791513133409523
"independent_state_score","Leuk-UTI","URO",10,10,0.366488345742158,0.0257480808211081,0.0715224467253002
"independent_state_score","Leuk-UTI","Int-URO",10,7,0.387920957921589,0.00399058251611528,0.0573299010031686
"independent_state_score","ICU-NoSEP","ICU-SEP",7,8,0.0818403089165857,0.524449721806084,0.714432117666066
"independent_state_score","Control","Bac-SEP",19,4,0.205582555180603,0.0133655826347053,0.0674449909755917
"antigen_presentation_score","Control","Leuk-UTI",19,10,-0.194766319023223,0.69653155740038,0.791513133409523
"antigen_presentation_score","Leuk-UTI","URO",10,10,-1.10388767643391,0.00910849639803097,0.0674449909755917
"antigen_presentation_score","Leuk-UTI","Int-URO",10,7,0.414746596110914,1,1
"antigen_presentation_score","ICU-NoSEP","ICU-SEP",7,8,-0.761695784202532,0.385418232368229,0.688246843514695
"antigen_presentation_score","Control","Bac-SEP",19,4,-0.272808094631063,0.54296840942621,0.714432117666066
"NFkB_score","Control","Leuk-UTI",19,10,0.0467779073390236,0.730753334722013,0.79429710295871
"NFkB_score","Leuk-UTI","URO",10,10,0.0571906590709589,0.520522883275773,0.714432117666066
"NFkB_score","Leuk-UTI","Int-URO",10,7,0.119339622055326,0.0876687951299293,0.213605147952383
"NFkB_score","ICU-NoSEP","ICU-SEP",7,8,-0.0781490361309072,0.862186694400762,0.898111140000794
"NFkB_score","Control","Bac-SEP",19,4,0.255244930454327,0.54296840942621,0.714432117666066
"MS1_fraction","Control","Leuk-UTI",19,10,0.0732000163579111,0.128331918092026,0.246792150176974
"MS1_fraction","Leuk-UTI","URO",10,10,0.336038732863456,0.00458639208025349,0.0573299010031686
"MS1_fraction","Leuk-UTI","Int-URO",10,7,0.105779420047268,0.107346536993811,0.223638618737106
"MS1_fraction","ICU-NoSEP","ICU-SEP",7,8,0.275229229315131,0.451913458279073,0.714432117666066
"MS1_fraction","Control","Bac-SEP",19,4,0.155980039923508,0.016186797834142,0.0674449909755917
