"donor_id","group","tf","activity"
"HC1","Control","CEBPB",4.19232984591446
"HC2","Control","CEBPB",4.09544694445702
"NSES","Sepsis","CEBPB",4.63707534743194
"P25","Sepsis","CEBPB",5.84203023419824
"P50","Sepsis","CEBPB",3.96799401254705
"S2","Sepsis","CEBPB",4.36987824878966
"S3","Sepsis","CEBPB",3.99572996952011
"HC1","Control","FOS",1.96408848155454
"HC2","Control","FOS",1.93970822941905
"NSES","Sepsis","FOS",0.699054062374598
"P25","Sepsis","FOS",0.583117441066856
"P50","Sepsis","FOS",0.463853026827559
"S2","Sepsis","FOS",1.73420402034858
"S3","Sepsis","FOS",0.271330816467283
"HC1","Control","JUN",3.27433643416289
"HC2","Control","JUN",3.35414037940764
"NSES","Sepsis","JUN",3.55028602894552
"P25","Sepsis","JUN",3.20043899501573
"P50","Sepsis","JUN",2.64551307377006
"S2","Sepsis","JUN",3.4950815323353
"S3","Sepsis","JUN",2.33828191263965
"HC1","Control","NFKB1",4.05833757809797
"HC2","Control","NFKB1",4.68242520532113
"NSES","Sepsis","NFKB1",4.1755948517009
"P25","Sepsis","NFKB1",4.27161349633123
"P50","Sepsis","NFKB1",3.67922135462556
"S2","Sepsis","NFKB1",7.22879458823653
"S3","Sepsis","NFKB1",3.24497359647871
"HC1","Control","RELA",3.61524286485672
"HC2","Control","RELA",4.17418001003423
"NSES","Sepsis","RELA",2.96199072849558
"P25","Sepsis","RELA",2.91663662656989
"P50","Sepsis","RELA",2.28743862524421
"S2","Sepsis","RELA",5.54935702145688
"S3","Sepsis","RELA",2.12616541268232
"HC1","Control","STAT3",3.29299603625055
"HC2","Control","STAT3",3.64163678014662
"NSES","Sepsis","STAT3",3.07173224742918
"P25","Sepsis","STAT3",2.71018144288404
"P50","Sepsis","STAT3",3.37967089032222
"S2","Sepsis","STAT3",3.6195410513047
"S3","Sepsis","STAT3",3.24834923786696
