"gene","HC1","HC2","NSES","P50","S2","S3"
"AL669831.5",4.96715343895881,5.33302586221419,5.25966149830981,5.09970920054362,4.9770888836488,4.22742789384803
"LINC00115",5.23087700832804,4.22742789384803,4.6586722164309,4.22742789384803,4.22742789384803,5.3331782699928
"FAM41C",4.64419098111034,5.04948116299568,4.22742789384803,4.22742789384803,4.9770888836488,4.22742789384803
"NOC2L",5.45376148785481,5.33302586221419,5.25966149830981,4.22742789384803,4.9770888836488,5.3331782699928
"HES4",4.22742789384803,5.33302586221419,4.99023772891781,4.22742789384803,4.9770888836488,4.22742789384803
"ISG15",5.64677549933564,5.77329786295453,4.99023772891781,4.22742789384803,8.90156741585889,4.22742789384803
"SDF4",5.45376148785481,6.81034084147749,4.99023772891781,4.22742789384803,4.9770888836488,4.22742789384803
"B3GALT6",4.64419098111034,4.22742789384803,4.22742789384803,4.22742789384803,4.9770888836488,4.22742789384803
"UBE2J2",4.96715343895881,6.25305255567801,6.00932155005559,5.09970920054362,4.22742789384803,4.22742789384803
"SCNN1D",4.64419098111034,4.69623031625439,4.22742789384803,4.22742789384803,4.22742789384803,4.22742789384803
"ACAP3",5.45376148785481,5.33302586221419,4.22742789384803,4.22742789384803,4.22742789384803,4.22742789384803
"PUSL1",4.64419098111034,4.69623031625439,4.22742789384803,4.22742789384803,4.22742789384803,5.3331782699928
"INTS11",4.64419098111034,6.11015747676198,4.22742789384803,4.22742789384803,4.9770888836488,5.3331782699928
"CPTP",4.64419098111034,4.22742789384803,4.6586722164309,4.22742789384803,4.22742789384803,4.22742789384803
"AURKAIP1",6.55487062077416,6.98432362664443,6.78264155239198,6.33920071562365,5.467922580958,6.38328187344124
"CCNL2",5.64677549933564,5.77329786295453,6.00932155005559,5.63945629658092,4.22742789384803,5.3331782699928
"MRPL20",5.81698738387323,5.77329786295453,5.85521045547623,6.03134333562224,5.83348774422402,4.22742789384803
"ATAD3A",4.22742789384803,4.22742789384803,4.22742789384803,5.09970920054362,4.9770888836488,4.22742789384803
"SSU72",6.34820803139847,7.27971217529975,5.85521045547623,6.33920071562365,5.467922580958,6.98456621692932
"AL645728.1",4.96715343895881,4.22742789384803,4.6586722164309,5.09970920054362,5.83348774422402,4.22742789384803
"AL691432.2",5.23087700832804,5.33302586221419,4.22742789384803,4.22742789384803,5.83348774422402,4.22742789384803
"MIB2",4.96715343895881,5.33302586221419,4.22742789384803,5.09970920054362,4.22742789384803,5.3331782699928
"MMP23B",4.22742789384803,4.69623031625439,4.22742789384803,5.09970920054362,4.22742789384803,4.22742789384803
"CDK11B",4.22742789384803,4.69623031625439,5.25966149830981,5.63945629658092,6.12489709155534,4.22742789384803
"SLC35E2B",5.23087700832804,4.22742789384803,4.99023772891781,5.63945629658092,4.22742789384803,4.22742789384803
"CDK11A",6.45523665627239,4.69623031625439,6.39220151235508,5.63945629658092,5.467922580958,6.98456621692932
"NADK",4.64419098111034,5.04948116299568,5.85521045547623,5.63945629658092,4.22742789384803,5.3331782699928
"GNB1",7.10784940397453,7.46730304627358,6.39220151235508,7.31064077225432,7.19348487074112,7.21158830531232
"PRKCZ",4.22742789384803,4.22742789384803,4.6586722164309,5.09970920054362,4.22742789384803,4.22742789384803
"AL590822.2",4.22742789384803,4.22742789384803,4.99023772891781,4.22742789384803,4.9770888836488,4.22742789384803
"FAAP20",7.10784940397453,7.52477837858949,6.86571979433908,6.59277782143442,5.467922580958,6.38328187344124
"SKI",4.64419098111034,5.04948116299568,5.85521045547623,5.63945629658092,4.22742789384803,4.22742789384803
"RER1",5.64677549933564,6.25305255567801,5.85521045547623,6.33920071562365,5.467922580958,5.9517357601784
"AL139246.5",5.23087700832804,5.33302586221419,4.99023772891781,5.09970920054362,4.22742789384803,4.22742789384803
"TNFRSF14-AS1",4.22742789384803,4.22742789384803,4.22742789384803,5.09970920054362,4.9770888836488,5.3331782699928
"TNFRSF14",6.23259847825732,6.61246178641685,7.28337270995717,6.59277782143442,6.36722099727102,5.3331782699928
"TPRG1L",5.81698738387323,5.33302586221419,5.48660048793175,4.22742789384803,4.22742789384803,5.3331782699928
"WRAP73",4.96715343895881,4.69623031625439,4.22742789384803,4.22742789384803,4.22742789384803,4.22742789384803
"SMIM1",4.64419098111034,4.69623031625439,4.22742789384803,4.22742789384803,4.22742789384803,4.22742789384803
"LRRC47",4.64419098111034,4.69623031625439,4.22742789384803,5.09970920054362,4.22742789384803,4.22742789384803
"C1orf174",4.96715343895881,5.33302586221419,4.99023772891781,4.22742789384803,4.9770888836488,5.9517357601784
"KCNAB2",5.23087700832804,5.77329786295453,6.00932155005559,5.63945629658092,4.22742789384803,5.9517357601784
"RPL22",11.4790328098915,11.6493102307837,10.9817487871826,9.89513028112901,11.185493119861,10.3593151130882
"TNFRSF25",5.23087700832804,4.69623031625439,4.6586722164309,4.22742789384803,4.9770888836488,5.3331782699928
"NOL9",5.9692199427275,4.22742789384803,4.99023772891781,6.03134333562224,4.22742789384803,4.22742789384803
"ZBTB48",4.22742789384803,4.69623031625439,4.22742789384803,5.63945629658092,4.9770888836488,4.22742789384803
"KLHL21",5.64677549933564,5.04948116299568,4.6586722164309,4.22742789384803,4.9770888836488,4.22742789384803
"PHF13",4.96715343895881,4.22742789384803,4.99023772891781,4.22742789384803,4.22742789384803,5.3331782699928
"DNAJC11",4.22742789384803,4.69623031625439,4.22742789384803,4.22742789384803,4.9770888836488,4.22742789384803
"CAMTA1",6.73560474279721,6.89995334279123,5.85521045547623,6.59277782143442,6.12489709155534,4.22742789384803
"VAMP3",6.81813434612107,6.50231620993424,6.78264155239198,6.33920071562365,4.9770888836488,6.71502521591347
"PARK7",7.10784940397453,8.11715121834037,6.78264155239198,6.33920071562365,6.75594514893013,7.21158830531232
"RERE",5.64677549933564,5.95153722397477,5.85521045547623,5.09970920054362,6.12489709155534,5.3331782699928
"ENO1",7.50662515602912,8.11715121834037,9.06149634431147,7.68248056724323,7.19348487074112,7.73445762293791
"ENO1-AS1",4.96715343895881,4.22742789384803,4.6586722164309,4.22742789384803,4.22742789384803,4.22742789384803
"H6PD",4.64419098111034,5.33302586221419,4.22742789384803,4.22742789384803,4.22742789384803,4.22742789384803
"SLC25A33",5.81698738387323,6.25305255567801,4.99023772891781,4.22742789384803,4.9770888836488,5.3331782699928
"PIK3CD",6.34820803139847,4.69623031625439,6.6944853045484,5.63945629658092,4.9770888836488,4.22742789384803
"CLSTN1",4.64419098111034,5.33302586221419,4.22742789384803,5.09970920054362,4.9770888836488,4.22742789384803
"CTNNBIP1",4.64419098111034,5.33302586221419,5.25966149830981,5.09970920054362,4.22742789384803,4.22742789384803
"LZIC",5.45376148785481,5.56989199982261,5.25966149830981,5.63945629658092,5.467922580958,4.22742789384803
"RBP7",7.04069054479577,7.82851165866347,4.99023772891781,5.09970920054362,4.22742789384803,5.3331782699928
"UBE4B",4.22742789384803,5.56989199982261,4.99023772891781,5.63945629658092,4.22742789384803,4.22742789384803
"KIF1B",4.96715343895881,5.95153722397477,6.944273314467,6.59277782143442,6.12489709155534,6.38328187344124
"PGD",6.10691118376025,6.25305255567801,8.70330137186766,8.61515751828823,5.467922580958,7.21158830531232
"DFFA",4.22742789384803,5.04948116299568,4.22742789384803,5.09970920054362,4.22742789384803,4.22742789384803
"PEX14",4.22742789384803,4.69623031625439,4.6586722164309,4.22742789384803,4.22742789384803,5.3331782699928
"CASZ1",4.96715343895881,4.22742789384803,5.25966149830981,5.09970920054362,5.467922580958,4.22742789384803
"TARDBP",5.9692199427275,5.56989199982261,4.99023772891781,6.03134333562224,5.467922580958,5.3331782699928
"AL109811.3",4.22742789384803,4.69623031625439,4.6586722164309,4.22742789384803,4.22742789384803,4.22742789384803
"SRM",5.81698738387323,5.33302586221419,4.6586722164309,5.09970920054362,5.467922580958,5.9517357601784
"EXOSC10",5.64677549933564,4.69623031625439,5.68264611380475,4.22742789384803,5.467922580958,4.22742789384803
"MTOR",5.45376148785481,4.22742789384803,4.22742789384803,4.22742789384803,5.83348774422402,4.22742789384803
"FBXO2",4.96715343895881,4.69623031625439,4.22742789384803,4.22742789384803,4.9770888836488,4.22742789384803
"FBXO44",5.23087700832804,5.04948116299568,4.6586722164309,4.22742789384803,4.9770888836488,4.22742789384803
"FBXO6",4.64419098111034,4.69623031625439,4.99023772891781,4.22742789384803,6.75594514893013,4.22742789384803
"MAD2L2",5.9692199427275,6.25305255567801,5.48660048793175,6.03134333562224,4.9770888836488,5.3331782699928
"AGTRAP",6.55487062077416,6.7147912772439,7.08960731982806,6.80837686950916,6.36722099727102,6.71502521591347
"MTHFR",6.23259847825732,5.77329786295453,4.99023772891781,4.22742789384803,4.9770888836488,4.22742789384803
"CLCN6",4.64419098111034,4.22742789384803,4.99023772891781,4.22742789384803,4.9770888836488,5.3331782699928
"KIAA2013",4.96715343895881,5.04948116299568,5.48660048793175,5.09970920054362,4.22742789384803,4.22742789384803
"MFN2",5.9692199427275,5.33302586221419,5.48660048793175,5.09970920054362,4.22742789384803,5.9517357601784
"MIIP",4.96715343895881,5.04948116299568,4.99023772891781,4.22742789384803,5.467922580958,5.3331782699928
"TNFRSF1B",7.77804912873387,7.13956474962307,7.78817683985258,6.03134333562224,7.06185174393157,6.38328187344124
"VPS13D",5.23087700832804,5.56989199982261,4.99023772891781,5.09970920054362,4.9770888836488,4.22742789384803
"DHRS3",5.23087700832804,5.56989199982261,6.00932155005559,5.63945629658092,4.22742789384803,4.22742789384803
"PRDM2",7.17202051973996,6.98432362664443,7.01876962335722,6.80837686950916,7.71555277211658,5.3331782699928
"EFHD2",8.26364434732708,8.66929969210588,9.73822200653842,8.72532354218709,7.95699787937697,9.00870788821371
"CASP9",4.64419098111034,4.69623031625439,4.22742789384803,4.22742789384803,4.22742789384803,4.22742789384803
"DNAJC16",4.22742789384803,4.22742789384803,4.99023772891781,5.63945629658092,5.467922580958,4.22742789384803
"DDI2",4.64419098111034,5.33302586221419,5.48660048793175,4.22742789384803,5.467922580958,5.3331782699928
"PLEKHM2",5.64677549933564,6.11015747676198,6.60058963624906,5.09970920054362,5.83348774422402,5.9517357601784
"SLC25A34",4.64419098111034,4.69623031625439,4.6586722164309,4.22742789384803,4.22742789384803,4.22742789384803
"AL450998.2",5.9692199427275,5.33302586221419,4.22742789384803,5.09970920054362,4.9770888836488,4.22742789384803
"SPEN",6.10691118376025,6.25305255567801,5.68264611380475,4.22742789384803,5.467922580958,4.22742789384803
"ZBTB17",4.64419098111034,4.22742789384803,4.99023772891781,5.09970920054362,4.22742789384803,4.22742789384803
"FBXO42",5.45376148785481,4.69623031625439,5.48660048793175,4.22742789384803,4.22742789384803,5.9517357601784
"SZRD1",5.9692199427275,5.77329786295453,6.50015485035393,5.63945629658092,5.83348774422402,6.38328187344124
"NECAP2",5.45376148785481,5.33302586221419,5.25966149830981,6.03134333562224,6.12489709155534,4.22742789384803
"LINC01772",4.64419098111034,4.22742789384803,5.48660048793175,4.22742789384803,4.22742789384803,4.22742789384803
"AL137802.2",4.22742789384803,4.22742789384803,4.99023772891781,5.09970920054362,4.22742789384803,4.22742789384803
"CROCC",4.22742789384803,4.69623031625439,4.22742789384803,4.22742789384803,4.22742789384803,5.3331782699928
"ATP13A2",5.23087700832804,4.22742789384803,4.22742789384803,4.22742789384803,4.9770888836488,4.22742789384803
"SDHB",6.45523665627239,6.25305255567801,6.39220151235508,5.63945629658092,5.467922580958,5.3331782699928
"PADI2",4.22742789384803,5.56989199982261,5.48660048793175,5.63945629658092,4.22742789384803,5.9517357601784
"PADI4",5.45376148785481,4.69623031625439,6.00932155005559,6.03134333562224,4.22742789384803,4.22742789384803
"RCC2",4.96715343895881,5.04948116299568,4.22742789384803,5.63945629658092,5.467922580958,5.9517357601784
"ARHGEF10L",4.64419098111034,4.69623031625439,4.22742789384803,4.22742789384803,4.22742789384803,4.22742789384803
"IFFO2",5.23087700832804,4.69623031625439,4.6586722164309,4.22742789384803,4.22742789384803,4.22742789384803
"UBR4",6.45523665627239,6.25305255567801,6.60058963624906,4.22742789384803,6.12489709155534,5.9517357601784
"EMC1",5.23087700832804,4.69623031625439,4.22742789384803,4.22742789384803,4.9770888836488,4.22742789384803
"MRTO4",4.96715343895881,4.69623031625439,4.99023772891781,4.22742789384803,6.12489709155534,4.22742789384803
"AKR7A2",4.96715343895881,5.56989199982261,4.22742789384803,4.22742789384803,4.22742789384803,5.3331782699928
"PQLC2",4.22742789384803,4.69623031625439,4.99023772891781,4.22742789384803,4.22742789384803,4.22742789384803
"CAPZB",7.89674015640662,8.32557177465245,8.68053479099187,6.99590584220857,7.42541468770571,7.58030825378561
"MINOS1",7.17202051973996,7.46730304627358,5.85521045547623,7.4455196820593,4.9770888836488,7.58030825378561
"NBL1",4.96715343895881,4.22742789384803,5.25966149830981,4.22742789384803,4.22742789384803,5.3331782699928
"OTUD3",4.22742789384803,4.22742789384803,4.22742789384803,4.22742789384803,4.9770888836488,5.3331782699928
"CAMK2N1",4.64419098111034,4.69623031625439,4.99023772891781,4.22742789384803,4.9770888836488,4.22742789384803
