"cluster","donor_id","group","n_cells","cluster_total","donor_fraction"
"0","HC1","Control",3,188,0.0159574468085106
"0","P25","Sepsis",11,188,0.0585106382978723
"0","NSES","Sepsis",116,188,0.617021276595745
"0","HC2","Control",4,188,0.0212765957446809
"0","P50","Sepsis",27,188,0.143617021276596
"0","S3","Sepsis",10,188,0.0531914893617021
"0","S2","Sepsis",17,188,0.0904255319148936
"1","HC1","Control",42,119,0.352941176470588
"1","HC2","Control",61,119,0.512605042016807
"1","P50","Sepsis",5,119,0.0420168067226891
"1","P25","Sepsis",1,119,0.00840336134453781
"1","NSES","Sepsis",3,119,0.0252100840336134
"1","S2","Sepsis",1,119,0.00840336134453781
"1","S3","Sepsis",6,119,0.0504201680672269
"2","HC2","Control",31,95,0.326315789473684
"2","HC1","Control",22,95,0.231578947368421
"2","NSES","Sepsis",14,95,0.147368421052632
"2","S2","Sepsis",18,95,0.189473684210526
"2","P50","Sepsis",5,95,0.0526315789473684
"2","P25","Sepsis",1,95,0.0105263157894737
"2","S3","Sepsis",4,95,0.0421052631578947
