"signature","gene","target_state"
"Independent inflammatory, no S100A8","ALPL","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","LCN2","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","MMP8","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","MMP9","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","CD177","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","CYSTM1","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","S100P","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","CST7","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","IFITM2","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","GCA","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","S100A12","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","ALOX5AP","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","IL1R2","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","S100A9","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","ANP32A","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","CPD","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","GYG1","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","BASP1","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","LDHA","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","PGD","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","CDA","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","STX3","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","CSF3R","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","SLC25A37","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","STXBP2","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","BCL2A1","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","CAP1","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","RAB31","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","RETN","Emergency myeloid / immature neutrophil-like"
"Independent inflammatory, no S100A8","TSPO","Emergency myeloid / immature neutrophil-like"
