"dataset","comparator","n_sepsis","n_comparator","mean_difference","auc","wilcoxon_p"
"GSE65682","Healthy",760,42,0.44734118791138,0.995332080200501,2.82880181667731e-27
"GSE26440","Healthy",98,32,0.732137294403373,0.970982142857143,1.46387582884209e-15
"GSE28750","Healthy",10,20,0.669908323574598,1,1.20094410844062e-05
"GSE28750","Postoperative sterile inflammation",10,11,0.240453762008139,0.8,0.0221037049155624
"GSE69528","Healthy",83,28,0.368391004295871,0.930722891566265,1.09598937097999e-11
"GSE69528","Uninfected chronic disease control",83,27,0.373289047912229,0.93574297188755,1.21110059241071e-11
"GSE9692","Healthy",30,15,0.775920426669298,0.953333333333333,9.59810387932437e-07
"GSE134347","Non-infectious ICU",156,59,0.142307639595812,0.684919600173837,2.91125433038533e-05
"GSE134347","Healthy",156,83,0.643200954803407,0.995211615693543,2.13270765968624e-36
"GSE131411","Cardiogenic shock",19,10,0.340603135318899,0.910526315789474,0.000376624480968667
