replicate,time_ns,value,display_value
1,0.0,0.1878938,0.20718527450980392
1,0.01,0.182044,0.20689710384615384
1,0.02,0.2228767,0.20682710566037735
1,0.03,0.2103188,0.2072056574074074
1,0.04,0.1987712,0.20755645272727272
1,0.05,0.206216,0.20775835357142855
1,0.06,0.2069806,0.20787870175438597
1,0.07,0.2096118,0.20784994655172415
1,0.08000001,0.207608,0.20763471694915256
1,0.09,0.1954432,0.20740222333333333
1,0.1,0.20243,0.20733819836065576
1,0.11,0.1866279,0.20709697580645162
1,0.12,0.2104996,0.2068007666666667
1,0.13,0.2112959,0.2066638859375
1,0.14,0.1977953,0.20658202307692308
1,0.15,0.213841,0.20663175454545454
1,0.16,0.2151908,0.20668912686567165
1,0.17,0.2005716,0.20684028529411763
1,0.18,0.2077837,0.20671505652173913
1,0.19,0.2190479,0.2065953857142857
1,0.2,0.2483969,0.20628210985915493
1,0.21,0.1996497,0.20674128472222222
1,0.22,0.2034061,0.20687483013698632
1,0.23,0.2095661,0.20682409594594595
1,0.24,0.2172374,0.206887472
1,0.25,0.1824721,0.20661538289473683
1,0.26,0.2329914,0.20666533376623375
1,0.27,0.1995493,0.20678984358974356
1,0.28,0.2030418,0.20654282784810124
1,0.29,0.2030025,0.206297605
1,0.3,0.2049851,0.20593921728395062
1,0.31,0.203875,0.20584353414634146
1,0.32,0.2073258,0.20584536024096384
1,0.33,0.2204858,0.2053904238095238
1,0.34,0.1990306,0.20523230705882353
1,0.35,0.2087508,0.2049588046511628
1,0.36,0.189531,0.2046057896551724
1,0.37,0.2158794,0.2042521784090909
1,0.38,0.2283725,0.20448382584269664
1,0.39,0.2268172,0.2044855488888889
1,0.4,0.1980658,0.2044431406593407
1,0.41,0.2236807,0.20436697608695653
1,0.42,0.1796496,0.20387685698924732
1,0.43,0.1839158,0.20369281489361704
1,0.44,0.2168159,0.20381812315789474
1,0.45,0.2093754,0.20384837083333332
1,0.46,0.2196774,0.2039241731958763
1,0.47,0.1888198,0.2041909581632653
1,0.48,0.2261678,0.20439179494949494
1,0.49,0.21649,0.204498994
1,0.5,0.2065765,0.2044916504950495
1,0.5100001,0.1922004,0.20457919702970295
1,0.52,0.2031872,0.20467366435643564
1,0.53,0.2272689,0.20457112772277228
1,0.54,0.2264994,0.20471580792079208
1,0.55,0.2188629,0.20456187524752475
1,0.56,0.2146182,0.20426843762376237
1,0.5700001,0.2062109,0.20419697326732672
1,0.58,0.1951514,0.20412310396039607
1,0.59,0.1936851,0.2037909188118812
1,0.6,0.2034967,0.20344151287128714
1,0.61,0.1923824,0.20309336039603962
1,0.62,0.1884358,0.20299571485148515
1,0.6300001,0.1980404,0.20267318613861388
1,0.64,0.2013428,0.20218376138613858
1,0.65,0.2098643,0.20217922772277228
1,0.66,0.2104757,0.201742797029703
1,0.67,0.2169679,0.20130320891089107
1,0.68,0.1981995,0.20108444752475246
1,0.6900001,0.1983381,0.20066856930693067
1,0.7,0.1843528,0.2003780445544554
1,0.71,0.2393427,0.19983808217821783
