replicate,time_ns,value,display_value
1,0.0,0.217,0.3804230769230769
1,0.01,0.207,0.38292592592592595
1,0.02,0.336,0.3835
1,0.03,0.359,0.385448275862069
1,0.04,0.328,0.3857333333333334
1,0.05,0.326,0.3867741935483871
1,0.06,0.286,0.38778125
1,0.07,0.365,0.38903030303030306
1,0.08,0.298,0.39079411764705885
1,0.09,0.306,0.39154285714285714
1,0.1,0.35,0.3919722222222222
1,0.11,0.328,0.39137837837837836
1,0.12,0.397,0.3918157894736842
1,0.13,0.379,0.3923076923076923
1,0.14,0.279,0.39437500000000003
1,0.15,0.406,0.3975853658536585
1,0.16,0.435,0.3997380952380953
1,0.17,0.464,0.40406976744186046
1,0.18,0.442,0.4052954545454545
1,0.19,0.461,0.40595555555555557
1,0.2,0.576,0.4077608695652174
1,0.21,0.549,0.40912765957446806
1,0.22,0.455,0.4100625
1,0.23,0.464,0.411469387755102
1,0.24,0.397,0.41168
1,0.25,0.481,0.4116666666666667
1,0.26,0.448,0.4159607843137255
1,0.27,0.399,0.4191372549019608
1,0.28,0.44,0.4198039215686274
1,0.29,0.394,0.42270588235294115
1,0.3,0.418,0.4262549019607843
1,0.31,0.419,0.4294313725490196
1,0.32,0.429,0.43321568627450974
1,0.33,0.449,0.4360588235294118
1,0.34,0.417,0.4385882352941176
1,0.35,0.407,0.44311764705882356
1,0.36,0.37,0.4477450980392157
1,0.37,0.408,0.4496862745098039
1,0.38,0.411,0.4509411764705882
1,0.39,0.475,0.4515686274509804
1,0.4,0.526,0.45325490196078433
1,0.41,0.488,0.4527450980392157
1,0.42,0.586,0.4541176470588235
1,0.43,0.458,0.45456862745098037
1,0.44,0.435,0.45482352941176474
1,0.45,0.489,0.4563333333333333
1,0.46,0.472,0.45229411764705874
1,0.47,0.454,0.44878431372549016
1,0.48,0.479,0.4453921568627451
1,0.49,0.422,0.4446666666666666
1,0.5,0.411,0.44376470588235295
1,0.51,0.436,0.4426666666666666
1,0.52,0.369,0.4420588235294118
1,0.53,0.37,0.44282352941176467
1,0.54,0.507,0.44323529411764706
1,0.55,0.509,0.44511764705882356
1,0.56,0.488,0.44617647058823534
1,0.57,0.479,0.4457450980392157
1,0.58,0.51,0.4437647058823529
