system,replicate,time_ns,pc1_nm,pc2_nm
complex,1,20.0,-1.14677,0.99516
complex,1,20.1,-1.4472,1.02485
complex,1,20.2,-1.66188,0.84233
complex,1,20.3,-1.2514,0.72853
complex,1,20.4,-1.47724,0.90014
complex,1,20.5,-1.57765,1.14132
complex,1,20.6,-1.07272,1.1899
complex,1,20.7,-1.52169,0.79782
complex,1,20.8,-1.25775,0.96293
complex,1,20.9,-1.15339,0.78883
complex,1,21.0,-1.26457,0.68417
complex,1,21.1,-1.18698,0.26855
complex,1,21.2,-1.2352,0.66154
complex,1,21.3,-1.50069,0.79903
complex,1,21.4,-1.61067,0.90666
complex,1,21.5,-1.36814,0.66017
complex,1,21.6,-1.28255,1.11426
complex,1,21.7,-1.38204,0.94263
complex,1,21.8,-1.3982,1.01081
complex,1,21.9,-1.46081,0.78789
complex,1,22.0,-1.37025,1.06965
complex,1,22.1,-1.61399,1.46975
complex,1,22.2,-1.4514,1.43528
complex,1,22.3,-1.43301,1.66662
complex,1,22.4,-1.31565,1.12741
complex,1,22.5,-1.55947,1.39303
complex,1,22.6,-1.53711,1.00832
complex,1,22.7,-1.50489,1.58588
complex,1,22.8,-1.52601,1.47718
complex,1,22.9,-1.52204,1.56671
complex,1,23.0,-1.50053,1.65688
complex,1,23.1,-1.46666,1.39778
complex,1,23.2,-1.52981,1.51219
complex,1,23.3,-1.42096,1.37413
complex,1,23.4,-1.50643,1.10941
complex,1,23.5,-1.61069,1.47416
complex,1,23.6,-1.53264,1.45995
complex,1,23.7,-1.39176,1.76534
complex,1,23.8,-1.50147,2.01975
complex,1,23.9,-1.47276,1.96791
complex,1,24.0,-1.27111,1.66273
complex,1,24.1,-1.56278,2.24459
complex,1,24.2,-1.48691,1.77873
complex,1,24.3,-1.42551,1.529
complex,1,24.4,-1.64264,1.77499
complex,1,24.5,-1.5808,2.02967
complex,1,24.6,-1.52027,1.69345
complex,1,24.7,-1.68409,1.29759
complex,1,24.8,-1.3071,1.26133
complex,1,24.9,-1.76491,1.28948
complex,1,25.0,-1.55349,0.99033
complex,1,25.1,-1.44065,0.95162
complex,1,25.2,-1.48843,0.98735
complex,1,25.3,-1.72294,0.98641
complex,1,25.4,-1.62159,0.88216
complex,1,25.5,-1.4874,1.28622
