system,replicate,metric,block_start_ns,block_end_ns,n,mean,sd,median,q25,q75,min,max,last
complex,1,whole_backbone_rmsd_nm,20.0,40.0,2000,0.30931149485,0.023509313953431924,0.30467120000000003,0.29269305,0.32180605,0.2614371,0.4111791,0.2810601
complex,1,whole_backbone_rmsd_nm,40.0,60.0,2000,0.31860390580000003,0.022000587520349692,0.31714929999999997,0.303383125,0.3327785,0.2602534,0.3918301,0.3458158
complex,1,whole_backbone_rmsd_nm,60.0,80.0,2000,0.3367778378,0.01175812590737095,0.33648425000000004,0.329435075,0.34289435,0.3013672,0.3813615,0.320606
complex,1,whole_backbone_rmsd_nm,80.0,100.0,2001,0.3257177827586207,0.016281434315136598,0.3234915,0.3144239,0.333821,0.2758869,0.3811904,0.3267481
complex,1,chain_B_backbone_rmsd_nm,20.0,40.0,2000,0.3459106249500001,0.025372202089104675,0.3426845,0.32763437500000003,0.362488125,0.2774801,0.4294555,0.3130706
complex,1,chain_B_backbone_rmsd_nm,40.0,60.0,2000,0.34888618855,0.027373559238791065,0.34670115,0.329124025,0.367101175,0.2699336,0.4202442,0.3919557
complex,1,chain_B_backbone_rmsd_nm,60.0,80.0,2000,0.38137497275,0.015149643682634184,0.38422215,0.37079,0.39239932499999997,0.3177944,0.4200778,0.3622431
complex,1,chain_B_backbone_rmsd_nm,80.0,100.0,2001,0.3664898420289855,0.01767262785342513,0.3660566,0.3537013,0.3786238,0.3156122,0.4244093,0.3825191
complex,1,chain_D_backbone_rmsd_nm,20.0,40.0,2000,0.17709486405000002,0.01836124077764681,0.1750245,0.1635124,0.18914577500000002,0.1346006,0.2534274,0.1738953
complex,1,chain_D_backbone_rmsd_nm,40.0,60.0,2000,0.20711769145,0.026375241458694063,0.2061066,0.18753862500000001,0.22528495,0.1311621,0.3067207,0.2270208
complex,1,chain_D_backbone_rmsd_nm,60.0,80.0,2000,0.2129027032,0.021638620883217895,0.2081459,0.19825495,0.222853825,0.1630425,0.3030271,0.2132386
complex,1,chain_D_backbone_rmsd_nm,80.0,100.0,2001,0.2078055732133933,0.028965985855113445,0.2113006,0.1819792,0.228602,0.135405,0.2800211,0.177609
complex,1,chain_B_D_com_distance_pbc_nojump_nm,20.0,40.0,2000,1.7406345,0.03225949856048116,1.739,1.718,1.763,1.645,1.846,1.763
complex,1,chain_B_D_com_distance_pbc_nojump_nm,40.0,60.0,2000,1.7177145,0.03445290250465841,1.715,1.692,1.74,1.633,1.842,1.747
complex,1,chain_B_D_com_distance_pbc_nojump_nm,60.0,80.0,2000,1.71734,0.01963349528404289,1.717,1.705,1.729,1.641,1.799,1.727
complex,1,chain_B_D_com_distance_pbc_nojump_nm,80.0,100.0,2001,1.7226201899050475,0.02777924894888121,1.722,1.703,1.743,1.643,1.803,1.727
complex,1,protein_rg_nm,20.0,40.0,2000,1.725757725,0.010264500901834287,1.725305,1.7190875,1.7321475,1.6908,1.7594,1.73622
complex,1,protein_rg_nm,40.0,60.0,2000,1.720751025,0.0150521989172844,1.7204000000000002,1.709345,1.7316574999999998,1.68468,1.76962,1.71238
complex,1,protein_rg_nm,60.0,80.0,2000,1.6990177850000001,0.008835968487570088,1.698395,1.6924875,1.70511,1.67479,1.73001,1.72095
complex,1,protein_rg_nm,80.0,100.0,2001,1.7105865667166416,0.008116883223052533,1.71029,1.7049,1.71614,1.68696,1.74036,1.69966
