system,replicate,metric,n,mean,sd,median,q25,q75,min,max,last
complex,1,whole_backbone_rmsd_nm,8001,0.322603144631921,0.021463657954311724,0.323601,0.307827,0.3371915,0.2602534,0.4111791,0.3267481
complex,1,chain_B_backbone_rmsd_nm,8001,0.3606661350331209,0.026236250087712635,0.3623547,0.3417414,0.3813354,0.2699336,0.4294555,0.3825191
complex,1,chain_D_backbone_rmsd_nm,8001,0.20123102979627544,0.027999900632951127,0.2009272,0.1799609,0.2193444,0.1311621,0.3067207,0.177609
complex,1,chain_B_D_com_distance_pbc_nojump_nm,8001,1.7245770528683915,0.030596872280730415,1.722,1.703,1.744,1.633,1.846,1.727
complex,1,protein_rg_nm,8001,1.7140278452693414,0.01496348267137552,1.71314,1.70303,1.72439,1.67479,1.76962,1.69966
complex,1,protein_sasa_nm2,801,106.57011860174782,2.9523061650455635,106.688,104.169,108.752,99.607,114.112,103.99
complex,1,interchain_hbonds_pbc_nojump_count,801,8.299625468164795,2.8075990382443434,8.0,6.0,10.0,2.0,17.0,9.0
complex,1,ligand_rmsd_unwrapped_after_proteinfit_nm,8001,5.1229304624047,5.338785180941249,2.7576029,0.6929846,8.3716106,0.4903577,20.4618168,13.9607029
complex,1,ligand_original_pocket_com_displacement_unwrapped_nm,8001,5.155267966504188,5.301619266595346,2.801,0.725,8.52,0.464,20.366,14.064
complex,1,ligand_protein_min_distance_pbc_nojump_nm,8001,0.5783778568303962,0.6000453845465737,0.2212132,0.199385,0.8632125,0.1486405,2.809177,0.2602635
complex,1,ligand_protein_contacts_pbc_nojump_0p45nm_count,8001,243.62742157230346,232.3905388413293,194.0,0.0,485.0,0.0,687.0,136.0
complex,1,ligand_protein_hbonds_pbc_nojump_count,801,0.6092384519350812,0.9101453424149357,0.0,0.0,1.0,0.0,4.0,0.0
complex,2,whole_backbone_rmsd_nm,8001,0.28027109387576554,0.04498056969686436,0.2689999,0.2486719,0.2995249,0.1864138,0.4513313,0.4017551
complex,2,chain_B_backbone_rmsd_nm,8001,0.26472061997250346,0.06496380240913815,0.2485558,0.2218281,0.2872204,0.11853,0.4328492,0.3910679
complex,2,chain_D_backbone_rmsd_nm,8001,0.2250989041244844,0.038322475814064984,0.2200525,0.1968458,0.2453826,0.1258087,0.3648213,0.3107061
complex,2,chain_B_D_com_distance_pbc_nojump_nm,8001,1.8872188476440446,0.041858433734695666,1.88,1.86,1.903,1.77,2.108,1.997
complex,2,protein_rg_nm,8001,1.7458694438195228,0.015462157372214416,1.74653,1.73558,1.75737,1.69611,1.78681,1.75296
complex,2,protein_sasa_nm2,801,111.13185268414482,2.3119249935434563,111.117,109.694,112.665,104.469,118.32,116.436
complex,2,interchain_hbonds_pbc_nojump_count,801,3.50561797752809,1.5525079384262113,3.0,2.0,5.0,0.0,8.0,4.0
