system,time_ns,median,minimum,maximum,rep1,rep2,rep3
complex,20.0,4.666666666666667,3.6666666666666665,8.0,8.0,3.6666666666666665,4.666666666666667
complex,20.1,4.25,3.5,7.75,7.75,3.5,4.25
complex,20.2,4.4,3.4,7.8,7.8,3.4,4.4
complex,20.3,3.6,3.6,7.6,7.6,3.6,3.6
complex,20.4,4.0,3.6,7.6,7.6,3.6,4.0
complex,20.5,4.4,3.2,8.0,8.0,3.2,4.4
complex,20.6,4.8,3.4,8.2,8.2,3.4,4.8
complex,20.7,4.8,3.8,8.2,8.2,3.8,4.8
complex,20.8,5.4,3.8,7.6,7.6,3.8,5.4
complex,20.9,5.4,3.6,8.2,8.2,3.6,5.4
complex,21.0,5.6,3.8,7.8,7.8,3.8,5.6
complex,21.1,5.8,3.8,7.8,7.8,3.8,5.8
complex,21.2,5.4,3.6,7.6,7.6,3.6,5.4
complex,21.3,5.4,3.6,8.4,8.4,3.6,5.4
complex,21.4,4.8,4.2,7.4,7.4,4.2,4.8
complex,21.5,4.4,4.2,7.6,7.6,4.2,4.4
complex,21.6,4.4,4.2,7.6,7.6,4.4,4.2
complex,21.7,4.8,4.6,7.0,7.0,4.6,4.8
complex,21.8,4.4,4.4,6.8,6.8,4.4,4.4
complex,21.9,4.2,3.8,6.4,6.4,3.8,4.2
complex,22.0,4.4,3.8,6.4,6.4,3.8,4.4
complex,22.1,4.6,3.4,6.8,6.8,3.4,4.6
complex,22.2,4.2,3.2,8.0,8.0,3.2,4.2
complex,22.3,4.8,3.4,8.2,8.2,3.4,4.8
complex,22.4,5.2,3.4,8.8,8.8,3.4,5.2
complex,22.5,5.2,3.8,8.8,8.8,3.8,5.2
complex,22.6,4.6,4.2,8.2,8.2,4.2,4.6
complex,22.7,4.4,4.4,7.8,7.8,4.4,4.4
complex,22.8,4.4,4.2,7.6,7.6,4.4,4.2
complex,22.9,4.6,4.4,7.2,7.2,4.6,4.4
complex,23.0,4.4,3.8,6.8,6.8,4.4,3.8
complex,23.1,4.2,4.0,6.8,6.8,4.2,4.0
complex,23.2,4.0,3.6,6.6,6.6,3.6,4.0
complex,23.3,3.8,3.8,6.6,6.6,3.8,3.8
complex,23.4,3.6,3.4,7.2,7.2,3.6,3.4
complex,23.5,3.8,2.8,8.6,8.6,2.8,3.8
complex,23.6,3.6,2.2,9.8,9.8,2.2,3.6
complex,23.7,4.0,2.0,11.0,11.0,2.0,4.0
complex,23.8,4.2,1.2,12.0,12.0,1.2,4.2
complex,23.9,4.0,1.0,12.0,12.0,1.0,4.0
complex,24.0,3.8,1.2,11.0,11.0,1.2,3.8
complex,24.1,4.2,1.0,10.2,10.2,1.0,4.2
complex,24.2,3.6,1.0,9.0,9.0,1.0,3.6
complex,24.3,3.4,1.2,7.8,7.8,1.2,3.4
complex,24.4,3.8,1.0,7.4,7.4,1.0,3.8
complex,24.5,4.4,1.0,7.2,7.2,1.0,4.4
complex,24.6,4.4,1.2,6.2,6.2,1.2,4.4
complex,24.7,5.0,1.4,5.6,5.6,1.4,5.0
complex,24.8,5.0,1.2,5.0,5.0,1.2,5.0
complex,24.9,4.4,1.4,4.6,4.4,1.4,4.6
complex,25.0,3.6,1.2,3.6,3.6,1.2,3.6
complex,25.1,3.2,1.4,3.8,3.8,1.4,3.2
complex,25.2,3.0,1.0,4.0,4.0,1.0,3.0
complex,25.3,3.0,0.8,4.4,4.4,0.8,3.0
complex,25.4,3.0,0.6,4.8,4.8,0.6,3.0
complex,25.5,3.6,0.8,5.6,5.6,0.8,3.6
complex,25.6,3.4,0.6,6.0,6.0,0.6,3.4
complex,25.7,3.0,0.8,6.2,6.2,0.8,3.0
complex,25.8,2.8,1.0,6.8,6.8,1.0,2.8
complex,25.9,2.4,0.8,6.8,6.8,0.8,2.4
complex,26.0,2.0,0.6,6.8,6.8,0.6,2.0
complex,26.1,2.2,0.6,6.8,6.8,0.6,2.2
complex,26.2,2.4,0.8,6.8,6.8,0.8,2.4
complex,26.3,2.8,1.4,6.6,6.6,1.4,2.8
complex,26.4,4.0,1.8,6.6,6.6,1.8,4.0
complex,26.5,4.6,2.0,6.2,6.2,2.0,4.6
complex,26.6,5.4,2.0,6.4,6.4,2.0,5.4
complex,26.7,5.8,1.8,6.4,6.4,1.8,5.8
complex,26.8,5.6,2.0,6.2,6.2,2.0,5.6
complex,26.9,5.4,2.2,6.2,6.2,2.2,5.4
complex,27.0,5.0,2.6,6.2,6.2,2.6,5.0
complex,27.1,4.4,2.6,5.8,5.8,2.6,4.4
complex,27.2,4.2,2.6,5.8,5.8,2.6,4.2
complex,27.3,4.2,2.0,5.8,5.8,2.0,4.2
complex,27.4,3.6,1.8,6.0,6.0,1.8,3.6
complex,27.5,3.6,1.6,6.4,6.4,1.6,3.6
complex,27.6,3.4,1.8,6.4,6.4,1.8,3.4
complex,27.7,3.6,2.0,6.4,6.4,2.0,3.6
complex,27.8,3.6,2.0,6.6,6.6,2.0,3.6
complex,27.9,4.0,2.0,6.8,6.8,2.0,4.0
complex,28.0,5.0,1.8,6.8,6.8,1.8,5.0
complex,28.1,6.0,1.6,7.0,7.0,1.6,6.0
complex,28.2,6.2,1.4,6.8,6.8,1.4,6.2
complex,28.3,6.4,1.2,6.6,6.4,1.2,6.6
complex,28.4,6.4,1.0,6.8,6.4,1.0,6.8
complex,28.5,6.2,1.2,6.6,6.2,1.2,6.6
complex,28.6,5.8,1.4,6.0,6.0,1.4,5.8
complex,28.7,5.6,1.2,6.4,6.4,1.2,5.6
complex,28.8,5.4,1.6,6.6,6.6,1.6,5.4
complex,28.9,5.4,2.0,6.6,6.6,2.0,5.4
complex,29.0,5.0,2.6,6.8,6.8,2.6,5.0
complex,29.1,5.4,3.2,7.0,7.0,3.2,5.4
complex,29.2,5.6,4.0,6.8,6.8,4.0,5.6
complex,29.3,5.2,4.0,7.0,7.0,4.0,5.2
complex,29.4,5.0,3.8,6.8,6.8,3.8,5.0
complex,29.5,4.8,3.4,6.4,6.4,3.4,4.8
complex,29.6,4.8,3.0,5.8,5.8,3.0,4.8
complex,29.7,4.4,2.8,5.6,5.6,2.8,4.4
complex,29.8,4.4,2.4,5.2,5.2,2.4,4.4
complex,29.9,4.0,2.6,4.8,4.8,2.6,4.0
complex,30.0,3.8,3.0,4.4,4.4,3.0,3.8
complex,30.1,3.6,3.4,4.8,4.8,3.6,3.4
complex,30.2,4.0,3.8,5.0,5.0,3.8,4.0
complex,30.3,4.6,4.2,5.4,5.4,4.6,4.2
complex,30.4,5.0,4.6,5.4,5.4,5.0,4.6
complex,30.5,5.2,5.0,6.0,6.0,5.0,5.2
complex,30.6,5.6,4.4,5.8,5.8,4.4,5.6
complex,30.7,5.4,4.6,5.4,5.4,4.6,5.4
complex,30.8,4.8,4.8,5.0,4.8,4.8,5.0
complex,30.9,5.0,4.2,5.4,4.2,5.0,5.4
complex,31.0,4.8,3.8,5.6,3.8,4.8,5.6
complex,31.1,5.2,4.0,5.2,4.0,5.2,5.2
complex,31.2,4.8,3.8,5.0,3.8,5.0,4.8
complex,31.3,4.4,4.2,5.4,4.2,4.4,5.4
complex,31.4,4.6,4.2,4.6,4.6,4.2,4.6
complex,31.5,4.4,3.8,4.6,4.4,4.6,3.8
complex,31.6,4.0,4.0,4.2,4.0,4.2,4.0
complex,31.7,4.2,4.2,4.6,4.2,4.2,4.6
complex,31.8,4.4,3.8,4.6,3.8,4.4,4.6
complex,31.9,4.2,3.8,5.2,3.8,4.2,5.2
complex,32.0,3.8,3.8,5.6,3.8,3.8,5.6
complex,32.1,4.0,4.0,5.8,4.0,4.0,5.8
complex,32.2,4.4,3.8,6.4,4.4,3.8,6.4
complex,32.3,4.6,3.6,6.8,4.6,3.6,6.8
complex,32.4,5.2,3.2,6.6,5.2,3.2,6.6
complex,32.5,5.6,3.0,6.8,5.6,3.0,6.8
complex,32.6,5.8,2.8,7.2,5.8,2.8,7.2
complex,32.7,5.2,2.6,6.4,5.2,2.6,6.4
complex,32.8,5.2,2.8,6.4,5.2,2.8,6.4
complex,32.9,5.2,3.2,6.6,5.2,3.2,6.6
complex,33.0,5.0,3.4,6.2,5.0,3.4,6.2
complex,33.1,4.8,3.4,5.6,4.8,3.4,5.6
complex,33.2,5.2,3.6,5.2,5.2,3.6,5.2
complex,33.3,4.6,3.4,5.4,5.4,3.4,4.6
complex,33.4,4.2,3.6,5.0,5.0,3.6,4.2
complex,33.5,4.6,3.6,5.0,5.0,3.6,4.6
