system,time_ns,median,minimum,maximum,rep1,rep2,rep3
complex,20.0,1.73437,1.732229090909091,1.7376454545454545,1.73437,1.7376454545454545,1.732229090909091
complex,20.01,1.7351333333333334,1.7322741666666666,1.7369866666666667,1.7351333333333334,1.7369866666666667,1.7322741666666666
complex,20.02,1.7353092307692308,1.7331492307692309,1.7363576923076922,1.7353092307692308,1.7363576923076922,1.7331492307692309
complex,20.03,1.7353764285714288,1.732787857142857,1.7364064285714285,1.7353764285714288,1.7364064285714285,1.732787857142857
complex,20.04,1.736002,1.7332913333333333,1.7361026666666668,1.736002,1.7361026666666668,1.7332913333333333
complex,20.05,1.736061875,1.73320125,1.73669125,1.736061875,1.73669125,1.73320125
complex,20.06,1.735989411764706,1.7330588235294118,1.7370270588235295,1.735989411764706,1.7370270588235295,1.7330588235294118
complex,20.07,1.7353705555555556,1.7334388888888888,1.7375194444444444,1.7353705555555556,1.7375194444444444,1.7334388888888888
complex,20.08,1.7348273684210527,1.7341484210526315,1.7375436842105265,1.7348273684210527,1.7375436842105265,1.7341484210526315
complex,20.09,1.7349595,1.7348814999999997,1.737505,1.7349595,1.737505,1.7348814999999997
complex,20.1,1.735448095238095,1.7350680952380952,1.7378542857142858,1.735448095238095,1.7378542857142858,1.7350680952380952
complex,20.11,1.7359747619047619,1.735232857142857,1.7378457142857142,1.7359747619047619,1.7378457142857142,1.735232857142857
complex,20.12,1.7360133333333334,1.7348733333333335,1.738617619047619,1.7360133333333334,1.738617619047619,1.7348733333333335
complex,20.13,1.737180476190476,1.7351809523809525,1.7383419047619049,1.737180476190476,1.7383419047619049,1.7351809523809525
complex,20.14,1.7377338095238095,1.735947142857143,1.7380371428571426,1.7380371428571426,1.7377338095238095,1.735947142857143
complex,20.15,1.7367842857142857,1.7367323809523811,1.739004285714286,1.739004285714286,1.7367842857142857,1.7367323809523811
complex,20.16,1.7370266666666665,1.7358604761904761,1.7393676190476188,1.7393676190476188,1.7358604761904761,1.7370266666666665
complex,20.17,1.7368757142857143,1.7353690476190478,1.7402361904761907,1.7402361904761907,1.7353690476190478,1.7368757142857143
complex,20.18,1.7363228571428573,1.7349090476190476,1.74074,1.74074,1.7349090476190476,1.7363228571428573
complex,20.19,1.7366776190476192,1.7344652380952383,1.741301904761905,1.741301904761905,1.7344652380952383,1.7366776190476192
complex,20.2,1.7375719047619047,1.7342933333333335,1.7411028571428573,1.7411028571428573,1.7342933333333335,1.7375719047619047
complex,20.21,1.738252380952381,1.7344523809523809,1.7419076190476188,1.7419076190476188,1.7344523809523809,1.738252380952381
complex,20.22,1.7383204761904762,1.734221904761905,1.7416171428571428,1.7416171428571428,1.734221904761905,1.7383204761904762
complex,20.23,1.737471904761905,1.7337161904761904,1.741588571428571,1.741588571428571,1.7337161904761904,1.737471904761905
complex,20.24,1.7377671428571426,1.7327533333333331,1.7414142857142856,1.7414142857142856,1.7327533333333331,1.7377671428571426
complex,20.25,1.7376642857142857,1.7329514285714287,1.7408290476190476,1.7408290476190476,1.7329514285714287,1.7376642857142857
complex,20.26,1.737584761904762,1.7321090476190477,1.7401652380952382,1.7401652380952382,1.7321090476190477,1.737584761904762
complex,20.27,1.7379528571428573,1.7315738095238096,1.7401485714285716,1.7401485714285716,1.7315738095238096,1.7379528571428573
complex,20.28,1.7377009523809523,1.730822857142857,1.7404223809523807,1.7404223809523807,1.730822857142857,1.7377009523809523
complex,20.29,1.7373928571428572,1.7303071428571428,1.7410890476190477,1.7410890476190477,1.7303071428571428,1.7373928571428572
complex,20.3,1.737457142857143,1.7298342857142854,1.74098,1.74098,1.7298342857142854,1.737457142857143
complex,20.31,1.738389523809524,1.7297319047619049,1.7408704761904763,1.7408704761904763,1.7297319047619049,1.738389523809524
complex,20.32,1.7391261904761905,1.729369523809524,1.7399238095238097,1.7399238095238097,1.729369523809524,1.7391261904761905
complex,20.33,1.7397090476190475,1.7286604761904762,1.7400533333333332,1.7400533333333332,1.7286604761904762,1.7397090476190475
complex,20.34,1.7394228571428574,1.7283114285714285,1.739717142857143,1.739717142857143,1.7283114285714285,1.7394228571428574
complex,20.35,1.7394114285714284,1.728093333333333,1.7395333333333334,1.7395333333333334,1.728093333333333,1.7394114285714284
complex,20.36,1.7384938095238094,1.7287871428571429,1.7389390476190474,1.7384938095238094,1.7287871428571429,1.7389390476190474
complex,20.37,1.7379142857142857,1.7293142857142858,1.7390752380952381,1.7379142857142857,1.7293142857142858,1.7390752380952381
complex,20.38,1.7370466666666664,1.7289128571428571,1.7394766666666666,1.7370466666666664,1.7289128571428571,1.7394766666666666
complex,20.39,1.7369857142857144,1.7292561904761905,1.7394071428571427,1.7369857142857144,1.7292561904761905,1.7394071428571427
complex,20.4,1.7366080952380951,1.7290895238095236,1.7393380952380952,1.7366080952380951,1.7290895238095236,1.7393380952380952
complex,20.41,1.7362933333333332,1.7287533333333334,1.7394533333333333,1.7362933333333332,1.7287533333333334,1.7394533333333333
complex,20.42,1.7354380952380954,1.7288123809523812,1.739642857142857,1.7354380952380954,1.7288123809523812,1.739642857142857
complex,20.43,1.7350857142857141,1.7287861904761905,1.7399533333333335,1.7350857142857141,1.7287861904761905,1.7399533333333335
complex,20.44,1.7348376190476191,1.7295309523809523,1.740685238095238,1.7348376190476191,1.7295309523809523,1.740685238095238
complex,20.45,1.7350180952380954,1.730365238095238,1.7416333333333334,1.7350180952380954,1.730365238095238,1.7416333333333334
complex,20.46,1.7348409523809525,1.730267619047619,1.7423480952380954,1.7348409523809525,1.730267619047619,1.7423480952380954
complex,20.47,1.7356138095238096,1.7299814285714288,1.7433638095238093,1.7356138095238096,1.7299814285714288,1.7433638095238093
complex,20.48,1.7357114285714286,1.7301285714285712,1.7439138095238096,1.7357114285714286,1.7301285714285712,1.7439138095238096
complex,20.49,1.7361223809523811,1.7305152380952382,1.7450942857142857,1.7361223809523811,1.7305152380952382,1.7450942857142857
complex,20.5,1.7359823809523809,1.7310571428571426,1.7451985714285714,1.7359823809523809,1.7310571428571426,1.7451985714285714
complex,20.51,1.7363123809523808,1.7315633333333333,1.7447680952380953,1.7363123809523808,1.7315633333333333,1.7447680952380953
complex,20.52,1.7363490476190475,1.7309795238095238,1.743984761904762,1.7363490476190475,1.7309795238095238,1.743984761904762
complex,20.53,1.736757619047619,1.730785238095238,1.7435257142857143,1.736757619047619,1.730785238095238,1.7435257142857143
complex,20.54,1.7370190476190477,1.730765238095238,1.7438028571428572,1.7370190476190477,1.730765238095238,1.7438028571428572
complex,20.55,1.7365357142857143,1.7302033333333335,1.7432809523809523,1.7365357142857143,1.7302033333333335,1.7432809523809523
complex,20.56,1.735945238095238,1.7303023809523812,1.7431461904761907,1.735945238095238,1.7303023809523812,1.7431461904761907
complex,20.57,1.735630952380952,1.729762380952381,1.7435961904761907,1.735630952380952,1.729762380952381,1.7435961904761907
complex,20.58,1.7355261904761905,1.7299623809523808,1.7428709523809525,1.7355261904761905,1.7299623809523808,1.7428709523809525
complex,20.59,1.7354271428571428,1.7305495238095236,1.7435709523809524,1.7354271428571428,1.7305495238095236,1.7435709523809524
complex,20.6,1.7359071428571429,1.7298614285714284,1.7443971428571432,1.7359071428571429,1.7298614285714284,1.7443971428571432
complex,20.61,1.736894285714286,1.7296261904761905,1.7453185714285715,1.736894285714286,1.7296261904761905,1.7453185714285715
complex,20.62,1.7372957142857142,1.7293338095238096,1.7455938095238097,1.7372957142857142,1.7293338095238096,1.7455938095238097
complex,20.63,1.7376200000000002,1.7290590476190477,1.7454195238095238,1.7376200000000002,1.7290590476190477,1.7454195238095238
complex,20.64,1.7377185714285712,1.7294547619047616,1.7453542857142856,1.7377185714285712,1.7294547619047616,1.7453542857142856
complex,20.65,1.7379214285714286,1.7300895238095237,1.7452809523809525,1.7379214285714286,1.7300895238095237,1.7452809523809525
complex,20.66,1.738117619047619,1.7302128571428572,1.7449109523809523,1.738117619047619,1.7302128571428572,1.7449109523809523
complex,20.67,1.738759523809524,1.730017619047619,1.744402380952381,1.738759523809524,1.730017619047619,1.744402380952381
complex,20.68,1.7388928571428572,1.7305661904761904,1.744522857142857,1.7388928571428572,1.7305661904761904,1.744522857142857
complex,20.69,1.7392290476190475,1.730091904761905,1.7449666666666663,1.7392290476190475,1.730091904761905,1.7449666666666663
complex,20.7,1.7391861904761907,1.7294666666666665,1.744287619047619,1.7391861904761907,1.7294666666666665,1.744287619047619
complex,20.71,1.739990476190476,1.7290104761904763,1.744962857142857,1.739990476190476,1.7290104761904763,1.744962857142857
complex,20.72,1.7402609523809522,1.7289333333333334,1.7450680952380953,1.7402609523809522,1.7289333333333334,1.7450680952380953
complex,20.73,1.740352857142857,1.7290504761904761,1.7454295238095237,1.740352857142857,1.7290504761904761,1.7454295238095237
complex,20.74,1.7405571428571427,1.729111904761905,1.7460142857142857,1.7405571428571427,1.729111904761905,1.7460142857142857
complex,20.75,1.7401233333333332,1.7290433333333335,1.7461985714285713,1.7401233333333332,1.7290433333333335,1.7461985714285713
complex,20.76,1.7409585714285711,1.7298638095238095,1.7475880952380953,1.7409585714285711,1.7298638095238095,1.7475880952380953
complex,20.77,1.741510476190476,1.7299085714285714,1.7480895238095238,1.741510476190476,1.7299085714285714,1.7480895238095238
complex,20.78,1.7419990476190477,1.730134285714286,1.7485352380952381,1.7419990476190477,1.730134285714286,1.7485352380952381
complex,20.79,1.7429142857142856,1.7296209523809525,1.7494242857142857,1.7429142857142856,1.7296209523809525,1.7494242857142857
complex,20.8,1.7434090476190476,1.729617142857143,1.74908,1.7434090476190476,1.729617142857143,1.74908
