"dataset","sample_id","group","S100A8","independent_score","antigen_score","monocyte_core_score","combined_score"
"GSE65682","GSM1602801","Sepsis",12.94401909,1.19029227764405,1.23336042009315,1.13021312526415,-0.0430681424491
"GSE65682","GSM1602802","Sepsis",13.02704212,1.2483662172252,1.14560980768493,1.08871485015138,0.102756409540266
"GSE65682","GSM1602803","Sepsis",13.27398919,1.26471839877497,1.03297706093572,1.19092413963016,0.231741337839245
"GSE65682","GSM1602804","Sepsis",12.89902889,1.1515739979162,1.27673224693203,1.14727890253357,-0.125158249015831
"GSE65682","GSM1602805","Sepsis",12.83040092,1.24352641413178,0.94652408589433,1.08850672841777,0.297002328237445
"GSE65682","GSM1602806","Sepsis",12.56977157,1.17893048699503,1.13378686304006,1.11890121119887,0.0451436239549716
"GSE65682","GSM1602807","Healthy",10.0931317,1.03276990288299,1.28999480160697,1.06864435073736,-0.257224898723982
"GSE65682","GSM1602808","Sepsis",12.91862063,1.06747165450704,1.20725496614717,1.04397043528006,-0.139783311640129
"GSE65682","GSM1602809","Healthy",11.62882946,0.923418166610703,1.31963917588198,1.0060977217281,-0.396221009271275
"GSE65682","GSM1602810","Sepsis",13.0766374,1.11364093108844,1.20579707075413,1.15083823381271,-0.092156139665694
"GSE65682","GSM1602811","Sepsis",13.06815973,1.27891678224008,1.04450173272464,1.09412615501317,0.234415049515433
"GSE65682","GSM1602812","Sepsis",13.06562726,1.23523941287561,1.09439334418895,1.01945208391475,0.140846068686665
"GSE65682","GSM1602813","Sepsis",12.97722476,1.16900559833727,1.16006784055911,1.12046085525829,0.00893775777815864
"GSE65682","GSM1602814","Sepsis",12.89562308,1.17127021638237,1.23826675626003,1.14053285745781,-0.0669965398776622
"GSE65682","GSM1602815","Sepsis",12.93101502,1.26070313237759,0.939569442873395,1.09366334834239,0.321133689504191
"GSE65682","GSM1602816","Sepsis",12.77785843,1.19774293286696,1.20051866917065,1.16961522369826,-0.00277573630368333
"GSE65682","GSM1602817","Sepsis",13.0355766,1.20957279163062,1.19667080874275,1.02931279080428,0.0129019828878689
"GSE65682","GSM1602818","Sepsis",13.26086955,1.23251629519607,0.98161033658046,1.03243591837036,0.250905958615614
"GSE65682","GSM1602819","Sepsis",13.38889001,1.28758882347499,1.00404536338518,1.0859311920775,0.283543460089811
"GSE65682","GSM1602820","Sepsis",12.68059221,1.17556378009038,1.20458016823894,1.17619591202258,-0.0290163881485559
"GSE65682","GSM1602821","Sepsis",13.12072127,1.28372294623998,1.04565082374148,1.14000889294621,0.2380721224985
"GSE65682","GSM1602822","Sepsis",12.76470049,1.1683994859906,1.2501740831885,0.977984396668859,-0.081774597197898
"GSE65682","GSM1602823","Sepsis",12.42635844,1.22110948626847,1.06888162067048,1.19252284766913,0.152227865597993
"GSE65682","GSM1602824","Sepsis",12.86601817,1.16970587016846,1.1446467618138,1.01591668721471,0.0250591083546559
"GSE65682","GSM1602825","Sepsis",12.74981905,1.20479457758347,1.21555168015488,1.10459135784663,-0.0107571025714166
"GSE65682","GSM1602826","Sepsis",13.08325643,1.28812006705894,1.05846120902867,1.13073931244258,0.229658858030265
"GSE65682","GSM1602827","Sepsis",12.71900469,1.14522632151098,1.18817585783114,1.19176769172272,-0.0429495363201595
"GSE65682","GSM1602828","Sepsis",12.2159005,1.11234291655986,1.26537201284045,1.16147549497199,-0.153029096280593
"GSE65682","GSM1602829","Sepsis",13.31587565,1.28476573282201,0.869238952586452,1.10495408864136,0.415526780235558
"GSE65682","GSM1602830","Sepsis",13.20452817,1.25765574366058,1.11479463965757,1.1637531154303,0.142861104003013
"GSE65682","GSM1602831","Sepsis",13.08051475,1.28162289340927,1.13722204082904,1.17340811420202,0.144400852580232
"GSE65682","GSM1602832","Sepsis",12.88849909,1.16493510786965,1.24190537593236,1.07243475238982,-0.0769702680627073
"GSE65682","GSM1602833","Sepsis",12.71564531,1.17271199351404,0.876499029576219,1.10849212945277,0.296212963937822
"GSE65682","GSM1602834","Sepsis",12.85866828,1.27424863720783,1.07559951372027,1.13734836006677,0.198649123487553
"GSE65682","GSM1602835","Sepsis",12.42850038,1.11453074297905,1.24054268973027,1.0870387774096,-0.126011946751213
"GSE65682","GSM1602836","Sepsis",12.91605223,1.09483402858922,1.2241787595895,1.12374492530167,-0.12934473100028
"GSE65682","GSM1602837","Sepsis",13.0842983,1.24209837439507,1.18204730939958,1.18063621586877,0.0600510649954829
"GSE65682","GSM1602838","Sepsis",13.10317901,1.17008250235048,1.19227806146546,1.13014342854732,-0.0221955591149763
"GSE65682","GSM1602839","Sepsis",13.34771531,1.25269658338764,1.0532873666485,1.15072728648204,0.199409216739141
"GSE65682","GSM1602840","Sepsis",13.21957334,1.24437160266044,1.11955084167834,1.04067516261733,0.124820760982105
"GSE65682","GSM1602841","Sepsis",13.1042095,1.18847789100854,1.12594244343227,1.07365140754625,0.0625354475762667
"GSE65682","GSM1602842","Sepsis",13.25006162,1.26753770035556,0.952281661803554,1.13052273946167,0.315256038552002
"GSE65682","GSM1602843","Sepsis",12.14651404,1.13259073501863,1.179979221122,1.08619614201567,-0.047388486103372
"GSE65682","GSM1602844","Sepsis",13.4327483,1.2751710732622,0.330258200671558,1.08780358975175,0.944912872590639
"GSE65682","GSM1602845","Sepsis",13.18454825,1.26796113020335,1.02392165976434,1.14558626398136,0.244039470439017
"GSE65682","GSM1602846","Sepsis",12.91255242,1.15197429689106,1.19776361286831,1.18548816940829,-0.0457893159772544
"GSE65682","GSM1602847","Sepsis",12.94460273,1.23248014347629,1.21094714885109,1.13135378341179,0.0215329946252019
"GSE65682","GSM1602848","Sepsis",12.44668598,1.15870723555738,0.998012825192241,1.07630108275466,0.160694410365137
"GSE65682","GSM1602849","Sepsis",12.56919889,1.21283628837769,1.18041239613824,1.14894827014137,0.0324238922394524
"GSE65682","GSM1602850","Sepsis",12.76157394,1.28059375411999,1.12590625679983,1.19460448873627,0.154687497320156
"GSE65682","GSM1602851","Sepsis",12.85899139,1.19167553178594,1.13435247445453,1.20385564803203,0.0573230573314156
"GSE65682","GSM1602852","Sepsis",12.96844537,1.21249247929997,1.20124576966297,1.05788790627848,0.0112467096370046
"GSE65682","GSM1602853","Sepsis",12.84503489,1.23380777685171,1.14658484815204,1.12767050689228,0.0872229286996706
"GSE65682","GSM1602854","Sepsis",12.945061,1.23798553264321,1.13187827828521,1.03741144344711,0.106107254358001
"GSE65682","GSM1602855","Sepsis",13.2306851,1.23909922895682,1.13259139784683,1.10687580487653,0.10650783110999
"GSE65682","GSM1602856","Sepsis",11.85841915,1.18131415908159,1.10570070489032,1.15175842500385,0.0756134541912661
"GSE65682","GSM1602857","Sepsis",11.61937363,1.08520708127197,1.04349591010823,1.07685677076644,0.041711171163741
"GSE65682","GSM1602858","Sepsis",13.21017683,1.27945713818769,0.89316628894705,1.14098118156239,0.386290849240637
"GSE65682","GSM1602859","Sepsis",12.70798262,1.24373547171251,1.11558694479497,1.0724606422429,0.128148526917535
"GSE65682","GSM1602860","Sepsis",12.9481658,1.22791043511312,1.12956000180633,1.11004960763842,0.0983504333067928
"GSE65682","GSM1602861","Sepsis",13.23189536,1.2628614161869,1.01301347114721,1.14581932106321,0.249847945039683
"GSE65682","GSM1602862","Healthy",10.18345886,0.89249293709147,1.30552375704691,1.03714003607733,-0.413030819955444
"GSE65682","GSM1602863","Sepsis",13.07862675,1.27816928967829,1.22269020188921,1.16348775172452,0.0554790877890758
"GSE65682","GSM1602864","Healthy",10.37289118,0.88086441887126,1.31654070338692,1.00441900379878,-0.435676284515663
"GSE65682","GSM1602865","Sepsis",13.15371255,1.236631331845,1.1043416695852,1.09157826619345,0.132289662259799
"GSE65682","GSM1602866","Sepsis",13.16766887,1.13586276512315,1.20941224284273,1.12552583313834,-0.0735494777195813
"GSE65682","GSM1602867","Sepsis",12.59722862,1.13123106712927,1.17039679258948,1.06419332855503,-0.0391657254602082
"GSE65682","GSM1602868","Sepsis",13.21279686,1.22181317716034,1.0746689393296,1.06422639587397,0.147144237830743
"GSE65682","GSM1602869","Sepsis",13.08744687,1.27498384793656,0.747399253353533,1.11175100853348,0.527584594583023
"GSE65682","GSM1602870","Healthy",10.58631514,0.914865412030653,1.33025820067156,1.06893224346124,-0.415392788640906
"GSE65682","GSM1602871","Healthy",11.77713358,0.975395772770666,1.29477520522495,1.04718202642424,-0.31937943245428
"GSE65682","GSM1602872","Healthy",11.49026563,0.98379934151359,1.31914257051642,1.0316131347296,-0.33534322900283
"GSE65682","GSM1602873","Sepsis",13.01077578,1.2349464565069,1.15410354102052,1.09904317892997,0.0808429154863768
"GSE65682","GSM1602874","Healthy",11.06355068,0.982197027046255,1.31525149641731,1.03461469785431,-0.333054469371051
"GSE65682","GSM1602875","Healthy",10.81040365,0.941529789288153,1.28781377197278,0.97840277599441,-0.346283982684629
"GSE65682","GSM1602876","Healthy",11.19316792,0.977732446992994,1.32180730924795,1.0671740504514,-0.34407486225496
"GSE65682","GSM1602877","Sepsis",12.62080087,1.20187730919728,1.2766803012625,1.04272096755092,-0.074802992065218
"GSE65682","GSM1602878","Sepsis",12.94968087,1.21242124301539,1.07821312303115,1.08877606906712,0.134208119984243
"GSE65682","GSM1602879","Sepsis",12.86367864,1.25085731643787,1.14485155307358,1.15964616051607,0.106005763364291
"GSE65682","GSM1602880","Sepsis",13.11229877,1.17082864423785,1.10323137706388,1.13980992490403,0.0675972671739731
"GSE65682","GSM1602881","Sepsis",12.89918578,1.16807522407157,1.1284904751575,1.11054715004742,0.0395847489140759
"GSE65682","GSM1602882","Sepsis",13.02403094,1.2496213672537,1.10755286922463,1.125146318493,0.142068498029068
"GSE65682","GSM1602883","Sepsis",13.21804067,1.28340380118157,0.656949421140553,1.09496874855867,0.626454380041018
"GSE65682","GSM1602884","Healthy",11.06206882,0.940573213281603,1.29098718034538,1.00290970504821,-0.350413967063777
"GSE65682","GSM1602885","Sepsis",13.39153121,1.28872087652083,0.695520863833055,1.1168444463349,0.593200012687776
"GSE65682","GSM1602886","Sepsis",12.60855837,1.15133288705256,1.16409380049633,1.12411911257843,-0.0127609134437701
"GSE65682","GSM1602887","Sepsis",12.44860179,1.10568950417297,1.20516083639526,1.10487508900218,-0.0994713322222898
"GSE65682","GSM1602888","Sepsis",12.65069807,1.16479923169166,1.20431453689485,1.13159778737322,-0.0395153052031858
"GSE65682","GSM1602889","Sepsis",13.26813684,1.27417644402066,1.11485819309746,1.12225222322208,0.159318250923197
"GSE65682","GSM1602890","Sepsis",13.30283092,1.2720065470442,0.867883999240487,1.11860980749471,0.404122547803715
"GSE65682","GSM1602891","Healthy",10.82068746,0.978811820189176,1.2887117158343,1.05037052500361,-0.309899895645127
"GSE65682","GSM1602892","Healthy",11.92487393,0.967336841518588,1.30552033684026,1.07705029936073,-0.338183495321671
"GSE65682","GSM1602893","Healthy",11.66657073,1.02823453220618,1.29463998710882,1.1007895461237,-0.266405454902648
"GSE65682","GSM1602894","Healthy",10.47469604,0.924981682152891,1.30851949047541,1.0019071105128,-0.383537808322515
"GSE65682","GSM1602895","Healthy",11.4108261,0.966747568101985,1.32675038766908,1.06216252077525,-0.360002819567096
"GSE65682","GSM1602896","Healthy",10.455185,0.878514477894688,1.32542157245139,1.04669926230521,-0.4469070945567
"GSE65682","GSM1602897","Healthy",10.43202309,0.917203903481789,1.28332222194283,0.967904926547981,-0.366118318461037
"GSE65682","GSM1602898","Healthy",11.18032023,1.00791229724217,1.31582874845757,1.06888496115863,-0.307916451215402
"GSE65682","GSM1602899","Healthy",11.63740667,1.00009905409594,1.28481262971179,1.05937286657202,-0.284713575615843
"GSE65682","GSM1602900","Healthy",11.35338196,0.930699336916111,1.28716550290892,1.02211847206816,-0.35646616599281
"GSE65682","GSM1602901","Healthy",10.40515466,0.916449033276464,1.28473314334443,1.04684423851616,-0.368284110067962
"GSE65682","GSM1602902","Sepsis",13.26638116,1.28647758150661,0.633665411686996,1.08531450437736,0.652812169819617
"GSE65682","GSM1602903","Sepsis",12.78619827,1.20666330334954,1.11343768812801,1.06241906717826,0.0932256152215245
"GSE65682","GSM1602904","Sepsis",12.95183031,1.1723777028648,1.25539665134315,1.1544155926441,-0.0830189484783543
"GSE65682","GSM1602905","Sepsis",12.61262611,1.12460022686986,1.27940903595503,1.105584172142,-0.154808809085175
"GSE65682","GSM1602906","Sepsis",12.73959847,1.18563187089411,1.02354980629856,1.09728837279716,0.162082064595543
"GSE65682","GSM1602907","Sepsis",12.34463411,1.11114220439471,1.24090273789997,1.13794212570731,-0.129760533505257
"GSE65682","GSM1602908","Sepsis",13.14834672,1.21818379416285,0.997145476016615,1.02359433703785,0.221038318146231
