"Sample","ME","Group"
"GSM1602801",-0.0133151606129336,"Disease"
"GSM1602802",0.0199230759957151,"Disease"
"GSM1602803",0.0375292422264418,"Disease"
"GSM1602804",-0.0221568269734838,"Disease"
"GSM1602805",0.00503665286957999,"Disease"
"GSM1602806",-0.00631740767430349,"Disease"
"GSM1602807",-0.0518499561064651,"Normal"
"GSM1602808",-0.0394549979827008,"Disease"
"GSM1602810",-0.0130023685016463,"Disease"
"GSM1602811",0.0623052118725666,"Disease"
"GSM1602812",0.0051012215958389,"Disease"
"GSM1602813",-0.000931751799167483,"Disease"
"GSM1602814",-0.0131266420879537,"Disease"
"GSM1602815",0.0116904747934596,"Disease"
"GSM1602816",-0.0161388259045386,"Disease"
"GSM1602817",-0.0245123172622915,"Disease"
"GSM1602818",-0.0149705003416779,"Disease"
"GSM1602819",0.0899259114501158,"Disease"
"GSM1602820",-0.0213768328231,"Disease"
"GSM1602821",0.096404234552486,"Disease"
"GSM1602822",-0.0256949728381342,"Disease"
"GSM1602823",0.0197724523065778,"Disease"
"GSM1602824",-0.01968244794884,"Disease"
"GSM1602825",-0.0113575064600427,"Disease"
"GSM1602826",0.0544723707794393,"Disease"
"GSM1602827",-0.0267443716323872,"Disease"
"GSM1602828",-0.028443345458401,"Disease"
"GSM1602829",0.0563096210970967,"Disease"
"GSM1602830",0.0338488323770917,"Disease"
"GSM1602831",0.0439978261214215,"Disease"
"GSM1602832",-0.0142061139337027,"Disease"
"GSM1602833",-0.0423266027085119,"Disease"
"GSM1602834",0.0348764149719148,"Disease"
"GSM1602835",-0.0273629575136073,"Disease"
"GSM1602836",-0.00773581442832006,"Disease"
"GSM1602837",0.0296330244872974,"Disease"
"GSM1602838",-0.0105873484127409,"Disease"
"GSM1602839",0.0691778633822964,"Disease"
"GSM1602840",0.020096233357905,"Disease"
"GSM1602841",-0.00330964381421246,"Disease"
"GSM1602842",0.0361392858009663,"Disease"
"GSM1602843",-0.0422020114829297,"Disease"
"GSM1602844",0.114161864778302,"Disease"
"GSM1602845",0.0207477471399517,"Disease"
"GSM1602846",-0.00646851963351041,"Disease"
"GSM1602847",-0.00439555120463063,"Disease"
"GSM1602848",-0.0363899693326967,"Disease"
"GSM1602849",-0.0124337527226777,"Disease"
"GSM1602850",0.0272059656573252,"Disease"
"GSM1602851",-0.0327419617877528,"Disease"
"GSM1602852",-0.0275190661744479,"Disease"
"GSM1602853",-0.0132568283321397,"Disease"
"GSM1602854",0.00864359032444791,"Disease"
"GSM1602855",0.087499935498815,"Disease"
"GSM1602856",-0.0237899421137672,"Disease"
"GSM1602857",-0.0545147254685606,"Disease"
"GSM1602858",0.0605199184430562,"Disease"
"GSM1602859",0.0396639289122777,"Disease"
"GSM1602860",-0.0165681898251829,"Disease"
"GSM1602861",0.0509392646667715,"Disease"
"GSM1602863",0.0257675606829939,"Disease"
