"lambda","ll","cvm","cvsd","cvup","cvlo","nzero"
0.177039286132001,-1.73138361548877,0.408170934512761,0.0415271157035751,0.449698050216336,0.366643818809186,0
0.161311603892753,-1.82441735661984,0.345557590878623,0.036278544469849,0.381836135348472,0.309279046408774,1
0.146981125596331,-1.91745109775091,0.2915088152017,0.0264045478212381,0.317913363022938,0.265104267380462,1
0.133923727495309,-2.01048483888199,0.256338135748504,0.0213428169511016,0.277680952699605,0.234995318797402,1
0.122026312653886,-2.10351858001306,0.230202003848259,0.0182714172948809,0.24847342114314,0.211930586553378,1
0.111185831356325,-2.19655232114413,0.209405717310496,0.0162528265268188,0.225658543837315,0.193152890783677,1
0.101308388539621,-2.2895860622752,0.192166990787952,0.0148669562163526,0.207033947004305,0.1773000345716,1
0.09230843051938,-2.38261980340628,0.17749047600991,0.0138902983664483,0.191380774376358,0.163600177643461,1
0.0841080039647334,-2.47565354453735,0.164763642356134,0.0131905233166701,0.177954165672804,0.151573119039464,1
0.076636080703879,-2.56868728566842,0.153595236492736,0.0126861470520952,0.166281383544832,0.140909089440641,1
0.0698279425120354,-2.66172102679949,0.143698238029889,0.0123180033412942,0.156016241371184,0.131380234688595,1
0.0636246205531402,-2.75475476793057,0.134832048141129,0.0120824774823521,0.146914525623481,0.122749570658777,2
0.0579723846200014,-2.84778850906164,0.126665186438017,0.0119572877893143,0.138622474227332,0.114707898648703,3
0.0528222777489477,-2.94082225019271,0.118846366270297,0.0118907982427579,0.130737164513055,0.106955568027539,4
0.048129692178029,-3.03385599132378,0.111388651839397,0.0117134532466057,0.123102105086002,0.0996751985927909,4
0.043853982975923,-3.12688973245486,0.104451522687243,0.0114389006205471,0.11589042330779,0.0930126220666961,5
0.0399581159949838,-3.21992347358593,0.0981663139225086,0.0111850310012711,0.10935134492378,0.0869812829212376,5
0.0364083470991718,-3.312957214717,0.0924303992994823,0.010967660895829,0.103398060195311,0.0814627384036533,5
0.0331739298884908,-3.40599095584808,0.087035043709547,0.0107566943720854,0.0977917380816325,0.0762783493374616,5
0.0302268493883793,-3.49902469697915,0.0820086109436696,0.0105153911387932,0.0925240020824628,0.0714932198048764,4
0.0275415793974034,-3.59205843811022,0.0774946968875809,0.01028318808708,0.0877778849746609,0.0672115088005009,4
0.0250948613915117,-3.68509217924129,0.0734610191990481,0.0100871121517663,0.0835481313508144,0.0633739070472818,4
0.022865503069826,-3.77812592037237,0.0697839738684848,0.00993455417204173,0.0797185280405266,0.0598494196964431,5
0.0208341947970698,-3.87115966150344,0.066360093481802,0.00981272507088228,0.0761728185526843,0.0565473684109197,5
0.0189833423527451,-3.96419340263451,0.0632495252517565,0.00972655986465738,0.0729760851164139,0.0535229653870991,5
0.0172969145384111,-4.05722714376558,0.0604740303102763,0.00966812929444889,0.0701421596047252,0.0508059010158275,5
0.0157603043231128,-4.15026088489666,0.0579691782400003,0.00961918862983469,0.067588366869835,0.0483499896101656,5
0.0143602023242663,-4.24329462602773,0.055630122881046,0.00958870922848243,0.0652188321095285,0.0460414136525636,6
0.0130844815281545,-4.3363283671588,0.0534694032549855,0.00955816681526791,0.0630275700702534,0.0439112364397176,6
