"Gene","Step","Coefficient","StepIndex","Lambda","LogLambda"
"ACER3","s0",0,0,0.177039286132001,-1.73138361548877
"ACER3","s1",0,1,0.161311603892753,-1.82441735661984
"ACER3","s2",0,2,0.146981125596331,-1.91745109775091
"ACER3","s3",0,3,0.133923727495309,-2.01048483888199
"ACER3","s4",0,4,0.122026312653886,-2.10351858001306
"ACER3","s5",0,5,0.111185831356325,-2.19655232114413
"ACER3","s6",0,6,0.101308388539621,-2.2895860622752
"ACER3","s7",0,7,0.09230843051938,-2.38261980340628
"ACER3","s8",0,8,0.0841080039647334,-2.47565354453735
"ACER3","s9",0,9,0.076636080703879,-2.56868728566842
"ACER3","s10",0,10,0.0698279425120354,-2.66172102679949
"ACER3","s11",0,11,0.0636246205531402,-2.75475476793057
"ACER3","s12",0,12,0.0579723846200014,-2.84778850906164
"ACER3","s13",0,13,0.0528222777489477,-2.94082225019271
"ACER3","s14",0,14,0.048129692178029,-3.03385599132378
"ACER3","s15",0,15,0.043853982975923,-3.12688973245486
"ACER3","s16",0,16,0.0399581159949838,-3.21992347358593
"ACER3","s17",0,17,0.0364083470991718,-3.312957214717
"ACER3","s18",0,18,0.0331739298884908,-3.40599095584808
"ACER3","s19",0,19,0.0302268493883793,-3.49902469697915
"ACER3","s20",0,20,0.0275415793974034,-3.59205843811022
"ACER3","s21",0,21,0.0250948613915117,-3.68509217924129
"ACER3","s22",0,22,0.022865503069826,-3.77812592037237
"ACER3","s23",0,23,0.0208341947970698,-3.87115966150344
"ACER3","s24",0,24,0.0189833423527451,-3.96419340263451
"ACER3","s25",0,25,0.0172969145384111,-4.05722714376558
"ACER3","s26",0,26,0.0157603043231128,-4.15026088489666
"ACER3","s27",0,27,0.0143602023242663,-4.24329462602773
"ACER3","s28",0,28,0.0130844815281545,-4.3363283671588
"ACER3","s29",0,29,0.0119220922515355,-4.42936210828987
"ACER3","s30",0,30,0.0108629664345722,-4.52239584942095
"ACER3","s31",0,31,0.00989793043611486,-4.61542959055202
"ACER3","s32",0,32,0.0090186255760098,-4.70846333168309
"ACER3","s33",0,33,0.00821743573621073,-4.80149707281416
"ACER3","s34",0,34,0.00748742139360768,-4.89453081394524
"ACER3","s35",0,35,0.00682225951319765,-4.98756455507631
"ACER3","s36",0,36,0.00621618878098029,-5.08059829620738
"ACER3","s37",0,37,0.00566395970221219,-5.17363203733845
"ACER3","s38",0,38,0.00516078913279472,-5.26666577846953
"ACER3","s39",0,39,0.0047023188499681,-5.3596995196006
"ACER3","s40",0,40,0.00428457780347076,-5.45273326073167
"ACER3","s41",0,41,0.00390394772020166,-5.54576700186274
"ACER3","s42",0,42,0.00355713176446973,-5.63880074299382
"ACER3","s43",0,43,0.00324112598238019,-5.73183448412489
"ACER3","s44",0,44,0.00295319328302306,-5.82486822525596
"ACER3","s45",0,45,0.00269083973110104,-5.91790196638703
"ACER3","s46",0,46,0.00245179294565508,-6.01093570751811
"ACER3","s47",0,47,0.0022339824177876,-6.10396944864918
"ACER3","s48",0,48,0.00203552157690489,-6.19700318978025
"ACER3","s49",0,49,0.00185469145014521,-6.29003693091132
"ACER3","s50",0,50,0.00168992577345814,-6.3830706720424
"ACER3","s51",0,51,0.00153979742537472,-6.47610441317347
"ACER3","s52",0,52,0.00140300606596397,-6.56913815430454
"ACER3","s53",0,53,0.00127836687391048,-6.66217189543561
"ACER3","s54",0,54,0.00116480028415901,-6.75520563656669
"ACER3","s55",0,55,0.00106132263723843,-6.84823937769776
"ACER3","s56",0,56,0.000967037659273928,-6.94127311882883
"ACER3","s57",0,57,0.000881128698891504,-7.0343068599599
"ACER3","s58",0,58,0.000802851653774438,-7.12734060109098
"ACER3","s59",0,59,0.000731528525604995,-7.22037434222205
"ACER3","s60",0,60,0.000666541547567348,-7.31340808335312
"ACER3","s61",0,61,0.000607327833546948,-7.40644182448419
"ACER3","s62",0,62,0.000553374502680286,-7.49947556561527
"ACER3","s63",0,63,0.000504214237026208,-7.59250930674634
"ACER3","s64",0,64,0.000459421233881468,-7.68554304787741
"ACER3","s65",0,65,0.000418607517681417,-7.77857678900848
"ACER3","s66",0,66,0.000381419579541263,-7.87161053013956
"ACER3","s67",0,67,0.000347535315331229,-7.96464427127063
"ACER3","s68",0,68,0.000316661235764668,-8.0576780124017
"ACER3","s69",0,69,0.000288529924334272,-8.15071175353278
"ACER3","s70",0,70,0.000262897721078208,-8.24374549466385
"ACER3","s71",0,71,0.000239542612114102,-8.33677923579492
"ACER3","s72",0,72,0.000218262306660988,-8.42981297692599
"ACER3","s73",0,73,0.00019887248489335,-8.52284671805706
"ACER3","s74",0,74,0.000181205201450961,-8.61588045918814
"ACER3","s75",0,75,0.00016510743077652,-8.70891420031921
"ACER3","s76",0,76,0.000150439741681481,-8.80194794145028
"ACER3","s77",0,77,0.000137075089659801,-8.89498168258135
"ACER3","s78",0,78,0.000124897716489202,-8.98801542371243
"ACER3","s79",0,79,0.000113802147588832,-9.0810491648435
"ACER3","s80",0,80,0.000103692278448902,-9.17408290597457
"ACER3","s81",0,81,9.44805422193964e-05,-9.26711664710565
"ACER3","s82",0,82,8.6087151247911e-05,-9.36015038823672
"ACER3","s83",0,83,7.84394059971776e-05,-9.45318412936779
"ACER3","s84",0,84,7.14710653564502e-05,-9.54621787049886
"ACER3","s85",0,85,6.51217728926934e-05,-9.63925161162994
"ACER3","s86",0,86,5.93365340720335e-05,-9.73228535276101
"ACER3","s87",0,87,5.40652399234147e-05,-9.82531909389208
"ACN9","s0",0,0,0.177039286132001,-1.73138361548877
"ACN9","s1",0,1,0.161311603892753,-1.82441735661984
"ACN9","s2",0,2,0.146981125596331,-1.91745109775091
"ACN9","s3",0,3,0.133923727495309,-2.01048483888199
"ACN9","s4",0,4,0.122026312653886,-2.10351858001306
"ACN9","s5",0,5,0.111185831356325,-2.19655232114413
"ACN9","s6",0,6,0.101308388539621,-2.2895860622752
"ACN9","s7",0,7,0.09230843051938,-2.38261980340628
"ACN9","s8",0,8,0.0841080039647334,-2.47565354453735
"ACN9","s9",0,9,0.076636080703879,-2.56868728566842
"ACN9","s10",0,10,0.0698279425120354,-2.66172102679949
"ACN9","s11",0,11,0.0636246205531402,-2.75475476793057
"ACN9","s12",0,12,0.0579723846200014,-2.84778850906164
"ACN9","s13",0,13,0.0528222777489477,-2.94082225019271
"ACN9","s14",0,14,0.048129692178029,-3.03385599132378
"ACN9","s15",0,15,0.043853982975923,-3.12688973245486
"ACN9","s16",0,16,0.0399581159949838,-3.21992347358593
"ACN9","s17",0,17,0.0364083470991718,-3.312957214717
"ACN9","s18",0,18,0.0331739298884908,-3.40599095584808
"ACN9","s19",0,19,0.0302268493883793,-3.49902469697915
"ACN9","s20",0,20,0.0275415793974034,-3.59205843811022
"ACN9","s21",0,21,0.0250948613915117,-3.68509217924129
"ACN9","s22",0,22,0.022865503069826,-3.77812592037237
"ACN9","s23",0,23,0.0208341947970698,-3.87115966150344
"ACN9","s24",0,24,0.0189833423527451,-3.96419340263451
"ACN9","s25",0,25,0.0172969145384111,-4.05722714376558
"ACN9","s26",0,26,0.0157603043231128,-4.15026088489666
"ACN9","s27",0,27,0.0143602023242663,-4.24329462602773
"ACN9","s28",0,28,0.0130844815281545,-4.3363283671588
"ACN9","s29",0,29,0.0119220922515355,-4.42936210828987
"ACN9","s30",0,30,0.0108629664345722,-4.52239584942095
"ACN9","s31",0,31,0.00989793043611486,-4.61542959055202
"ACN9","s32",0,32,0.0090186255760098,-4.70846333168309
"ACN9","s33",0,33,0.00821743573621073,-4.80149707281416
"ACN9","s34",0,34,0.00748742139360768,-4.89453081394524
"ACN9","s35",0,35,0.00682225951319765,-4.98756455507631
"ACN9","s36",0,36,0.00621618878098029,-5.08059829620738
"ACN9","s37",0,37,0.00566395970221219,-5.17363203733845
"ACN9","s38",0,38,0.00516078913279472,-5.26666577846953
"ACN9","s39",0,39,0.0047023188499681,-5.3596995196006
"ACN9","s40",0,40,0.00428457780347076,-5.45273326073167
"ACN9","s41",0,41,0.00390394772020166,-5.54576700186274
"ACN9","s42",0,42,0.00355713176446973,-5.63880074299382
"ACN9","s43",0,43,0.00324112598238019,-5.73183448412489
"ACN9","s44",0,44,0.00295319328302306,-5.82486822525596
"ACN9","s45",0,45,0.00269083973110104,-5.91790196638703
"ACN9","s46",0,46,0.00245179294565508,-6.01093570751811
"ACN9","s47",0,47,0.0022339824177876,-6.10396944864918
"ACN9","s48",0,48,0.00203552157690489,-6.19700318978025
"ACN9","s49",0,49,0.00185469145014521,-6.29003693091132
"ACN9","s50",0,50,0.00168992577345814,-6.3830706720424
"ACN9","s51",0,51,0.00153979742537472,-6.47610441317347
"ACN9","s52",0,52,0.00140300606596397,-6.56913815430454
"ACN9","s53",0,53,0.00127836687391048,-6.66217189543561
"ACN9","s54",0,54,0.00116480028415901,-6.75520563656669
"ACN9","s55",0,55,0.00106132263723843,-6.84823937769776
"ACN9","s56",0,56,0.000967037659273928,-6.94127311882883
"ACN9","s57",0,57,0.000881128698891504,-7.0343068599599
"ACN9","s58",0,58,0.000802851653774438,-7.12734060109098
"ACN9","s59",0,59,0.000731528525604995,-7.22037434222205
"ACN9","s60",0,60,0.000666541547567348,-7.31340808335312
"ACN9","s61",0,61,0.000607327833546948,-7.40644182448419
"ACN9","s62",0,62,0.000553374502680286,-7.49947556561527
"ACN9","s63",0,63,0.000504214237026208,-7.59250930674634
"ACN9","s64",0,64,0.000459421233881468,-7.68554304787741
"ACN9","s65",0,65,0.000418607517681417,-7.77857678900848
"ACN9","s66",0,66,0.000381419579541263,-7.87161053013956
"ACN9","s67",0,67,0.000347535315331229,-7.96464427127063
"ACN9","s68",0,68,0.000316661235764668,-8.0576780124017
"ACN9","s69",0,69,0.000288529924334272,-8.15071175353278
"ACN9","s70",0,70,0.000262897721078208,-8.24374549466385
"ACN9","s71",0,71,0.000239542612114102,-8.33677923579492
"ACN9","s72",0,72,0.000218262306660988,-8.42981297692599
"ACN9","s73",0,73,0.00019887248489335,-8.52284671805706
"ACN9","s74",0,74,0.000181205201450961,-8.61588045918814
"ACN9","s75",0,75,0.00016510743077652,-8.70891420031921
"ACN9","s76",0,76,0.000150439741681481,-8.80194794145028
"ACN9","s77",0,77,0.000137075089659801,-8.89498168258135
"ACN9","s78",0,78,0.000124897716489202,-8.98801542371243
"ACN9","s79",0,79,0.000113802147588832,-9.0810491648435
"ACN9","s80",0,80,0.000103692278448902,-9.17408290597457
"ACN9","s81",0,81,9.44805422193964e-05,-9.26711664710565
"ACN9","s82",0,82,8.6087151247911e-05,-9.36015038823672
"ACN9","s83",0,83,7.84394059971776e-05,-9.45318412936779
"ACN9","s84",0,84,7.14710653564502e-05,-9.54621787049886
"ACN9","s85",0,85,6.51217728926934e-05,-9.63925161162994
"ACN9","s86",0,86,5.93365340720335e-05,-9.73228535276101
"ACN9","s87",0,87,5.40652399234147e-05,-9.82531909389208
"ACVR1B","s0",0,0,0.177039286132001,-1.73138361548877
"ACVR1B","s1",0,1,0.161311603892753,-1.82441735661984
"ACVR1B","s2",0,2,0.146981125596331,-1.91745109775091
"ACVR1B","s3",0,3,0.133923727495309,-2.01048483888199
"ACVR1B","s4",0,4,0.122026312653886,-2.10351858001306
"ACVR1B","s5",0,5,0.111185831356325,-2.19655232114413
"ACVR1B","s6",0,6,0.101308388539621,-2.2895860622752
"ACVR1B","s7",0,7,0.09230843051938,-2.38261980340628
"ACVR1B","s8",0,8,0.0841080039647334,-2.47565354453735
"ACVR1B","s9",0,9,0.076636080703879,-2.56868728566842
"ACVR1B","s10",0,10,0.0698279425120354,-2.66172102679949
"ACVR1B","s11",0,11,0.0636246205531402,-2.75475476793057
"ACVR1B","s12",0,12,0.0579723846200014,-2.84778850906164
"ACVR1B","s13",0,13,0.0528222777489477,-2.94082225019271
"ACVR1B","s14",0,14,0.048129692178029,-3.03385599132378
"ACVR1B","s15",0,15,0.043853982975923,-3.12688973245486
"ACVR1B","s16",0,16,0.0399581159949838,-3.21992347358593
"ACVR1B","s17",0,17,0.0364083470991718,-3.312957214717
"ACVR1B","s18",0,18,0.0331739298884908,-3.40599095584808
"ACVR1B","s19",0,19,0.0302268493883793,-3.49902469697915
"ACVR1B","s20",0,20,0.0275415793974034,-3.59205843811022
"ACVR1B","s21",0,21,0.0250948613915117,-3.68509217924129
"ACVR1B","s22",0,22,0.022865503069826,-3.77812592037237
"ACVR1B","s23",0,23,0.0208341947970698,-3.87115966150344
"ACVR1B","s24",0,24,0.0189833423527451,-3.96419340263451
