"Gene","Model","Value"
"S100A8","LASSO",1.33813909767882
"MAFG","LASSO",0.625310442292755
"C5orf32","LASSO",0.52729747602318
"ARG1","LASSO",0.503634555371325
"GRINA","LASSO",0.326980565120447
"S100A8","glmBoost",0.502702673412474
"ARG1","glmBoost",0.081683890841842
"GRINA","glmBoost",0.0463992996706184
"USP32","glmBoost",0.0211340827488051
"SLC22A4","glmBoost",0.016201892668923
"C19orf59","XGBoost",0.342649115109528
"C5orf32","XGBoost",0.258043407932518
"MAFG","XGBoost",0.158398441423486
"UPP1","XGBoost",0.0959751970828161
"S100A8","XGBoost",0.0601095629907263
"S100A12","Ranger",13.085193618012
"C19orf59","Ranger",12.6129366397013
"C5orf32","Ranger",9.67132991234958
"S100A8","Ranger",7.14639245023336
"GADD45A","Ranger",6.63763492672995
