receptor,tile,center_x,center_y,center_z,size,best_score_kcal_mol,returncode
BD,BD_tile11,21.20599937438965,23.158000946044922,-93.08650207519531,28,-7.605,0
AC,AC_tile01,8.47599995136261,10.958000004291534,-69.50499725341797,28,-7.15,0
AC,AC_tile02,8.47599995136261,10.958000004291534,-54.1039981842041,28,-7.058,0
BD,BD_tile12,21.20599937438965,23.158000946044922,-77.48400115966797,28,-6.883,0
AC,AC_tile07,25.255001068115234,10.958000004291534,-69.50499725341797,28,-6.825,0
BD,BD_tile02,-6.086000442504883,2.8449997901916504,-93.08650207519531,28,-6.683,0
BD,BD_tile01,-6.086000442504883,2.8449997901916504,-108.68900299072266,28,-6.621,0
BD,BD_tile09,21.20599937438965,2.8449997901916504,-77.48400115966797,28,-6.597,0
AC,AC_tile11,25.255001068115234,33.57500076293945,-54.1039981842041,28,-6.596,0
AC,AC_tile08,25.255001068115234,10.958000004291534,-54.1039981842041,28,-6.595,0
AC,AC_tile05,8.47599995136261,33.57500076293945,-54.1039981842041,28,-6.519,0
AC,AC_tile12,25.255001068115234,33.57500076293945,-38.702999114990234,28,-6.496,0
BD,BD_tile05,-6.086000442504883,23.158000946044922,-93.08650207519531,28,-6.365,0
BD,BD_tile08,21.20599937438965,2.8449997901916504,-93.08650207519531,28,-6.285,0
AC,AC_tile06,8.47599995136261,33.57500076293945,-38.702999114990234,28,-6.069,0
BD,BD_tile06,-6.086000442504883,23.158000946044922,-77.48400115966797,28,-6.059,0
BD,BD_tile10,21.20599937438965,23.158000946044922,-108.68900299072266,28,-5.958,0
BD,BD_tile04,-6.086000442504883,23.158000946044922,-108.68900299072266,28,-5.85,0
AC,AC_tile04,8.47599995136261,33.57500076293945,-69.50499725341797,28,-5.776,0
AC,AC_tile03,8.47599995136261,10.958000004291534,-38.702999114990234,28,-5.647,0
BD,BD_tile03,-6.086000442504883,2.8449997901916504,-77.48400115966797,28,-5.444,0
AC,AC_tile09,25.255001068115234,10.958000004291534,-38.702999114990234,28,-5.328,0
BD,BD_tile07,21.20599937438965,2.8449997901916504,-108.68900299072266,28,-5.113,0
AC,AC_tile10,25.255001068115234,33.57500076293945,-69.50499725341797,28,-5.102,0
