receptor,scoring,seed,best_score_kcal_mol,n_modes,returncode,pose_file
AC,vina,107985,-7.074,20,0,AC_vina_seed107985.pdbqt
AC,vina,207985,-7.102,20,0,AC_vina_seed207985.pdbqt
AC,vina,307985,-7.101,20,0,AC_vina_seed307985.pdbqt
AC,vina,407985,-7.048,20,0,AC_vina_seed407985.pdbqt
AC,vina,507985,-7.051,19,0,AC_vina_seed507985.pdbqt
AC,vina,607985,-7.102,20,0,AC_vina_seed607985.pdbqt
AC,vina,707985,-7.106,19,0,AC_vina_seed707985.pdbqt
AC,vina,807985,-7.087,20,0,AC_vina_seed807985.pdbqt
AC,vina,907985,-7.083,20,0,AC_vina_seed907985.pdbqt
AC,vina,1007985,-7.1,19,0,AC_vina_seed1007985.pdbqt
AC,vinardo,107985,-4.86,20,0,AC_vinardo_seed107985.pdbqt
AC,vinardo,207985,-4.861,20,0,AC_vinardo_seed207985.pdbqt
AC,vinardo,307985,-4.861,20,0,AC_vinardo_seed307985.pdbqt
AC,vinardo,407985,-4.866,20,0,AC_vinardo_seed407985.pdbqt
AC,vinardo,507985,-4.862,20,0,AC_vinardo_seed507985.pdbqt
AC,vinardo,607985,-4.8,20,0,AC_vinardo_seed607985.pdbqt
AC,vinardo,707985,-4.87,20,0,AC_vinardo_seed707985.pdbqt
AC,vinardo,807985,-4.859,19,0,AC_vinardo_seed807985.pdbqt
AC,vinardo,907985,-4.858,20,0,AC_vinardo_seed907985.pdbqt
AC,vinardo,1007985,-4.842,19,0,AC_vinardo_seed1007985.pdbqt
BD,vina,107985,-7.572,20,0,BD_vina_seed107985.pdbqt
BD,vina,207985,-7.583,20,0,BD_vina_seed207985.pdbqt
BD,vina,307985,-7.585,20,0,BD_vina_seed307985.pdbqt
BD,vina,407985,-7.577,20,0,BD_vina_seed407985.pdbqt
BD,vina,507985,-7.592,20,0,BD_vina_seed507985.pdbqt
BD,vina,607985,-7.588,20,0,BD_vina_seed607985.pdbqt
BD,vina,707985,-7.585,20,0,BD_vina_seed707985.pdbqt
BD,vina,807985,-7.56,20,0,BD_vina_seed807985.pdbqt
BD,vina,907985,-7.573,20,0,BD_vina_seed907985.pdbqt
BD,vina,1007985,-7.552,20,0,BD_vina_seed1007985.pdbqt
BD,vinardo,107985,-5.307,20,0,BD_vinardo_seed107985.pdbqt
BD,vinardo,207985,-5.283,20,0,BD_vinardo_seed207985.pdbqt
BD,vinardo,307985,-5.305,20,0,BD_vinardo_seed307985.pdbqt
BD,vinardo,407985,-5.3,20,0,BD_vinardo_seed407985.pdbqt
BD,vinardo,507985,-5.285,20,0,BD_vinardo_seed507985.pdbqt
BD,vinardo,607985,-5.308,20,0,BD_vinardo_seed607985.pdbqt
BD,vinardo,707985,-5.29,20,0,BD_vinardo_seed707985.pdbqt
BD,vinardo,807985,-5.297,20,0,BD_vinardo_seed807985.pdbqt
BD,vinardo,907985,-5.28,20,0,BD_vinardo_seed907985.pdbqt
BD,vinardo,1007985,-5.309,20,0,BD_vinardo_seed1007985.pdbqt
