receptor,scoring,seed,best_score_kcal_mol,n_modes,returncode,pose_file,rmsd_to_reference_A
AC,vina,107985,-7.233,19,0,AC_vina_seed107985.pdbqt,0.0
AC,vina,207985,-7.239,18,0,AC_vina_seed207985.pdbqt,0.00783974096903385
AC,vina,307985,-7.236,19,0,AC_vina_seed307985.pdbqt,0.03155763957244941
AC,vina,407985,-7.234,20,0,AC_vina_seed407985.pdbqt,0.020405504536389885
AC,vina,507985,-7.233,19,0,AC_vina_seed507985.pdbqt,0.0005883484054144582
AC,vina,607985,-7.238,20,0,AC_vina_seed607985.pdbqt,0.012531498774626672
AC,vina,707985,-7.241,19,0,AC_vina_seed707985.pdbqt,0.0059999999999996645
AC,vina,807985,-7.232,19,0,AC_vina_seed807985.pdbqt,0.007716116998753699
AC,vina,907985,-7.239,20,0,AC_vina_seed907985.pdbqt,0.017320508075689134
AC,vina,1007985,-7.23,20,0,AC_vina_seed1007985.pdbqt,0.006025586470020804
AC,vinardo,107985,-5.265,20,0,AC_vinardo_seed107985.pdbqt,0.0
AC,vinardo,207985,-5.265,20,0,AC_vinardo_seed207985.pdbqt,0.005598763599773735
AC,vinardo,307985,-5.265,19,0,AC_vinardo_seed307985.pdbqt,0.00564323965875574
AC,vinardo,407985,-5.264,20,0,AC_vinardo_seed407985.pdbqt,0.0062971299934059125
AC,vinardo,507985,-5.271,20,0,AC_vinardo_seed507985.pdbqt,0.007379806126284248
AC,vinardo,607985,-5.265,20,0,AC_vinardo_seed607985.pdbqt,0.006012806844880928
AC,vinardo,707985,-5.264,20,0,AC_vinardo_seed707985.pdbqt,0.006098549638422999
AC,vinardo,807985,-5.265,19,0,AC_vinardo_seed807985.pdbqt,0.00754728682783045
AC,vinardo,907985,-5.262,19,0,AC_vinardo_seed907985.pdbqt,0.006324555320336559
AC,vinardo,1007985,-5.267,19,0,AC_vinardo_seed1007985.pdbqt,0.006627448749185412
BD,vina,107985,-7.791,20,0,BD_vina_seed107985.pdbqt,0.0
BD,vina,207985,-7.795,20,0,BD_vina_seed207985.pdbqt,0.01761773581890114
BD,vina,307985,-7.788,20,0,BD_vina_seed307985.pdbqt,0.020171381097600166
BD,vina,407985,-7.785,20,0,BD_vina_seed407985.pdbqt,0.06653397050206242
BD,vina,507985,-7.786,20,0,BD_vina_seed507985.pdbqt,0.02655111181215494
BD,vina,607985,-7.792,18,0,BD_vina_seed607985.pdbqt,0.012156036803548735
BD,vina,707985,-7.789,20,0,BD_vina_seed707985.pdbqt,0.05745499911301905
BD,vina,807985,-7.79,20,0,BD_vina_seed807985.pdbqt,0.023416792133982484
BD,vina,907985,-7.788,20,0,BD_vina_seed907985.pdbqt,0.07163905252132999
BD,vina,1007985,-7.781,20,0,BD_vina_seed1007985.pdbqt,0.03882257471745376
BD,vinardo,107985,-5.26,20,0,BD_vinardo_seed107985.pdbqt,0.0
BD,vinardo,207985,-5.261,20,0,BD_vinardo_seed207985.pdbqt,0.0006793662204874871
BD,vinardo,307985,-5.263,20,0,BD_vinardo_seed307985.pdbqt,0.004497862740321324
BD,vinardo,407985,-5.259,20,0,BD_vinardo_seed407985.pdbqt,0.005445534514981025
BD,vinardo,507985,-5.257,20,0,BD_vinardo_seed507985.pdbqt,0.005529640411176292
BD,vinardo,607985,-5.257,20,0,BD_vinardo_seed607985.pdbqt,0.004565758846693398
BD,vinardo,707985,-5.258,20,0,BD_vinardo_seed707985.pdbqt,0.006342772992214959
BD,vinardo,807985,-5.264,20,0,BD_vinardo_seed807985.pdbqt,0.01097199231610316
BD,vinardo,907985,-5.26,20,0,BD_vinardo_seed907985.pdbqt,0.004523443208611958
BD,vinardo,1007985,-5.256,20,0,BD_vinardo_seed1007985.pdbqt,0.006151922776347671
