receptor,tile,center_x,center_y,center_z,size,best_score_kcal_mol,returncode,compound,rank_within_compound_receptor
BD,BD_tile11,21.20599937438965,23.15800094604492,-93.08650207519533,28,-7.757,0,triptolide,1.0
BD,BD_tile12,21.20599937438965,23.15800094604492,-77.48400115966797,28,-7.237,0,triptolide,2.0
AC,AC_tile02,8.47599995136261,10.958000004291534,-54.1039981842041,28,-7.236,0,triptolide,1.0
AC,AC_tile01,8.47599995136261,10.958000004291534,-69.50499725341797,28,-7.14,0,triptolide,2.0
BD,BD_tile01,-6.086000442504883,2.8449997901916504,-108.68900299072266,28,-7.115,0,triptolide,3.0
BD,BD_tile02,-6.086000442504883,2.8449997901916504,-93.08650207519533,28,-6.985,0,triptolide,4.0
AC,AC_tile07,25.255001068115234,10.958000004291534,-69.50499725341797,28,-6.967,0,triptolide,3.0
AC,AC_tile12,25.255001068115234,33.57500076293945,-38.70299911499024,28,-6.873,0,triptolide,4.0
AC,AC_tile11,25.255001068115234,33.57500076293945,-54.1039981842041,28,-6.744,0,triptolide,5.0
BD,BD_tile08,21.20599937438965,2.8449997901916504,-93.08650207519533,28,-6.723,0,triptolide,5.0
AC,AC_tile05,8.47599995136261,33.57500076293945,-54.1039981842041,28,-6.664,0,triptolide,6.0
AC,AC_tile08,25.255001068115234,10.958000004291534,-54.1039981842041,28,-6.605,0,triptolide,7.0
BD,BD_tile09,21.20599937438965,2.8449997901916504,-77.48400115966797,28,-6.516,0,triptolide,6.0
BD,BD_tile05,-6.086000442504883,23.15800094604492,-93.08650207519533,28,-6.404,0,triptolide,7.0
AC,AC_tile06,8.47599995136261,33.57500076293945,-38.70299911499024,28,-6.108,0,triptolide,8.0
BD,BD_tile04,-6.086000442504883,23.15800094604492,-108.68900299072266,28,-5.735,0,triptolide,8.0
BD,BD_tile06,-6.086000442504883,23.15800094604492,-77.48400115966797,28,-5.651,0,triptolide,9.0
AC,AC_tile04,8.47599995136261,33.57500076293945,-69.50499725341797,28,-5.616,0,triptolide,9.0
AC,AC_tile09,25.255001068115234,10.958000004291534,-38.70299911499024,28,-5.589,0,triptolide,10.0
AC,AC_tile10,25.255001068115234,33.57500076293945,-69.50499725341797,28,-5.554,0,triptolide,11.0
BD,BD_tile10,21.20599937438965,23.15800094604492,-108.68900299072266,28,-5.497,0,triptolide,10.0
AC,AC_tile03,8.47599995136261,10.958000004291534,-38.70299911499024,28,-5.458,0,triptolide,12.0
BD,BD_tile07,21.20599937438965,2.8449997901916504,-108.68900299072266,28,-5.425,0,triptolide,11.0
BD,BD_tile03,-6.086000442504883,2.8449997901916504,-77.48400115966797,28,-5.361,0,triptolide,12.0
BD,BD_tile11,21.20599937438965,23.15800094604492,-93.08650207519533,28,-7.605,0,16-hydroxytriptolide,1.0
AC,AC_tile01,8.47599995136261,10.958000004291534,-69.50499725341797,28,-7.15,0,16-hydroxytriptolide,1.0
AC,AC_tile02,8.47599995136261,10.958000004291534,-54.1039981842041,28,-7.058,0,16-hydroxytriptolide,2.0
BD,BD_tile12,21.20599937438965,23.15800094604492,-77.48400115966797,28,-6.883,0,16-hydroxytriptolide,2.0
AC,AC_tile07,25.255001068115234,10.958000004291534,-69.50499725341797,28,-6.825,0,16-hydroxytriptolide,3.0
BD,BD_tile02,-6.086000442504883,2.8449997901916504,-93.08650207519533,28,-6.683,0,16-hydroxytriptolide,3.0
BD,BD_tile01,-6.086000442504883,2.8449997901916504,-108.68900299072266,28,-6.621,0,16-hydroxytriptolide,4.0
BD,BD_tile09,21.20599937438965,2.8449997901916504,-77.48400115966797,28,-6.597,0,16-hydroxytriptolide,5.0
AC,AC_tile11,25.255001068115234,33.57500076293945,-54.1039981842041,28,-6.596,0,16-hydroxytriptolide,4.0
AC,AC_tile08,25.255001068115234,10.958000004291534,-54.1039981842041,28,-6.595,0,16-hydroxytriptolide,5.0
AC,AC_tile05,8.47599995136261,33.57500076293945,-54.1039981842041,28,-6.519,0,16-hydroxytriptolide,6.0
AC,AC_tile12,25.255001068115234,33.57500076293945,-38.70299911499024,28,-6.496,0,16-hydroxytriptolide,7.0
BD,BD_tile05,-6.086000442504883,23.15800094604492,-93.08650207519533,28,-6.365,0,16-hydroxytriptolide,6.0
BD,BD_tile08,21.20599937438965,2.8449997901916504,-93.08650207519533,28,-6.285,0,16-hydroxytriptolide,7.0
AC,AC_tile06,8.47599995136261,33.57500076293945,-38.70299911499024,28,-6.069,0,16-hydroxytriptolide,8.0
BD,BD_tile06,-6.086000442504883,23.15800094604492,-77.48400115966797,28,-6.059,0,16-hydroxytriptolide,8.0
BD,BD_tile10,21.20599937438965,23.15800094604492,-108.68900299072266,28,-5.958,0,16-hydroxytriptolide,9.0
BD,BD_tile04,-6.086000442504883,23.15800094604492,-108.68900299072266,28,-5.85,0,16-hydroxytriptolide,10.0
AC,AC_tile04,8.47599995136261,33.57500076293945,-69.50499725341797,28,-5.776,0,16-hydroxytriptolide,9.0
AC,AC_tile03,8.47599995136261,10.958000004291534,-38.70299911499024,28,-5.647,0,16-hydroxytriptolide,10.0
BD,BD_tile03,-6.086000442504883,2.8449997901916504,-77.48400115966797,28,-5.444,0,16-hydroxytriptolide,11.0
AC,AC_tile09,25.255001068115234,10.958000004291534,-38.70299911499024,28,-5.328,0,16-hydroxytriptolide,11.0
BD,BD_tile07,21.20599937438965,2.8449997901916504,-108.68900299072266,28,-5.113,0,16-hydroxytriptolide,12.0
AC,AC_tile10,25.255001068115234,33.57500076293945,-69.50499725341797,28,-5.102,0,16-hydroxytriptolide,12.0
