receptor,scoring,seed,best_score_kcal_mol,n_modes,returncode,pose_file,rmsd_to_condition_reference_A,compound
AC,vina,107985,-7.233,19,0,AC_vina_seed107985.pdbqt,0.0,triptolide
AC,vina,207985,-7.239,18,0,AC_vina_seed207985.pdbqt,0.00783974096903385,triptolide
AC,vina,307985,-7.236,19,0,AC_vina_seed307985.pdbqt,0.03155763957244941,triptolide
AC,vina,407985,-7.234,20,0,AC_vina_seed407985.pdbqt,0.020405504536389885,triptolide
AC,vina,507985,-7.233,19,0,AC_vina_seed507985.pdbqt,0.0005883484054144582,triptolide
AC,vina,607985,-7.238,20,0,AC_vina_seed607985.pdbqt,0.012531498774626672,triptolide
AC,vina,707985,-7.241,19,0,AC_vina_seed707985.pdbqt,0.0059999999999996645,triptolide
AC,vina,807985,-7.232,19,0,AC_vina_seed807985.pdbqt,0.007716116998753699,triptolide
AC,vina,907985,-7.239,20,0,AC_vina_seed907985.pdbqt,0.017320508075689134,triptolide
AC,vina,1007985,-7.23,20,0,AC_vina_seed1007985.pdbqt,0.006025586470020804,triptolide
AC,vinardo,107985,-5.265,20,0,AC_vinardo_seed107985.pdbqt,0.0,triptolide
AC,vinardo,207985,-5.265,20,0,AC_vinardo_seed207985.pdbqt,0.005598763599773735,triptolide
AC,vinardo,307985,-5.265,19,0,AC_vinardo_seed307985.pdbqt,0.00564323965875574,triptolide
AC,vinardo,407985,-5.264,20,0,AC_vinardo_seed407985.pdbqt,0.0062971299934059125,triptolide
AC,vinardo,507985,-5.271,20,0,AC_vinardo_seed507985.pdbqt,0.007379806126284248,triptolide
AC,vinardo,607985,-5.265,20,0,AC_vinardo_seed607985.pdbqt,0.006012806844880928,triptolide
AC,vinardo,707985,-5.264,20,0,AC_vinardo_seed707985.pdbqt,0.006098549638422999,triptolide
AC,vinardo,807985,-5.265,19,0,AC_vinardo_seed807985.pdbqt,0.00754728682783045,triptolide
AC,vinardo,907985,-5.262,19,0,AC_vinardo_seed907985.pdbqt,0.006324555320336559,triptolide
AC,vinardo,1007985,-5.267,19,0,AC_vinardo_seed1007985.pdbqt,0.006627448749185412,triptolide
BD,vina,107985,-7.791,20,0,BD_vina_seed107985.pdbqt,0.0,triptolide
BD,vina,207985,-7.795,20,0,BD_vina_seed207985.pdbqt,0.01761773581890114,triptolide
BD,vina,307985,-7.788,20,0,BD_vina_seed307985.pdbqt,0.020171381097600166,triptolide
BD,vina,407985,-7.785,20,0,BD_vina_seed407985.pdbqt,0.06653397050206242,triptolide
BD,vina,507985,-7.786,20,0,BD_vina_seed507985.pdbqt,0.02655111181215494,triptolide
BD,vina,607985,-7.792,18,0,BD_vina_seed607985.pdbqt,0.012156036803548735,triptolide
BD,vina,707985,-7.789,20,0,BD_vina_seed707985.pdbqt,0.05745499911301905,triptolide
BD,vina,807985,-7.79,20,0,BD_vina_seed807985.pdbqt,0.023416792133982484,triptolide
BD,vina,907985,-7.788,20,0,BD_vina_seed907985.pdbqt,0.07163905252132999,triptolide
BD,vina,1007985,-7.781,20,0,BD_vina_seed1007985.pdbqt,0.03882257471745376,triptolide
BD,vinardo,107985,-5.26,20,0,BD_vinardo_seed107985.pdbqt,0.0,triptolide
BD,vinardo,207985,-5.261,20,0,BD_vinardo_seed207985.pdbqt,0.0006793662204874871,triptolide
BD,vinardo,307985,-5.263,20,0,BD_vinardo_seed307985.pdbqt,0.004497862740321324,triptolide
BD,vinardo,407985,-5.259,20,0,BD_vinardo_seed407985.pdbqt,0.005445534514981025,triptolide
BD,vinardo,507985,-5.257,20,0,BD_vinardo_seed507985.pdbqt,0.005529640411176292,triptolide
BD,vinardo,607985,-5.257,20,0,BD_vinardo_seed607985.pdbqt,0.004565758846693398,triptolide
BD,vinardo,707985,-5.258,20,0,BD_vinardo_seed707985.pdbqt,0.006342772992214959,triptolide
BD,vinardo,807985,-5.264,20,0,BD_vinardo_seed807985.pdbqt,0.01097199231610316,triptolide
BD,vinardo,907985,-5.26,20,0,BD_vinardo_seed907985.pdbqt,0.004523443208611958,triptolide
BD,vinardo,1007985,-5.256,20,0,BD_vinardo_seed1007985.pdbqt,0.006151922776347671,triptolide
AC,vina,107985,-7.074,20,0,AC_vina_seed107985.pdbqt,0.0,16-hydroxytriptolide
AC,vina,207985,-7.102,20,0,AC_vina_seed207985.pdbqt,0.0546314249548058,16-hydroxytriptolide
