system,time_ns,median,minimum,maximum,rep1,rep2,rep3
complex,20.0,111.03066666666666,107.83866666666667,112.253,111.03066666666666,107.83866666666667,112.253
complex,20.1,111.57225,107.729,112.65875,111.57225,107.729,112.65875
complex,20.2,111.1736,107.705,112.18379999999999,111.1736,107.705,112.18379999999999
complex,20.3,110.89320000000001,107.549,112.30140000000002,110.89320000000001,107.549,112.30140000000002
complex,20.4,111.2086,108.1712,111.83580000000002,111.2086,108.1712,111.83580000000002
complex,20.5,110.9894,107.4884,111.00819999999999,110.9894,107.4884,111.00819999999999
complex,20.6,110.08340000000001,107.26020000000001,110.8022,110.08340000000001,107.26020000000001,110.8022
complex,20.7,109.8144,106.7222,110.4672,109.8144,106.7222,110.4672
complex,20.8,110.093,107.2894,110.12159999999999,110.093,107.2894,110.12159999999999
complex,20.9,109.57300000000001,107.14200000000001,109.97319999999999,109.57300000000001,107.14200000000001,109.97319999999999
complex,21.0,109.702,107.7864,110.57339999999999,109.702,107.7864,110.57339999999999
complex,21.1,110.15899999999999,107.42839999999998,110.67819999999999,110.15899999999999,107.42839999999998,110.67819999999999
complex,21.2,110.28,108.11599999999999,111.02000000000001,110.28,108.11599999999999,111.02000000000001
complex,21.3,109.64099999999999,107.9754,111.7224,109.64099999999999,107.9754,111.7224
complex,21.4,109.37519999999999,107.8838,112.9414,109.37519999999999,107.8838,112.9414
complex,21.5,109.4838,107.9856,113.41119999999998,109.4838,107.9856,113.41119999999998
complex,21.6,109.3158,109.06680000000001,113.27379999999998,109.3158,109.06680000000001,113.27379999999998
complex,21.7,109.8838,108.982,113.6904,109.8838,108.982,113.6904
complex,21.8,110.12339999999999,109.37899999999999,113.91720000000001,110.12339999999999,109.37899999999999,113.91720000000001
complex,21.9,110.7576,110.37460000000002,113.7558,110.7576,110.37460000000002,113.7558
complex,22.0,110.864,110.26520000000001,114.0384,110.26520000000001,110.864,114.0384
complex,22.1,111.5732,110.1588,114.29,110.1588,111.5732,114.29
complex,22.2,112.30160000000001,108.6856,114.6942,108.6856,112.30160000000001,114.6942
complex,22.3,113.1514,108.5892,113.84700000000001,108.5892,113.1514,113.84700000000001
complex,22.4,112.98799999999999,108.1484,113.518,108.1484,112.98799999999999,113.518
complex,22.5,112.7932,107.7942,113.6116,107.7942,113.6116,112.7932
complex,22.6,112.28659999999999,108.0204,113.58279999999999,108.0204,113.58279999999999,112.28659999999999
complex,22.7,111.65360000000001,108.5098,114.282,108.5098,114.282,111.65360000000001
complex,22.8,111.73179999999999,108.4278,114.248,108.4278,114.248,111.73179999999999
complex,22.9,111.88139999999999,109.23420000000002,114.4528,109.23420000000002,114.4528,111.88139999999999
complex,23.0,113.1548,109.196,114.4538,109.196,114.4538,113.1548
complex,23.1,114.2172,108.44760000000001,114.6848,108.44760000000001,114.6848,114.2172
complex,23.2,114.29759999999999,108.8212,114.5008,108.8212,114.29759999999999,114.5008
complex,23.3,113.85900000000001,109.4144,115.10640000000001,109.4144,113.85900000000001,115.10640000000001
complex,23.4,114.6786,108.3788,114.71080000000002,108.3788,114.71080000000002,114.6786
