"dataset","specificity","sensitivity","AUC"
"GSE9692",0,1,0.944444444444444
"GSE9692",0.0666666666666667,1,0.944444444444444
"GSE9692",0.133333333333333,1,0.944444444444444
"GSE9692",0.2,1,0.944444444444444
"GSE9692",0.266666666666667,1,0.944444444444444
"GSE9692",0.333333333333333,1,0.944444444444444
"GSE9692",0.4,1,0.944444444444444
"GSE9692",0.466666666666667,1,0.944444444444444
"GSE9692",0.533333333333333,1,0.944444444444444
"GSE9692",0.6,1,0.944444444444444
"GSE9692",0.666666666666667,1,0.944444444444444
"GSE9692",0.733333333333333,1,0.944444444444444
"GSE9692",0.733333333333333,0.966666666666667,0.944444444444444
"GSE9692",0.8,0.966666666666667,0.944444444444444
"GSE9692",0.8,0.933333333333333,0.944444444444444
"GSE9692",0.8,0.9,0.944444444444444
"GSE9692",0.8,0.866666666666667,0.944444444444444
"GSE9692",0.8,0.833333333333333,0.944444444444444
"GSE9692",0.866666666666667,0.833333333333333,0.944444444444444
"GSE9692",0.866666666666667,0.8,0.944444444444444
"GSE9692",0.866666666666667,0.766666666666667,0.944444444444444
"GSE9692",0.933333333333333,0.766666666666667,0.944444444444444
"GSE9692",0.933333333333333,0.733333333333333,0.944444444444444
"GSE9692",0.933333333333333,0.7,0.944444444444444
"GSE9692",0.933333333333333,0.666666666666667,0.944444444444444
"GSE9692",0.933333333333333,0.633333333333333,0.944444444444444
"GSE9692",0.933333333333333,0.6,0.944444444444444
"GSE9692",1,0.6,0.944444444444444
"GSE9692",1,0.566666666666667,0.944444444444444
"GSE9692",1,0.533333333333333,0.944444444444444
"GSE9692",1,0.5,0.944444444444444
"GSE9692",1,0.466666666666667,0.944444444444444
"GSE9692",1,0.433333333333333,0.944444444444444
"GSE9692",1,0.4,0.944444444444444
"GSE9692",1,0.366666666666667,0.944444444444444
"GSE9692",1,0.333333333333333,0.944444444444444
"GSE9692",1,0.3,0.944444444444444
"GSE9692",1,0.266666666666667,0.944444444444444
"GSE9692",1,0.233333333333333,0.944444444444444
"GSE9692",1,0.2,0.944444444444444
"GSE9692",1,0.166666666666667,0.944444444444444
"GSE9692",1,0.133333333333333,0.944444444444444
"GSE9692",1,0.1,0.944444444444444
"GSE9692",1,0.0666666666666667,0.944444444444444
"GSE9692",1,0.0333333333333333,0.944444444444444
"GSE9692",1,0,0.944444444444444
"GSE26440",0,1,0.888552295918367
"GSE26440",0.03125,1,0.888552295918367
"GSE26440",0.0625,1,0.888552295918367
"GSE26440",0.09375,1,0.888552295918367
"GSE26440",0.125,1,0.888552295918367
"GSE26440",0.15625,1,0.888552295918367
"GSE26440",0.1875,1,0.888552295918367
"GSE26440",0.21875,1,0.888552295918367
"GSE26440",0.25,1,0.888552295918367
"GSE26440",0.28125,1,0.888552295918367
"GSE26440",0.28125,0.989795918367347,0.888552295918367
"GSE26440",0.3125,0.989795918367347,0.888552295918367
"GSE26440",0.34375,0.989795918367347,0.888552295918367
"GSE26440",0.375,0.989795918367347,0.888552295918367
"GSE26440",0.40625,0.989795918367347,0.888552295918367
"GSE26440",0.4375,0.989795918367347,0.888552295918367
"GSE26440",0.46875,0.989795918367347,0.888552295918367
"GSE26440",0.46875,0.979591836734694,0.888552295918367
"GSE26440",0.5,0.979591836734694,0.888552295918367
"GSE26440",0.53125,0.979591836734694,0.888552295918367
"GSE26440",0.53125,0.969387755102041,0.888552295918367
