comparison_id,label,threshold,delta_net_benefit
GSE131411_CardiogenicShock,Cardiogenic shock,0.05,-0.029038112522685955
GSE131411_CardiogenicShock,Cardiogenic shock,0.06,-0.027879677182685025
GSE131411_CardiogenicShock,Cardiogenic shock,0.07,-0.02669632925472698
GSE131411_CardiogenicShock,Cardiogenic shock,0.08,-0.022488755622188994
GSE131411_CardiogenicShock,Cardiogenic shock,0.09,-0.020841227737778967
GSE131411_CardiogenicShock,Cardiogenic shock,0.1,-0.01915708812260608
GSE131411_CardiogenicShock,Cardiogenic shock,0.11,-0.017435102673381997
GSE131411_CardiogenicShock,Cardiogenic shock,0.12,-0.015673981191222985
GSE131411_CardiogenicShock,Cardiogenic shock,0.13,-0.013872374157749001
GSE131411_CardiogenicShock,Cardiogenic shock,0.14,-0.012028869286286992
GSE131411_CardiogenicShock,Cardiogenic shock,0.15,-0.010141987829615062
GSE131411_CardiogenicShock,Cardiogenic shock,0.16,-0.00821018062397405
GSE131411_CardiogenicShock,Cardiogenic shock,0.17,-0.006231823847113072
GSE131411_CardiogenicShock,Cardiogenic shock,0.18,-0.004205214465938023
GSE131411_CardiogenicShock,Cardiogenic shock,0.19,-0.002128565346956046
GSE131411_CardiogenicShock,Cardiogenic shock,0.2,0.008620689655173042
GSE131411_CardiogenicShock,Cardiogenic shock,0.21,0.020515058926233065
GSE131411_CardiogenicShock,Cardiogenic shock,0.22,0.023872679045093048
GSE131411_CardiogenicShock,Cardiogenic shock,0.23,0.027317510076131035
GSE131411_CardiogenicShock,Cardiogenic shock,0.24,-0.003629764065335994
GSE131411_CardiogenicShock,Cardiogenic shock,0.25,0.0
GSE131411_CardiogenicShock,Cardiogenic shock,0.26,-0.030754892823859015
GSE131411_CardiogenicShock,Cardiogenic shock,0.27,-0.026924893717524045
GSE131411_CardiogenicShock,Cardiogenic shock,0.28,-0.022988505747126964
GSE131411_CardiogenicShock,Cardiogenic shock,0.29,-0.018941233608547936
GSE131411_CardiogenicShock,Cardiogenic shock,0.3,-0.01477832512315197
GSE131411_CardiogenicShock,Cardiogenic shock,0.31,-0.010494752623687986
GSE131411_CardiogenicShock,Cardiogenic shock,0.32,0.010141987829614063
GSE131411_CardiogenicShock,Cardiogenic shock,0.33,0.015440041173442998
GSE131411_CardiogenicShock,Cardiogenic shock,0.34,0.020898641588297018
GSE131411_CardiogenicShock,Cardiogenic shock,0.35,0.026525198938992023
GSE131411_CardiogenicShock,Cardiogenic shock,0.36,0.03232758620689702
GSE131411_CardiogenicShock,Cardiogenic shock,0.37,0.038314176245210996
GSE131411_CardiogenicShock,Cardiogenic shock,0.38,0.04449388209121302
GSE131411_CardiogenicShock,Cardiogenic shock,0.39,0.05087620124364095
GSE131411_CardiogenicShock,Cardiogenic shock,0.4,0.05747126436781602
GSE131411_CardiogenicShock,Cardiogenic shock,0.41,0.06428988895382798
GSE131411_CardiogenicShock,Cardiogenic shock,0.42,0.07134363852556397
GSE131411_CardiogenicShock,Cardiogenic shock,0.43,0.07864488808227499
GSE131411_CardiogenicShock,Cardiogenic shock,0.44,0.08620689655172503
GSE131411_CardiogenicShock,Cardiogenic shock,0.45,0.09404388714733597
GSE131411_CardiogenicShock,Cardiogenic shock,0.46,0.10217113665389499
GSE131411_CardiogenicShock,Cardiogenic shock,0.47,0.11060507482108001
GSE131411_CardiogenicShock,Cardiogenic shock,0.48,0.11936339522546402
GSE131411_CardiogenicShock,Cardiogenic shock,0.49,0.12846517917511802
GSE131411_CardiogenicShock,Cardiogenic shock,0.5,0.137931034482759
GSE131411_CardiogenicShock,Cardiogenic shock,0.51,0.14778325123152702
GSE131411_CardiogenicShock,Cardiogenic shock,0.52,0.15804597701149398
GSE131411_CardiogenicShock,Cardiogenic shock,0.53,0.16874541452678
GSE131411_CardiogenicShock,Cardiogenic shock,0.54,0.179910044977511
GSE131411_CardiogenicShock,Cardiogenic shock,0.55,0.233716475095786
GSE131411_CardiogenicShock,Cardiogenic shock,0.56,0.24764890282131702
GSE131411_CardiogenicShock,Cardiogenic shock,0.57,0.262229350441059
