source_panel,figure_panel,endpoint,model,term,df_numerator,df_denominator,F_statistic,p_value
B,Fig 7A,IL-6,One-way ANOVA,Treatment group,2,16,77.15537047496709,6.067692371626901e-09
C,Fig 7A,TNF-α,One-way ANOVA,Treatment group,2,15,494.2723599296432,2.0377878387650595e-14
D,Fig 7A,IL-1β,One-way ANOVA,Treatment group,2,15,42.30319031288715,6.816018279512688e-07
E,Fig 7A,S100A8,One-way ANOVA,Treatment group,2,18,113.3386957811079,6.311142239047577e-11
G,Fig 7C,S100A8 / β-actin,One-way ANOVA,Treatment group,2,15,25.02010093741573,1.6665576390429025e-05
H,Fig 7C,NF-κB / β-actin,One-way ANOVA,Treatment group,2,12,13.021078956969916,0.0009851369581446421
I,Fig 7C,p-NF-κB / NF-κB,One-way ANOVA,Treatment group,2,15,8.448290881740709,0.0034882159538420087
N,Fig 8B,p-NF-kB / total NF-kB,Repeat-blocked 2x2x2 ANOVA,Biological repeat,2,14,3.165364397150205,0.07342190025903375
N,Fig 8B,p-NF-kB / total NF-kB,Repeat-blocked 2x2x2 ANOVA,siRNA,1,14,10.911891293538392,0.005227688135344982
N,Fig 8B,p-NF-kB / total NF-kB,Repeat-blocked 2x2x2 ANOVA,LPS,1,14,172.9616190607158,2.8607788616881507e-09
N,Fig 8B,p-NF-kB / total NF-kB,Repeat-blocked 2x2x2 ANOVA,TPL,1,14,16.707281765084087,0.0011089805282818973
N,Fig 8B,p-NF-kB / total NF-kB,Repeat-blocked 2x2x2 ANOVA,siRNA × LPS,1,14,37.65029192908181,2.5795311645068763e-05
N,Fig 8B,p-NF-kB / total NF-kB,Repeat-blocked 2x2x2 ANOVA,siRNA × TPL,1,14,0.13746638481370654,0.7163627158051418
N,Fig 8B,p-NF-kB / total NF-kB,Repeat-blocked 2x2x2 ANOVA,LPS × TPL,1,14,11.262861130432789,0.0047072582982177645
N,Fig 8B,p-NF-kB / total NF-kB,Repeat-blocked 2x2x2 ANOVA,siRNA × LPS × TPL,1,14,0.03797630766292427,0.8482904503204208
O,Fig 8C,S100A8 / beta-actin,Repeat-blocked 2x2x2 ANOVA,Biological repeat,2,14,3.483153574126364,0.05918922363013603
O,Fig 8C,S100A8 / beta-actin,Repeat-blocked 2x2x2 ANOVA,siRNA,1,14,681.1775264927569,2.839323682233809e-13
O,Fig 8C,S100A8 / beta-actin,Repeat-blocked 2x2x2 ANOVA,LPS,1,14,147.92700881486059,7.868423984815058e-09
O,Fig 8C,S100A8 / beta-actin,Repeat-blocked 2x2x2 ANOVA,TPL,1,14,18.030178301873494,0.0008141297381028946
O,Fig 8C,S100A8 / beta-actin,Repeat-blocked 2x2x2 ANOVA,siRNA × LPS,1,14,0.30507579199102414,0.5894275821259665
O,Fig 8C,S100A8 / beta-actin,Repeat-blocked 2x2x2 ANOVA,siRNA × TPL,1,14,5.584766400713925,0.03311834976925751
O,Fig 8C,S100A8 / beta-actin,Repeat-blocked 2x2x2 ANOVA,LPS × TPL,1,14,10.071283243293058,0.006767567635305544
O,Fig 8C,S100A8 / beta-actin,Repeat-blocked 2x2x2 ANOVA,siRNA × LPS × TPL,1,14,9.466012531460713,0.008203502562910062
Q,Fig 8E,CD74 / beta-actin,Repeat-blocked 2x2 ANOVA,Biological repeat,2,6,17.718374830035433,0.0030359646218174594
Q,Fig 8E,CD74 / beta-actin,Repeat-blocked 2x2 ANOVA,siRNA,1,6,279.6389505843603,2.9194595649027495e-06
Q,Fig 8E,CD74 / beta-actin,Repeat-blocked 2x2 ANOVA,LPS,1,6,358.29859310835167,1.4048566183534224e-06
Q,Fig 8E,CD74 / beta-actin,Repeat-blocked 2x2 ANOVA,siRNA × LPS,1,6,249.49750861145753,4.083249070179525e-06
R,Fig 8F,HLA-DRalpha / beta-actin,Repeat-blocked 2x2 ANOVA,Biological repeat,2,6,13.155674201640487,0.006403073758500221
R,Fig 8F,HLA-DRalpha / beta-actin,Repeat-blocked 2x2 ANOVA,siRNA,1,6,59.99397770789955,0.00024332353112157217
R,Fig 8F,HLA-DRalpha / beta-actin,Repeat-blocked 2x2 ANOVA,LPS,1,6,197.40987764237738,8.110563621313702e-06
R,Fig 8F,HLA-DRalpha / beta-actin,Repeat-blocked 2x2 ANOVA,siRNA × LPS,1,6,118.13640577364899,3.594507834357669e-05
S,Fig 8G,S100A8 / beta-actin,Repeat-blocked 2x2 ANOVA,Biological repeat,2,6,0.6640068535402518,0.5489021503073851
S,Fig 8G,S100A8 / beta-actin,Repeat-blocked 2x2 ANOVA,siRNA,1,6,304.55844253304355,2.270103099292883e-06
S,Fig 8G,S100A8 / beta-actin,Repeat-blocked 2x2 ANOVA,LPS,1,6,166.8975888563105,1.3233393047412927e-05
S,Fig 8G,S100A8 / beta-actin,Repeat-blocked 2x2 ANOVA,siRNA × LPS,1,6,0.13058331774326476,0.7302118196687599
