dataset,sample_id,group,expression,platform,probe,z,label,family
GSE131411,E07T1,Sepsis,14.7160547331137,RNA-seq,ENSG00000143546,0.7185606029883025,GSE131411 | cardiogenic shock,similar
GSE131411,E16T1,Sepsis,14.9073287324538,RNA-seq,ENSG00000143546,0.9240976417924055,GSE131411 | cardiogenic shock,similar
GSE131411,E17T1,Sepsis,14.2792218857591,RNA-seq,ENSG00000143546,0.2491537300866524,GSE131411 | cardiogenic shock,similar
GSE131411,E32T1,Sepsis,13.3038104521825,RNA-seq,ENSG00000143546,-0.7989927946091767,GSE131411 | cardiogenic shock,similar
GSE131411,E40T1,Sepsis,15.0878482422644,RNA-seq,ENSG00000143546,1.1180782435513816,GSE131411 | cardiogenic shock,similar
GSE131411,E41T1,Sepsis,14.2485666950852,RNA-seq,ENSG00000143546,0.21621262394140423,GSE131411 | cardiogenic shock,similar
GSE131411,G11T1,Sepsis,14.6906371304323,RNA-seq,ENSG00000143546,0.6912476445796438,GSE131411 | cardiogenic shock,similar
GSE131411,G12T1,Sepsis,15.4295652657485,RNA-seq,ENSG00000143546,1.4852766362142005,GSE131411 | cardiogenic shock,similar
GSE131411,G26T1,Sepsis,15.1714085822963,RNA-seq,ENSG00000143546,1.2078695633903238,GSE131411 | cardiogenic shock,similar
GSE131411,G28T1,Sepsis,13.4887651091654,RNA-seq,ENSG00000143546,-0.6002463228438226,GSE131411 | cardiogenic shock,similar
GSE131411,G29T1,Sepsis,14.6463811455031,RNA-seq,ENSG00000143546,0.6436915516287504,GSE131411 | cardiogenic shock,similar
GSE131411,G33T1,Sepsis,12.9328259726653,RNA-seq,ENSG00000143546,-1.1976410773099833,GSE131411 | cardiogenic shock,similar
GSE131411,G35T1,Sepsis,14.3169832774684,RNA-seq,ENSG00000143546,0.2897309369199304,GSE131411 | cardiogenic shock,similar
GSE131411,G42T1,Sepsis,14.1489120201583,RNA-seq,ENSG00000143546,0.1091268367558665,GSE131411 | cardiogenic shock,similar
GSE131411,G43T1,Sepsis,15.5669795101091,RNA-seq,ENSG00000143546,1.6329376720728237,GSE131411 | cardiogenic shock,similar
GSE131411,G44T1,Sepsis,14.652814155406,RNA-seq,ENSG00000143546,0.6506042622459877,GSE131411 | cardiogenic shock,similar
GSE131411,G45T1,Sepsis,14.569660743736,RNA-seq,ENSG00000143546,0.5612502148580777,GSE131411 | cardiogenic shock,similar
GSE131411,G47T1,Sepsis,15.0159516047002,RNA-seq,ENSG00000143546,1.0408203724559908,GSE131411 | cardiogenic shock,similar
GSE131411,G49T1,Sepsis,15.2228206678643,RNA-seq,ENSG00000143546,1.2631153775775448,GSE131411 | cardiogenic shock,similar
GSE131411,E25T1,Cardiogenic shock,13.0076040568066,RNA-seq,ENSG00000143546,-1.1172868941231822,GSE131411 | cardiogenic shock,similar
GSE131411,E31T1,Cardiogenic shock,13.74374139604,RNA-seq,ENSG00000143546,-0.32625680440286126,GSE131411 | cardiogenic shock,similar
GSE131411,G10T1,Cardiogenic shock,12.592441909819,RNA-seq,ENSG00000143546,-1.563407112290728,GSE131411 | cardiogenic shock,similar
GSE131411,G14T1,Cardiogenic shock,13.5603139380699,RNA-seq,ENSG00000143546,-0.5233621960222566,GSE131411 | cardiogenic shock,similar
GSE131411,G16T1,Cardiogenic shock,12.5170227205126,RNA-seq,ENSG00000143546,-1.6444502069743954,GSE131411 | cardiogenic shock,similar
GSE131411,G24T1,Cardiogenic shock,13.1802622060456,RNA-seq,ENSG00000143546,-0.9317538637980256,GSE131411 | cardiogenic shock,similar
GSE131411,G32T1,Cardiogenic shock,13.0202776620049,RNA-seq,ENSG00000143546,-1.1036682355892562,GSE131411 | cardiogenic shock,similar
GSE131411,G46T1,Cardiogenic shock,12.9996200504159,RNA-seq,ENSG00000143546,-1.1258662569064095,GSE131411 | cardiogenic shock,similar
GSE131411,G48T1,Cardiogenic shock,13.4891929809118,RNA-seq,ENSG00000143546,-0.5997865452888663,GSE131411 | cardiogenic shock,similar
GSE131411,G50T1,Cardiogenic shock,12.8663671892871,RNA-seq,ENSG00000143546,-1.2690556009002518,GSE131411 | cardiogenic shock,similar
GSE134347,GSM3942706,Sepsis,9.187983605,GPL17586,TC01003261.hg.1,-0.4948991151961098,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942707,Sepsis,9.901444093,GPL17586,TC01003261.hg.1,0.9807876770171094,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942708,Non-infectious ICU,9.588612822,GPL17586,TC01003261.hg.1,0.33374277043782014,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942709,Non-infectious ICU,9.947525697,GPL17586,TC01003261.hg.1,1.0761006137957456,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942710,Sepsis,9.897813916,GPL17586,TC01003261.hg.1,0.9732791963900843,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942711,Sepsis,9.351475332,GPL17586,TC01003261.hg.1,-0.15674082019879879,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942712,Non-infectious ICU,8.49518961,GPL17586,TC01003261.hg.1,-1.927840343675364,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942713,Sepsis,9.912256858,GPL17586,TC01003261.hg.1,1.0031522715057728,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942714,Sepsis,9.480487153,GPL17586,TC01003261.hg.1,0.1101009229547152,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942715,Sepsis,10.00468313,GPL17586,TC01003261.hg.1,1.1943222537794198,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942716,Sepsis,9.209703256,GPL17586,TC01003261.hg.1,-0.44997525094396607,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942717,Sepsis,9.539934978,GPL17586,TC01003261.hg.1,0.233059897773657,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942718,Sepsis,9.471118962,GPL17586,TC01003261.hg.1,0.09072421470225925,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942719,Sepsis,10.12994643,GPL17586,TC01003261.hg.1,1.4534107393621594,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942720,Sepsis,9.150298998,GPL17586,TC01003261.hg.1,-0.5728441139101025,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942721,Sepsis,10.15641139,GPL17586,TC01003261.hg.1,1.508149568751197,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942722,Sepsis,9.498221754,GPL17586,TC01003261.hg.1,0.146782304616414,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942723,Non-infectious ICU,9.337909674,GPL17586,TC01003261.hg.1,-0.1847993639794046,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942724,Sepsis,9.767554948,GPL17586,TC01003261.hg.1,0.7038579153549337,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942725,Sepsis,10.05414974,GPL17586,TC01003261.hg.1,1.2966365714751207,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942726,Non-infectious ICU,9.983097746,GPL17586,TC01003261.hg.1,1.1496761008257468,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942727,Sepsis,10.26736743,GPL17586,TC01003261.hg.1,1.7376456172335353,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942728,Sepsis,9.287997521,GPL17586,TC01003261.hg.1,-0.28803522103365947,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942729,Sepsis,9.933835729,GPL17586,TC01003261.hg.1,1.0477849532886694,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942730,Sepsis,9.828714004,GPL17586,TC01003261.hg.1,0.8303563167119932,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942731,Sepsis,10.04621437,GPL17586,TC01003261.hg.1,1.2802234401282795,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942732,Non-infectious ICU,9.872857169,GPL17586,TC01003261.hg.1,0.9216598810335369,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942746,Sepsis,9.508281265,GPL17586,TC01003261.hg.1,0.16758890535815785,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942747,Sepsis,10.0102276,GPL17586,TC01003261.hg.1,1.2057901644576392,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942748,Sepsis,8.455572408,GPL17586,TC01003261.hg.1,-2.009782627402566,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942749,Sepsis,8.672439297,GPL17586,TC01003261.hg.1,-1.5612257568423136,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942750,Sepsis,9.537754019,GPL17586,TC01003261.hg.1,0.2285489088053946,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942751,Sepsis,9.489984032,GPL17586,TC01003261.hg.1,0.12974380317480036,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942752,Sepsis,9.14242164,GPL17586,TC01003261.hg.1,-0.5891372560723565,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942753,Sepsis,8.623967809,GPL17586,TC01003261.hg.1,-1.661481812844846,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942754,Sepsis,9.61740632,GPL17586,TC01003261.hg.1,0.3932978339835657,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942755,Sepsis,9.842331844,GPL17586,TC01003261.hg.1,0.858522791190217,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942756,Non-infectious ICU,9.873067063,GPL17586,TC01003261.hg.1,0.922094015521397,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942757,Sepsis,8.905522398,GPL17586,TC01003261.hg.1,-1.0791280661937468,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942758,Non-infectious ICU,9.080331891,GPL17586,TC01003261.hg.1,-0.7175606573289288,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942759,Sepsis,9.32709626,GPL17586,TC01003261.hg.1,-0.2071653008279427,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942760,Sepsis,9.989282547,GPL17586,TC01003261.hg.1,1.1624684408385084,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942761,Sepsis,9.81731065,GPL17586,TC01003261.hg.1,0.8067701768096914,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942762,Sepsis,10.57666547,GPL17586,TC01003261.hg.1,2.377382561552497,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942763,Sepsis,9.87461975,GPL17586,TC01003261.hg.1,0.9253055174011501,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942764,Non-infectious ICU,8.603539785,GPL17586,TC01003261.hg.1,-1.7037341389579825,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942765,Sepsis,9.748428796,GPL17586,TC01003261.hg.1,0.6642983176379224,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942766,Sepsis,10.31246077,GPL17586,TC01003261.hg.1,1.830914477070913,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942767,Sepsis,9.952209227,GPL17586,TC01003261.hg.1,1.0857877982694233,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942768,Sepsis,10.09320504,GPL17586,TC01003261.hg.1,1.3774166445769775,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942769,Sepsis,9.435238041,GPL17586,TC01003261.hg.1,0.016509871928246423,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942770,Sepsis,9.296744199,GPL17586,TC01003261.hg.1,-0.26994401988455813,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942771,Non-infectious ICU,9.326371371,GPL17586,TC01003261.hg.1,-0.20866462579563316,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942772,Non-infectious ICU,8.933913157,GPL17586,TC01003261.hg.1,-1.0204060083056485,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942784,Sepsis,9.033383034,GPL17586,TC01003261.hg.1,-0.8146673778126671,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942785,Sepsis,10.20691685,GPL17586,TC01003261.hg.1,1.6126125929974018,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942786,Sepsis,9.912464021,GPL17586,TC01003261.hg.1,1.003580757326751,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942787,Sepsis,8.910849843,GPL17586,TC01003261.hg.1,-1.0681090394151527,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942788,Non-infectious ICU,9.358412057,GPL17586,TC01003261.hg.1,-0.14239323734608633,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942789,Non-infectious ICU,8.017686124,GPL17586,TC01003261.hg.1,-2.9154852089169676,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942790,Sepsis,10.10764448,GPL17586,TC01003261.hg.1,1.4072824763270786,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942791,Sepsis,10.08993455,GPL17586,TC01003261.hg.1,1.3706521229556123,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942792,Sepsis,9.334427658,GPL17586,TC01003261.hg.1,-0.19200139563764135,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942793,Sepsis,10.14463785,GPL17586,TC01003261.hg.1,1.4837977542249325,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942794,Sepsis,9.33637965,GPL17586,TC01003261.hg.1,-0.18796399081795573,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942795,Non-infectious ICU,9.484272074,GPL17586,TC01003261.hg.1,0.11792946850588738,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942796,Sepsis,9.351335283,GPL17586,TC01003261.hg.1,-0.15703049070338804,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942797,Sepsis,8.976753545,GPL17586,TC01003261.hg.1,-0.9317970442379849,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942798,Non-infectious ICU,9.747664516,GPL17586,TC01003261.hg.1,0.6627175182516596,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942799,Sepsis,9.45069831,GPL17586,TC01003261.hg.1,0.0484871364735026,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942800,Sepsis,9.585943588,GPL17586,TC01003261.hg.1,0.3282218573313784,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942801,Non-infectious ICU,9.859973794,GPL17586,TC01003261.hg.1,0.8950125380532356,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942802,Sepsis,9.064172503,GPL17586,TC01003261.hg.1,-0.7509839454337762,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942803,Non-infectious ICU,9.487839976,GPL17586,TC01003261.hg.1,0.12530914256754563,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942804,Sepsis,9.578666118,GPL17586,TC01003261.hg.1,0.31316949417973045,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942805,Non-infectious ICU,8.824890286,GPL17586,TC01003261.hg.1,-1.2459035845412418,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942806,Sepsis,8.53210115,GPL17586,TC01003261.hg.1,-1.851494318948834,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942807,Sepsis,9.977582989,GPL17586,TC01003261.hg.1,1.1382696470640554,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942808,Sepsis,10.04830716,GPL17586,TC01003261.hg.1,1.2845520646475352,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942809,Sepsis,9.490420227,GPL17586,TC01003261.hg.1,0.13064600758717398,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942810,Sepsis,10.06976779,GPL17586,TC01003261.hg.1,1.3289401825268463,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942811,Sepsis,9.432754944,GPL17586,TC01003261.hg.1,0.011373955492345192,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942812,Non-infectious ICU,9.080953179,GPL17586,TC01003261.hg.1,-0.7162756156045721,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942826,Sepsis,9.343914372,GPL17586,TC01003261.hg.1,-0.17237954020658625,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942827,Non-infectious ICU,9.678624806,GPL17586,TC01003261.hg.1,0.5199191574470862,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942828,Sepsis,9.621932512,GPL17586,TC01003261.hg.1,0.40265958823031434,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942829,Non-infectious ICU,9.069124686,GPL17586,TC01003261.hg.1,-0.7407410922293767,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942830,Non-infectious ICU,9.498246791,GPL17586,TC01003261.hg.1,0.14683408992315286,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942831,Sepsis,9.624860276,GPL17586,TC01003261.hg.1,0.4087152321491907,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942832,Sepsis,9.747335715,GPL17586,TC01003261.hg.1,0.6620374423383782,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942833,Non-infectious ICU,9.52222385,GPL17586,TC01003261.hg.1,0.1964270665175581,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942834,Sepsis,9.397552847,GPL17586,TC01003261.hg.1,-0.06143634090784901,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942835,Non-infectious ICU,9.28271989,GPL17586,TC01003261.hg.1,-0.2989512149700684,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942836,Non-infectious ICU,9.066701953,GPL17586,TC01003261.hg.1,-0.7457521547188783,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942837,Sepsis,9.55118167,GPL17586,TC01003261.hg.1,0.2563220056543817,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942838,Sepsis,9.537105353,GPL17586,TC01003261.hg.1,0.2272072397643505,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942839,Sepsis,9.816410487,GPL17586,TC01003261.hg.1,0.804908323669567,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942840,Non-infectious ICU,8.578688175,GPL17586,TC01003261.hg.1,-1.7551359940838898,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942841,Non-infectious ICU,9.573458144,GPL17586,TC01003261.hg.1,0.3023975753765846,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942842,Non-infectious ICU,9.113052361,GPL17586,TC01003261.hg.1,-0.6498832368885027,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942843,Sepsis,9.745827502,GPL17586,TC01003261.hg.1,0.6589179283058845,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942844,Non-infectious ICU,10.00915779,GPL17586,TC01003261.hg.1,1.2035774217567727,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942845,Non-infectious ICU,8.877643482,GPL17586,TC01003261.hg.1,-1.1367914530447123,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942846,Non-infectious ICU,8.796699978,GPL17586,TC01003261.hg.1,-1.3042110393810171,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942847,Sepsis,8.505349593,GPL17586,TC01003261.hg.1,-1.906825931560912,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942848,Sepsis,9.655041286,GPL17586,TC01003261.hg.1,0.47114015768011186,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942849,Sepsis,9.528402463,GPL17586,TC01003261.hg.1,0.20920660757365464,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942850,Non-infectious ICU,8.903184219,GPL17586,TC01003261.hg.1,-1.0839642413235056,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942851,Non-infectious ICU,9.439797521,GPL17586,TC01003261.hg.1,0.02594047744673908,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942852,Non-infectious ICU,8.39355623,GPL17586,TC01003261.hg.1,-2.1380538579996333,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942853,Non-infectious ICU,9.654704829,GPL17586,TC01003261.hg.1,0.4704442464707346,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942854,Non-infectious ICU,9.143931845,GPL17586,TC01003261.hg.1,-0.5860136218844564,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942855,Sepsis,9.136901004,GPL17586,TC01003261.hg.1,-0.6005558696702222,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942856,Sepsis,9.501163389,GPL17586,TC01003261.hg.1,0.1528666386335396,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942857,Non-infectious ICU,9.197075674,GPL17586,TC01003261.hg.1,-0.476093524188815,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942858,Non-infectious ICU,8.680108181,GPL17586,TC01003261.hg.1,-1.5453638121093431,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942859,Non-infectious ICU,8.600755982,GPL17586,TC01003261.hg.1,-1.7094920209827307,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942860,Sepsis,9.746388199,GPL17586,TC01003261.hg.1,0.6600776465681452,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942861,Sepsis,9.962626174,GPL17586,TC01003261.hg.1,1.1073337021584757,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942862,Sepsis,9.225480471,GPL17586,TC01003261.hg.1,-0.41734243078783684,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942863,Sepsis,9.501557363,GPL17586,TC01003261.hg.1,0.1536815151937043,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942864,Sepsis,10.01203815,GPL17586,TC01003261.hg.1,1.20953501755964,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942865,Non-infectious ICU,9.165468728,GPL17586,TC01003261.hg.1,-0.5414677860279606,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942866,Sepsis,9.000431022,GPL17586,TC01003261.hg.1,-0.8828237084057778,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942867,Sepsis,9.451309217,GPL17586,TC01003261.hg.1,0.04975070664498944,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942868,Sepsis,9.586451488,GPL17586,TC01003261.hg.1,0.32927237286008965,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942869,Non-infectious ICU,7.883994875,GPL17586,TC01003261.hg.1,-3.1920056521679046,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942870,Non-infectious ICU,8.817727658,GPL17586,TC01003261.hg.1,-1.2607184141147278,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942871,Sepsis,9.343413745,GPL17586,TC01003261.hg.1,-0.17341501261767617,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942872,Sepsis,9.478858496,GPL17586,TC01003261.hg.1,0.10673228844114585,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942873,Sepsis,8.568670535,GPL17586,TC01003261.hg.1,-1.7758559908963067,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942874,Sepsis,9.189936016,GPL17586,TC01003261.hg.1,-0.4908608437373072,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942875,Sepsis,8.792957248,GPL17586,TC01003261.hg.1,-1.3119523191305116,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942876,Sepsis,9.975859372,GPL17586,TC01003261.hg.1,1.1347046019290912,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942877,Sepsis,9.739005715,GPL17586,TC01003261.hg.1,0.6448080775930424,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942878,Sepsis,9.823736044,GPL17586,TC01003261.hg.1,0.8200601476210353,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942879,Sepsis,9.777464157,GPL17586,TC01003261.hg.1,0.7243536387881566,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942880,Non-infectious ICU,8.781668264,GPL17586,TC01003261.hg.1,-1.3353019017163752,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942881,Sepsis,9.919821994,GPL17586,TC01003261.hg.1,1.018799628947797,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942882,Sepsis,9.249792004,GPL17586,TC01003261.hg.1,-0.36705764452430295,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942883,Non-infectious ICU,8.886654816,GPL17586,TC01003261.hg.1,-1.118152850364276,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942884,Non-infectious ICU,8.582808588,GPL17586,TC01003261.hg.1,-1.7466135332821573,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942885,Sepsis,9.84414882,GPL17586,TC01003261.hg.1,0.8622809355164474,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942886,Sepsis,9.257806348,GPL17586,TC01003261.hg.1,-0.35048116721690803,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942905,Sepsis,9.757317375,GPL17586,TC01003261.hg.1,0.6826830198778621,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942906,Sepsis,9.357571448,GPL17586,TC01003261.hg.1,-0.14413191190421654,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942907,Non-infectious ICU,9.214242364,GPL17586,TC01003261.hg.1,-0.44058678187427996,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942908,Sepsis,9.561896002,GPL17586,TC01003261.hg.1,0.2784830061382461,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942909,Non-infectious ICU,9.355914293,GPL17586,TC01003261.hg.1,-0.14755949028771684,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942910,Sepsis,9.699206521,GPL17586,TC01003261.hg.1,0.5624893705106544,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942911,Sepsis,9.22115466,GPL17586,TC01003261.hg.1,-0.42628972677083404,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942912,Sepsis,9.056396932,GPL17586,TC01003261.hg.1,-0.7670665563416081,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942913,Sepsis,9.448134384,GPL17586,TC01003261.hg.1,0.043184037285740884,GSE134347 | non-infectious ICU,similar
GSE134347,GSM3942914,Sepsis,9.223411743,GPL17586,TC01003261.hg.1,-0.4216212866426837,GSE134347 | non-infectious ICU,similar
