"donor_id","group","cell_type","n_cells.x","n_cells.y","proportion"
"HC1","Control","B Cells",1454,5610,0.259180035650624
"HC1","Control","T Cells",3201,5610,0.570588235294118
"HC1","Control","NK Cells",888,5610,0.158288770053476
"HC1","Control","Monocytes",67,5610,0.0119429590017825
"HC2","Control","Monocytes",96,5787,0.0165889061689995
"HC2","Control","B Cells",2513,5787,0.434249179194747
"HC2","Control","T Cells",2390,5787,0.412994643165716
"HC2","Control","NK Cells",788,5787,0.136167271470537
"NSES","Sepsis","NK Cells",370,2004,0.184630738522954
"NSES","Sepsis","Monocytes",133,2004,0.0663672654690619
"NSES","Sepsis","B Cells",491,2004,0.24500998003992
"NSES","Sepsis","T Cells",1010,2004,0.503992015968064
"P25","Sepsis","T Cells",400,1085,0.368663594470046
"P25","Sepsis","NK Cells",523,1085,0.482027649769585
"P25","Sepsis","Monocytes",13,1085,0.0119815668202765
"P25","Sepsis","B Cells",149,1085,0.137327188940092
"P50","Sepsis","B Cells",142,958,0.148225469728601
"P50","Sepsis","T Cells",441,958,0.460334029227557
"P50","Sepsis","NK Cells",338,958,0.352818371607516
"P50","Sepsis","Monocytes",37,958,0.0386221294363257
"S2","Sepsis","Monocytes",36,6373,0.00564883100580574
"S2","Sepsis","B Cells",3734,6373,0.585909304879962
"S2","Sepsis","T Cells",2104,6373,0.330142789894869
"S2","Sepsis","NK Cells",499,6373,0.0782990742193629
"S3","Sepsis","NK Cells",222,1020,0.217647058823529
"S3","Sepsis","Monocytes",20,1020,0.0196078431372549
"S3","Sepsis","B Cells",248,1020,0.243137254901961
"S3","Sepsis","T Cells",530,1020,0.519607843137255
