"cluster","state_label","program","mean_z_score","cluster_label"
0,"Emergency myeloid / immature neutrophil-like","inflammatory",0.493816893311952,"Cluster 0  ·  Emergency myeloid / immature neutrophil-like"
1,"VCAN+ classical monocyte","inflammatory",0.0250468726188175,"Cluster 1  ·  VCAN+ classical monocyte"
2,"Lymphoid-like contamination","inflammatory",-1.00861214509775,"Cluster 2  ·  Lymphoid-like contamination"
0,"Emergency myeloid / immature neutrophil-like","antigen_presentation",-0.630581844281968,"Cluster 0  ·  Emergency myeloid / immature neutrophil-like"
1,"VCAN+ classical monocyte","antigen_presentation",0.327295881071232,"Cluster 1  ·  VCAN+ classical monocyte"
2,"Lymphoid-like contamination","antigen_presentation",0.837907125026668,"Cluster 2  ·  Lymphoid-like contamination"
0,"Emergency myeloid / immature neutrophil-like","immunosuppression",0.472769135057521,"Cluster 0  ·  Emergency myeloid / immature neutrophil-like"
1,"VCAN+ classical monocyte","immunosuppression",-0.345469620293401,"Cluster 1  ·  VCAN+ classical monocyte"
2,"Lymphoid-like contamination","immunosuppression",-0.502839079746306,"Cluster 2  ·  Lymphoid-like contamination"
0,"Emergency myeloid / immature neutrophil-like","immature_emergency",0.700912920095205,"Cluster 0  ·  Emergency myeloid / immature neutrophil-like"
1,"VCAN+ classical monocyte","immature_emergency",-0.663742730415693,"Cluster 1  ·  VCAN+ classical monocyte"
2,"Lymphoid-like contamination","immature_emergency",-0.555644674299274,"Cluster 2  ·  Lymphoid-like contamination"
0,"Emergency myeloid / immature neutrophil-like","monocyte_core",-0.0819657212861509,"Cluster 0  ·  Emergency myeloid / immature neutrophil-like"
1,"VCAN+ classical monocyte","monocyte_core",0.582961769667881,"Cluster 1  ·  VCAN+ classical monocyte"
2,"Lymphoid-like contamination","monocyte_core",-0.568030473565068,"Cluster 2  ·  Lymphoid-like contamination"
0,"Emergency myeloid / immature neutrophil-like","classical",-0.536660459609467,"Cluster 0  ·  Emergency myeloid / immature neutrophil-like"
1,"VCAN+ classical monocyte","classical",0.999914619135316,"Cluster 1  ·  VCAN+ classical monocyte"
2,"Lymphoid-like contamination","classical",-0.190501823900241,"Cluster 2  ·  Lymphoid-like contamination"
0,"Emergency myeloid / immature neutrophil-like","nonclassical",-0.0574857459258712,"Cluster 0  ·  Emergency myeloid / immature neutrophil-like"
1,"VCAN+ classical monocyte","nonclassical",0.195040091356449,"Cluster 1  ·  VCAN+ classical monocyte"
2,"Lymphoid-like contamination","nonclassical",-0.130552111972144,"Cluster 2  ·  Lymphoid-like contamination"
0,"Emergency myeloid / immature neutrophil-like","lymphoid_contamination",-0.175170619604754,"Cluster 0  ·  Emergency myeloid / immature neutrophil-like"
1,"VCAN+ classical monocyte","lymphoid_contamination",-0.479951612132637,"Cluster 1  ·  VCAN+ classical monocyte"
2,"Lymphoid-like contamination","lymphoid_contamination",0.947855982415554,"Cluster 2  ·  Lymphoid-like contamination"
0,"Emergency myeloid / immature neutrophil-like","combined_inflammatory_HLADRlow",1.12439873759392,"Cluster 0  ·  Emergency myeloid / immature neutrophil-like"
1,"VCAN+ classical monocyte","combined_inflammatory_HLADRlow",-0.302249008452414,"Cluster 1  ·  VCAN+ classical monocyte"
2,"Lymphoid-like contamination","combined_inflammatory_HLADRlow",-1.84651927012442,"Cluster 2  ·  Lymphoid-like contamination"
