"algorithm","rank","regime"
"LASSO",2,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",95,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",94,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",98,"Weighted nested CV"
"XGBoost",2,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",93,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",2,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",94,"Weighted nested CV"
"XGBoost",3,"Weighted nested CV"
"LASSO",3,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",99,"Weighted nested CV"
"XGBoost",2,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",93,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",98,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",3,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",85,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",2,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",98,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",95,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",98,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",82,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",92,"Weighted nested CV"
"XGBoost",2,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",95,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",93,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",93,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",4,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",100,"Weighted nested CV"
"XGBoost",2,"Weighted nested CV"
"LASSO",3,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",95,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",89,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",98,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",91,"Weighted nested CV"
"XGBoost",2,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",96,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",2,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",94,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",3,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",94,"Weighted nested CV"
"XGBoost",3,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",97,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",88,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",97,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",2,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",94,"Weighted nested CV"
"XGBoost",3,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",83,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",95,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",99,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",91,"Weighted nested CV"
"XGBoost",2,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",82,"Weighted nested CV"
"XGBoost",2,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",94,"Weighted nested CV"
"XGBoost",3,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",97,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",96,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",2,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",94,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",84,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",95,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",88,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",92,"Weighted nested CV"
"XGBoost",2,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",96,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",6,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",98,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",97,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",2,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",93,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",90,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",89,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",96,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",90,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",3,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",96,"Weighted nested CV"
"XGBoost",3,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",2,"Weighted nested CV"
"Ranger",98,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",98,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",97,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",93,"Weighted nested CV"
"XGBoost",2,"Weighted nested CV"
"LASSO",1,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",93,"Weighted nested CV"
"XGBoost",1,"Weighted nested CV"
"LASSO",2,"Weighted nested CV"
"glmBoost",1,"Weighted nested CV"
"Ranger",100,"Weighted nested CV"
