"lambda","cvm","cvsd","cvup","cvlo","nozezo","ll"
0.144226513919562,0.408698943136404,0.0413940029977942,0.450092946134198,0.36730494013861,0,-1.93637020196543
0.131413827927877,0.361137738194462,0.0385029951138296,0.399640733308291,0.322634743080632,1,-2.02940394309651
0.119739385646451,0.311952932016738,0.0300056934649597,0.341958625481698,0.281947238551778,1,-2.12243768422758
0.109102068641196,0.275661450224677,0.0243449844312046,0.300006434655881,0.251316465793472,1,-2.21547142535865
0.0994097415610136,0.247338990208313,0.0203606920164617,0.267699682224774,0.226978298191851,1,-2.30850516648972
0.0905784541054617,0.224355334639219,0.0174561527113701,0.241811487350589,0.206899181927849,1,-2.4015389076208
0.0825317138874128,0.205179687457213,0.0152934251115375,0.220473112568751,0.189886262345676,1,-2.49457264875187
0.07519982389259,0.188856149897619,0.0136655400418787,0.202521689939498,0.17519060985574,1,-2.58760638988294
0.0685192787973718,0.174751001804678,0.0124361487666271,0.187187150571305,0.162314853038051,1,-2.68064013101401
0.0624322149160589,0.16242320746469,0.0115097047041702,0.173932912168861,0.15091350276052,1,-2.77367387214509
0.0568859090133108,0.151553232828044,0.0108159472717248,0.162369180099768,0.140737285556319,1,-2.86670761327616
0.0518323216407032,0.141901804374194,0.0103014371926236,0.152203241566817,0.13160036718157,1,-2.95974135440723
0.0472276810420076,0.13328331977673,0.00992431772049426,0.143207637497224,0.123359002056235,1,-3.0527750955383
0.0430321040231789,0.12555190956334,0.00965330311411352,0.135205212677453,0.115898606449226,1,-3.14580883666938
0.0392092505032081,0.11859273390055,0.00946267340105254,0.128055407301603,0.109130060499498,1,-3.23884257780045
0.0357260087537258,0.112312827570896,0.00933295501330353,0.121645782584199,0.102979872557592,1,-3.33187631893152
0.0325522086010509,0.106630700866288,0.00924917933556479,0.115879880201853,0.097381521530723,1,-3.42491006006259
0.0296603601065798,0.101533046084942,0.00919303597662647,0.110726082061568,0.0923400101083156,1,-3.51794380119367
0.0270254154620892,0.0968238916401125,0.00917421085871693,0.105998102498829,0.0876496807813955,1,-3.61097754232474
0.0246245520376033,0.0920683680708975,0.00919611447749671,0.101264482548394,0.0828722535934008,2,-3.70401128345581
0.0224369747026919,0.0874602567113965,0.00925415157698232,0.0967144082883788,0.0782061051344142,2,-3.79704502458688
0.0204437357089983,0.0831130044189275,0.00925784290868357,0.0923708473276111,0.0738551615102439,2,-3.89007876571796
0.0186275705739075,0.0790088109932232,0.00919141574201142,0.0882002267352347,0.0698173952512118,2,-3.98311250684903
0.0169727485438574,0.0752378888450659,0.00912236385900796,0.0843602527040739,0.066115524986058,2,-4.0761462479801
0.0154649363420762,0.0717996472538192,0.00906726287956432,0.0808669101333835,0.0627323843742549,2,-4.16917998911117
0.0140910740205968,0.0685621962272155,0.00903840185485787,0.0776005980820734,0.0595237943723576,3,-4.26221373024225
0.0128392618412343,0.0653853031510169,0.00899466841118085,0.0743799715621978,0.0563906347398361,4,-4.35524747137332
0.0116986572057475,0.0623782710513399,0.00895221750452761,0.0713304885558675,0.0534260535468122,4,-4.44828121250439
0.0106593807424392,0.0594624611987636,0.00888952570869303,0.0683519869074566,0.0505729354900706,4,-4.54131495363546
0.0097124307357653,0.0567051797318363,0.00880290132747605,0.0655080810593124,0.0479022784043603,4,-4.63434869476654
0.0088496051577807,0.0541894427368067,0.00872658053341067,0.0629160232702174,0.045462862203396,4,-4.72738243589761
0.00806343062609731,0.0519068558895556,0.00867292127289244,0.060579777162448,0.0432339346166632,4,-4.82041617702868
0.00734709767302087,0.0498222859756076,0.00863561650860123,0.0584579024842088,0.0411866694670064,4,-4.91344991815975
0.00669440176519939,0.0479338084728104,0.00862350305708286,0.0565573115298933,0.0393103054157276,4,-5.00648365929083
0.00609968956292348,0.0462499059649511,0.00864657700393955,0.0548964829688907,0.0376033289610116,5,-5.0995174004219
0.00555780995360224,0.0448207332310028,0.0087236066766475,0.0535443399076503,0.0360971265543553,5,-5.19255114155297
0.00506406943529031,0.0435751404341723,0.00884008890494661,0.0524152293391189,0.0347350515292257,5,-5.28558488268404
0.00461419146381933,0.0424957646919689,0.00899146864872041,0.0514872333406893,0.0335042960432485,5,-5.37861862381512
0.00420427941141819,0.041555979167691,0.00917992353529465,0.0507359027029856,0.0323760556323963,5,-5.47165236494619
0.0038307828159874,0.0407276333856563,0.00940381102159088,0.0501314444072472,0.0313238223640655,6,-5.56468610607726
0.00349046662869494,0.0400445073675525,0.00965285298973057,0.0496973603572831,0.0303916543778219,7,-5.65771984720833
0.00318038319353082,0.0395186938457875,0.00992856206565169,0.0494472559114391,0.0295901317801358,7,-5.75075358833941
0.00289784671612092,0.0391604817573436,0.0102271022445732,0.0493875840019168,0.0289333795127704,7,-5.84378732947048
0.00264041000066096,0.0389467869167918,0.0105421170014927,0.0494889039182844,0.0284046699152991,7,-5.93682107060155
0.00240584325347714,0.0388449147010181,0.0108757819430178,0.0497206966440358,0.0279691327580003,7,-6.02985481173262
0.00219211476962009,0.0388853412771557,0.0112408381892263,0.0501261794663821,0.0276445030879294,10,-6.1228885528637
0.00199737333520851,0.0391122591860554,0.0116336836713839,0.0507459428574392,0.0274785755146715,10,-6.21592229399477
0.00181993219310017,0.0393609106707002,0.0120191860180075,0.0513800966887077,0.0273417246526928,11,-6.30895603512584
0.00165825443300846,0.0395517888929417,0.0124213842850786,0.0519731731780204,0.0271304046078631,11,-6.40198977625692
0.00151093967952072,0.0396276943712247,0.0128084094148501,0.0524361037860748,0.0268192849563746,12,-6.49502351738799
0.00137671196271635,0.0396357019262777,0.0131916092177354,0.0528273111440131,0.0264440927085423,14,-6.58805725851906
0.00125440866632579,0.0396306531268146,0.0135900497383482,0.0532207028651628,0.0260406033884663,15,-6.68109099965013
0.00114297045770456,0.0396601347642572,0.0140161599127598,0.053676294677017,0.0256439748514975,15,-6.7741247407812
0.00104143211240067,0.0396221740710296,0.0144738723461564,0.0540960464171861,0.0251483017248732,15,-6.86715848191228
0.000948914153842174,0.0395390183187543,0.0148449921292992,0.0543840104480535,0.024694026189455,15,-6.96019222304335
0.000864615235731832,0.0394380317754384,0.0152041535778451,0.0546421853532835,0.0242338781975933,15,-7.05322596417442
0.00078780520116886,0.0393330027811635,0.0155646033951796,0.0548976061763431,0.0237683993859839,16,-7.1462597053055
0.000717818758379136,0.0393177916928986,0.0159236756105566,0.0552414673034552,0.023394116082342,16,-7.23929344643657
0.000654049718276132,0.0392974149033403,0.0162842479502093,0.0555816628535496,0.0230131669531309,16,-7.33232718756764
0.000595945743941039,0.0393470465666408,0.0166553096598288,0.0560023562264696,0.022691736906812,16,-7.42536092869871
0.000543003566544613,0.0394400516469768,0.0170346002923991,0.0564746519393759,0.0224054513545777,16,-7.51839466982979
0.00049476462627333,0.0395259889946048,0.017383013383374,0.0569090023779788,0.0221429756112308,16,-7.61142841096086
0.000450811100503657,0.0396118973311241,0.0177051083341065,0.0573170056652306,0.0219067889970176,16,-7.70446215209193
0.000410762284822369,0.0396773465660715,0.0180265242577762,0.0577038708238477,0.0216508223082953,15,-7.797495893223
0.000374271295547046,0.0397923281844235,0.0183352440958485,0.058127572280272,0.0214570840885749,16,-7.89052963435408
0.000341022065185561,0.0400066645585817,0.0187307098492383,0.0587373744078201,0.0212759547093434,16,-7.98356337548515
0.000310726604810672,0.0403122345806173,0.0191789332885513,0.0594911678691686,0.021133301292066,16,-8.07659711661622
0.0002831225096377,0.0406459378840185,0.0196236773320945,0.060269615216113,0.021022260551924,16,-8.16963085774729
0.000257970686199821,0.0409660138436549,0.0200920379097234,0.0610580517533783,0.0208739759339315,16,-8.26266459887837
0.000235053281434833,0.0412357920435449,0.0204926685391975,0.0617284605827424,0.0207431235043474,16,-8.35569834000944
0.000214171795746152,0.041529904485822,0.020882057193124,0.062411961678946,0.0206478472926981,16,-8.44873208114051
0.000195145363694268,0.0419228549606201,0.0213134102903509,0.063236265250971,0.0206094446702692,16,-8.54176582227158
0.000177809187426828,0.0423756323903501,0.0217514153243908,0.064127047714741,0.0206242170659593,16,-8.63479956340266
0.000162013109278485,0.0428016565168067,0.0221683996205364,0.0649700561373431,0.0206332568962703,17,-8.72783330453373
0.000147620311177024,0.0432623246813396,0.0226009894805524,0.065863314161892,0.0206613352007872,17,-8.8208670456648
0.000134506129590683,0.0437381058228933,0.0230352044680032,0.0667733102908965,0.0207029013548901,17,-8.91390078679587
0.000122556975752274,0.0442389702039251,0.0234678940396246,0.0677068642435497,0.0207710761643005,17,-9.00693452792695
0.000111669351807621,0.0447636818903431,0.0239046327588764,0.0686683146492194,0.0208590491314667,17,-9.09996826905802
0.000101748954366662,0.045310336275256,0.0243484877268421,0.0696588240020981,0.0209618485484139,17,-9.19300201018909
9.27098576925973e-05,0.045848725272991,0.0247974346733985,0.0706461599463895,0.0210512905995926,17,-9.28603575132016
8.44737694542617e-05,0.046358513221013,0.0252475111148111,0.0716060243358241,0.0211110021062019,17,-9.37906949245124
7.69693525954095e-05,0.0468662152542549,0.0256912838298957,0.0725574990841506,0.0211749314243591,17,-9.47210323358231
7.01316074472582e-05,0.0473918576449912,0.0261422002744436,0.0735340579194348,0.0212496573705476,17,-9.56513697471338
6.39013087324534e-05,0.0479236690227159,0.0265902305888237,0.0745138996115396,0.0213334384338923,17,-9.65817071584445
5.8224492584049e-05,0.0484831449713395,0.0270435725886127,0.0755267175599522,0.0214395723827268,17,-9.75120445697553
5.3051989136308e-05,0.0490551690003902,0.0274953476640497,0.0765505166644399,0.0215598213363405,17,-9.8442381981066
4.83389966388474e-05,0.0496718648264496,0.0279471942849095,0.077619059111359,0.0217246705415401,17,-9.93727193923767
4.40446934053095e-05,0.0502837871402809,0.0283972884373513,0.0786810755776322,0.0218864987029296,17,-10.0303056803687
4.01318842354435e-05,0.0508495595529975,0.028857021739311,0.0797065812923085,0.0219925378136865,17,-10.1233394214998
3.65666782480745e-05,0.0511315278037335,0.029054734343913,0.0801862621476465,0.0220767934598204,17,-10.2163731626309
3.33181953345039e-05,0.0512194788250158,0.0290916749173821,0.0803111537423979,0.0221278039076337,17,-10.309406903762
3.03582986897808e-05,0.0512790156206622,0.0291002185104668,0.0803792341311291,0.0221787971101954,17,-10.402440644893
