"coef","variable","value","lambda"
"(Intercept)",0,2.89564881499701,0.144226513919562
"ACER3",0,0,0.144226513919562
"ACSL1",0,0,0.144226513919562
"ACSL3",0,0,0.144226513919562
"ACVR1B",0,0,0.144226513919562
"ADCY3",0,0,0.144226513919562
"AGFG1",0,0,0.144226513919562
"AIG1",0,0,0.144226513919562
"AKR1C1",0,0,0.144226513919562
"ALOX5",0,0,0.144226513919562
"ALOX5AP",0,0,0.144226513919562
"ANKRD22",0,0,0.144226513919562
"ANKRD34B",0,0,0.144226513919562
"ANKRD55",0,0,0.144226513919562
"ANKS1A",0,0,0.144226513919562
"ANXA1",0,0,0.144226513919562
"ANXA3",0,0,0.144226513919562
"ARG1",0,0,0.144226513919562
"ATP2C2",0,0,0.144226513919562
"ATP8B4",0,0,0.144226513919562
"ATP9A",0,0,0.144226513919562
"BATF",0,0,0.144226513919562
"BAZ1A",0,0,0.144226513919562
"BLOC1S1",0,0,0.144226513919562
"BMX",0,0,0.144226513919562
"BST1",0,0,0.144226513919562
"C14orf101",0,0,0.144226513919562
"C14orf2",0,0,0.144226513919562
"C17orf60",0,0,0.144226513919562
"C19orf38",0,0,0.144226513919562
"C19orf59",0,0,0.144226513919562
"C20orf177",0,0,0.144226513919562
"C22orf9",0,0,0.144226513919562
"C4orf3",0,0,0.144226513919562
"C5orf32",0,0,0.144226513919562
"C9orf103",0,0,0.144226513919562
"C9orf89",0,0,0.144226513919562
"CA4",0,0,0.144226513919562
"CACNA1E",0,0,0.144226513919562
"CAPG",0,0,0.144226513919562
"CARD6",0,0,0.144226513919562
"CCDC109A",0,0,0.144226513919562
"CCNA1",0,0,0.144226513919562
"CD163",0,0,0.144226513919562
"CD177",0,0,0.144226513919562
"CD55",0,0,0.144226513919562
"CD59",0,0,0.144226513919562
"CD63",0,0,0.144226513919562
"CD82",0,0,0.144226513919562
"CDC42EP3",0,0,0.144226513919562
"CDK5RAP2",0,0,0.144226513919562
"CDKN2C",0,0,0.144226513919562
"CDKN2D",0,0,0.144226513919562
"CEACAM1",0,0,0.144226513919562
"CEACAM21",0,0,0.144226513919562
"CEACAM4",0,0,0.144226513919562
"CHCHD7",0,0,0.144226513919562
"CKAP4",0,0,0.144226513919562
"CLEC5A",0,0,0.144226513919562
"COL17A1",0,0,0.144226513919562
"CORO2A",0,0,0.144226513919562
"CPEB4",0,0,0.144226513919562
"CPNE5",0,0,0.144226513919562
"CR1",0,0,0.144226513919562
"CST7",0,0,0.144226513919562
"CYP19A1",0,0,0.144226513919562
"CYP1B1",0,0,0.144226513919562
"DAAM2",0,0,0.144226513919562
"DDAH2",0,0,0.144226513919562
"DHCR7",0,0,0.144226513919562
"DHRS9",0,0,0.144226513919562
"DRAM1",0,0,0.144226513919562
"DUSP13",0,0,0.144226513919562
"EAF2",0,0,0.144226513919562
"EIF4E3",0,0,0.144226513919562
"EMB",0,0,0.144226513919562
"EMILIN2",0,0,0.144226513919562
"EMR1",0,0,0.144226513919562
"ENTPD1",0,0,0.144226513919562
"ENTPD7",0,0,0.144226513919562
"ENY2",0,0,0.144226513919562
"ERI1",0,0,0.144226513919562
"ERLIN1",0,0,0.144226513919562
"ERO1L",0,0,0.144226513919562
"ETS2",0,0,0.144226513919562
"EXOSC4",0,0,0.144226513919562
"F8",0,0,0.144226513919562
"FAM160A2",0,0,0.144226513919562
"FAM177A1",0,0,0.144226513919562
"FAM20A",0,0,0.144226513919562
"FAM89A",0,0,0.144226513919562
"FAR2",0,0,0.144226513919562
"FBN2",0,0,0.144226513919562
"FCAR",0,0,0.144226513919562
"FCER1G",0,0,0.144226513919562
"FERMT3",0,0,0.144226513919562
"FKBP5",0,0,0.144226513919562
"FKBP9",0,0,0.144226513919562
"FNDC3B",0,0,0.144226513919562
"GALNT14",0,0,0.144226513919562
"GALNT2",0,0,0.144226513919562
"GBA",0,0,0.144226513919562
"GLRX",0,0,0.144226513919562
"GM2A",0,0,0.144226513919562
"GMFG",0,0,0.144226513919562
"GNA15",0,0,0.144226513919562
"GPR141",0,0,0.144226513919562
"GPR84",0,0,0.144226513919562
"GRB10",0,0,0.144226513919562
"GSTO1",0,0,0.144226513919562
"GTDC1",0,0,0.144226513919562
"GYG1",0,0,0.144226513919562
"HEBP2",0,0,0.144226513919562
"HGF",0,0,0.144226513919562
"HIP1",0,0,0.144226513919562
"HIST1H2AE",0,0,0.144226513919562
"HK3",0,0,0.144226513919562
"HP",0,0,0.144226513919562
"HPGD",0,0,0.144226513919562
"HS3ST3B1",0,0,0.144226513919562
"HSBP1",0,0,0.144226513919562
"HSDL2",0,0,0.144226513919562
"IER3",0,0,0.144226513919562
"IFT20",0,0,0.144226513919562
"IGF2BP3",0,0,0.144226513919562
"IL18R1",0,0,0.144226513919562
"IL18RAP",0,0,0.144226513919562
"IL1R2",0,0,0.144226513919562
"IL1RAP",0,0,0.144226513919562
"IMPA2",0,0,0.144226513919562
"IRAK3",0,0,0.144226513919562
"ITGA7",0,0,0.144226513919562
"ITGAM",0,0,0.144226513919562
"ITPKC",0,0,0.144226513919562
"JMJD6",0,0,0.144226513919562
"KCNE1",0,0,0.144226513919562
"KCNMA1",0,0,0.144226513919562
"KIAA1715",0,0,0.144226513919562
"KIF3C",0,0,0.144226513919562
"KLF5",0,0,0.144226513919562
"LAIR1",0,0,0.144226513919562
"LCN2",0,0,0.144226513919562
"LDHA",0,0,0.144226513919562
"LDLR",0,0,0.144226513919562
"LGALS8",0,0,0.144226513919562
"LILRA5",0,0,0.144226513919562
"LILRA6",0,0,0.144226513919562
"LIN7A",0,0,0.144226513919562
"LOC375190",0,0,0.144226513919562
"LRPAP1",0,0,0.144226513919562
"LRRFIP2",0,0,0.144226513919562
"LTF",0,0,0.144226513919562
"LYRM1",0,0,0.144226513919562
"MAFG",0,0,0.144226513919562
"MAP2K6",0,0,0.144226513919562
"MAPK14",0,0,0.144226513919562
"MCTP1",0,0,0.144226513919562
"MCTP2",0,0,0.144226513919562
"MEF2A",0,0,0.144226513919562
"MERTK",0,0,0.144226513919562
"METTL7B",0,0,0.144226513919562
"METTL9",0,0,0.144226513919562
"MKNK1",0,0,0.144226513919562
"MMADHC",0,0,0.144226513919562
"MMP8",0,0,0.144226513919562
"MMP9",0,0,0.144226513919562
"MS4A4A",0,0,0.144226513919562
"MSL3",0,0,0.144226513919562
"MSRA",0,0,0.144226513919562
"MSRB3",0,0,0.144226513919562
"MTF1",0,0,0.144226513919562
"MTHFS",0,0,0.144226513919562
"MYL6",0,0,0.144226513919562
"NAIP",0,0,0.144226513919562
"NANS",0,0,0.144226513919562
"NDST2",0,0,0.144226513919562
"NDUFA4",0,0,0.144226513919562
"NDUFB1",0,0,0.144226513919562
"NDUFB3",0,0,0.144226513919562
"NECAB1",0,0,0.144226513919562
"NLRC4",0,0,0.144226513919562
"NQO2",0,0,0.144226513919562
"NSUN7",0,0,0.144226513919562
"OLAH",0,0,0.144226513919562
"OLFM4",0,0,0.144226513919562
"OPLAH",0,0,0.144226513919562
