"Gene","Model","Value"
"S100A8","LASSO",2.6957030812877
"MAFG","LASSO",1.29742272867223
"CDKN2D","LASSO",0.882254762040681
"FKBP9","LASSO",0.392770391657228
"TPST2","LASSO",0.24773301962296
"S100A8","glmBoost",0.820840766786309
"CDKN2D","glmBoost",0.164659007999056
"FKBP9","glmBoost",0.0838058438026392
"MAFG","glmBoost",0.0315038022310982
"FERMT3","glmBoost",0.0109185993179694
"C5orf32","XGBoost",0.549631518336576
"MAFG","XGBoost",0.192883523821146
"S100A8","XGBoost",0.166911497602935
"CD177","XGBoost",0.0298072438666358
"EXOSC4","XGBoost",0.0142490443612707
"C19orf59","Ranger",19.2124405829293
"S100A12","Ranger",16.6495398145093
"C5orf32","Ranger",14.478658401545
"MAFG","Ranger",9.23342438200647
"S100A8","Ranger",7.33923173966136
