"gene","n_cells","n_donors","estimate","se","ci_low","ci_high","singular","status"
"S100A8",402,7,2.25419943612953,0.468903712416209,1.33514815979376,3.1732507124653,FALSE,"Sensitivity only; donor-level pseudo-bulk is primary"
"S100A9",402,7,1.83385000052408,0.485720723482789,0.881837382497818,2.78586261855035,FALSE,"Sensitivity only; donor-level pseudo-bulk is primary"
"S100A12",402,7,2.21382648147381,0.456296866644491,1.31948462285061,3.10816834009702,FALSE,"Sensitivity only; donor-level pseudo-bulk is primary"
"IL1B",402,7,-0.260297913784428,0.0920405223221736,-0.440697337535888,-0.0798984900329673,FALSE,"Sensitivity only; donor-level pseudo-bulk is primary"
"FCN1",402,7,-0.826285317011485,0.107975504355397,-1.03791730554806,-0.614653328474908,TRUE,"Sensitivity only; donor-level pseudo-bulk is primary"
"CTSS",402,7,-1.69802804462363,0.164007384119113,-2.01948251749709,-1.37657357175017,FALSE,"Sensitivity only; donor-level pseudo-bulk is primary"
"NFKBIA",402,7,-0.263333909894602,0.526164734194898,-1.2946167889166,0.767948969127397,FALSE,"Sensitivity only; donor-level pseudo-bulk is primary"
"HLA-DRA",402,7,-1.71274227986558,0.285310033347883,-2.27194994522743,-1.15353461450373,FALSE,"Sensitivity only; donor-level pseudo-bulk is primary"
"HLA-DRB1",402,7,-0.716439977884742,0.210897074791983,-1.12979824447703,-0.303081711292456,FALSE,"Sensitivity only; donor-level pseudo-bulk is primary"
"HLA-DPA1",402,7,-0.605935635104879,0.180307371449761,-0.959338083146411,-0.252533187063347,FALSE,"Sensitivity only; donor-level pseudo-bulk is primary"
"HLA-DPB1",402,7,-0.648081106719433,0.138731692064177,-0.91999522316522,-0.376166990273646,FALSE,"Sensitivity only; donor-level pseudo-bulk is primary"
"CD74",402,7,-1.1995968365315,0.332246100658643,-1.85079919382244,-0.548394479240556,FALSE,"Sensitivity only; donor-level pseudo-bulk is primary"
"CIITA",402,7,-0.018933809646732,0.0135141439379965,-0.0454215317652052,0.00755391247174119,TRUE,"Sensitivity only; donor-level pseudo-bulk is primary"
"IL1R2",402,7,0.743262000861055,0.209263248246319,0.333106034298269,1.15341796742384,FALSE,"Sensitivity only; donor-level pseudo-bulk is primary"
"RETN",402,7,1.44512155446619,0.6926277368747,0.0875711901917766,2.8026719187406,FALSE,"Sensitivity only; donor-level pseudo-bulk is primary"
"LILRB1",402,7,-0.0344183238095032,0.0434631317305062,-0.119606062001295,0.0507694143822889,FALSE,"Sensitivity only; donor-level pseudo-bulk is primary"
"LILRB3",402,7,0.232791470045394,0.0766281537951426,0.0826002886069148,0.382982651483874,TRUE,"Sensitivity only; donor-level pseudo-bulk is primary"
"SOCS3",402,7,0.0179814864304448,0.0995706945108212,-0.177177074810765,0.213140047671654,FALSE,"Sensitivity only; donor-level pseudo-bulk is primary"
"ARG1",402,7,0.227781503831637,0.0786386685234247,0.0736497135257244,0.381913294137549,FALSE,"Sensitivity only; donor-level pseudo-bulk is primary"
"MPO",402,7,-0.0254448525635147,0.0152040065818938,-0.0552447054640267,0.00435500033699717,TRUE,"Sensitivity only; donor-level pseudo-bulk is primary"
"ELANE",402,7,0.0228560095320808,0.0196046477865199,-0.0155691001294983,0.0612811191936598,TRUE,"Sensitivity only; donor-level pseudo-bulk is primary"
