"gene","logFC","logCPM","F","PValue","FDR","analysis","min_cells"
"ARG1",5.82418648332598,5.86281406263122,18.8006983495545,1.46862054377393e-05,0.00305345366970736,"primary_20",20
"CD74",-1.78935413244319,9.53602983981223,7.30483311571282,0.00901076790347567,0.289440841423202,"primary_20",20
"CIITA",-1.44407850192834,4.63598796898686,0.90370691176809,0.341817914628642,0.880929964942752,"primary_20",20
"CTSS",-2.23834290251174,9.35126024554909,18.3127110566915,1.89599200842049e-05,0.00362665351370672,"primary_20",20
"ELANE",2.59247018709769,4.46980287728945,1.83739634411196,0.175294018753421,0.712064097575973,"primary_20",20
"FCN1",-1.85305344354143,8.19393032530786,11.3374965819647,0.000763096263735528,0.0715514967290843,"primary_20",20
"HLA-DPA1",-1.60132875415892,8.28542833192368,8.17044454251082,0.00447324213953487,0.209121414126047,"primary_20",20
"HLA-DPB1",-1.47841621441151,7.92724202025946,6.97492361982019,0.0083422257519538,0.278152555547025,"primary_20",20
"HLA-DRA",-2.36528959899397,9.55211998145389,14.7926019165968,0.00023158488046987,0.0276859724601729,"primary_20",20
"HLA-DRB1",-1.85097399843563,8.36000271509821,10.8459061693952,0.00108519929894665,0.093503117974106,"primary_20",20
"IL1B",-2.03989096753499,6.69668461515915,9.67862555926705,0.00187068841789984,0.128714129703555,"primary_20",20
"IL1R2",4.08045863154137,8.00972864865639,29.1654381514451,6.8329520293586e-08,5.44586276739881e-05,"primary_20",20
"LILRB1",-0.0421003443134652,5.50316017089643,0.00258743056264332,0.95943291510752,0.979088390961195,"primary_20",20
"LILRB3",1.63121100426638,6.61608787918374,5.24847675847,0.0219914304281979,0.418143221899174,"primary_20",20
"MPO",-2.75049313027904,4.43395169810205,2.21065258296542,0.137099426117464,0.672075300557369,"primary_20",20
"NFKBIA",-0.216115392561853,9.68122515120664,0.169376603901009,0.680677271786353,0.976128989765054,"primary_20",20
"RETN",3.39274120978752,10.3304467853871,11.3194942441117,0.00219084146475962,0.136969382463904,"primary_20",20
"S100A12",3.63407328703218,12.7836023458786,34.4463843594084,4.55322710534251e-09,7.25784400591597e-06,"primary_20",20
"S100A8",3.31156106287076,15.7220426150218,31.5470783022758,2.01073632161824e-08,2.74724031142241e-05,"primary_20",20
"S100A9",2.82482655739159,15.0075308554016,24.0417578192151,9.60936320778789e-07,0.000340384998960309,"primary_20",20
"SOCS3",-0.149825988103834,7.06034632251976,0.0599940786116928,0.806511474831615,0.976128989765054,"primary_20",20
"ARG1",,,,,,"strict_50",50
"CD74",-4.55057273438972,9.63170152402952,42.3767994641781,5.61738145458611e-05,0.0174089793366004,"strict_50",50
"CIITA",-3.72755957584075,4.06887506326232,4.58078053819329,0.0558457610663354,0.300752316859503,"strict_50",50
"CTSS",-2.63892283496241,9.66157166833647,35.5346706148183,0.00011756175468472,0.0243906761220111,"strict_50",50
"ELANE",,,,,,"strict_50",50
"FCN1",-1.57543840469531,8.44589103833072,9.99369366267972,0.00964729999561089,0.270059652897269,"strict_50",50
"HLA-DPA1",-3.99308832714332,8.28387081537781,40.4522050016394,6.84329824162826e-05,0.0184150948166655,"strict_50",50
"HLA-DPB1",-3.29809984606886,7.88782386049034,29.1010445851594,0.000263177815079761,0.0383185597206129,"strict_50",50
"HLA-DRA",-5.58054095597514,9.81344421822812,98.6799920512061,1.21715837272071e-06,0.00148843964942371,"strict_50",50
"HLA-DRB1",-4.15913272059168,8.43859121578388,20.8749457955011,0.00092377984632838,0.0770617147807135,"strict_50",50
"IL1B",-4.48801946679266,6.68375408317989,26.0785633987926,0.000403395577531623,0.046097615174915,"strict_50",50
"IL1R2",4.67387454001814,7.45465407709857,77.3149216091092,3.77394452333433e-06,0.00286202229215045,"strict_50",50
"LILRB1",-5.06646543634264,4.70407413491067,7.44291879340367,0.0205741019344956,0.300752316859503,"strict_50",50
"LILRB3",1.96165862485795,6.09989063306733,9.90323104538954,0.00992934254599765,0.27056379315943,"strict_50",50
"MPO",-3.19348830770185,3.89689225889223,3.94866448132611,0.0714431049815158,0.304562926726813,"strict_50",50
"NFKBIA",0.0713278396914011,9.59382088362945,0.0320438503172263,0.861362988271066,0.965762987875564,"strict_50",50
"RETN",4.01303465569142,9.80348212433151,21.9182434958037,0.00137547285127505,0.0910008118876088,"strict_50",50
"S100A12",4.50220579579504,12.4776847851625,136.839234631548,2.52114122858214e-07,0.000656607341658654,"strict_50",50
"S100A8",4.09658006917401,15.3578350101804,96.9132137613076,1.32615325683389e-06,0.00148843964942371,"strict_50",50
"S100A9",3.81573883436786,14.8537772903313,106.376161568459,8.50709295631585e-07,0.00141932338883174,"strict_50",50
"SOCS3",-0.553421412435039,6.68761009290852,0.919670343542507,0.359281207320924,0.720224403639426,"strict_50",50
