"gene","logFC","logCPM","F","PValue","FDR"
"LCN2",10.4403726990598,10.0999851322855,78.9400032423275,1.00103074307319e-16,9.57385802675197e-13
"MMP8",8.33909574441092,8.04488300319397,52.3595226940521,6.98590533474104e-13,3.34065993107316e-09
"CYSTM1",4.69446463022947,9.42371433445975,42.0007055338571,9.65486820845887e-11,3.07797198485669e-07
"MT2A",4.23993307517697,10.0132571501078,38.7826808773139,4.97207110815083e-10,1.18882220195886e-06
"CFD",-4.61578579547978,6.89226128170893,36.3487178865596,1.72175407162191e-09,3.29337118819839e-06
"S100A12",3.63407328703218,12.7836023458786,34.4463843594084,4.55322710534251e-09,7.25784400591597e-06
"S100A8",3.31156106287076,15.7220426150218,31.5470783022758,2.01073632161824e-08,2.74724031142241e-05
"CEBPD",-3.02121622997856,8.97909186132201,31.2664367578371,2.32213226670136e-08,2.77610912484147e-05
"S100P",3.78017318635742,9.17962127127045,30.8625624886821,2.92497954041566e-08,3.10827825828171e-05
"MAFB",-3.00735509320172,8.63339378249724,29.8723531260747,4.7509575204004e-08,4.54381577251094e-05
"PGLYRP1",6.68172253479343,6.5374427434149,29.3300145579421,6.27849153786187e-08,5.44586276739881e-05
"IL1R2",4.08045863154137,8.00972864865639,29.1654381514451,6.8329520293586e-08,5.44586276739881e-05
"SGK1",-3.12038476946048,7.98729643052384,28.6398104579732,8.9545353382983e-08,6.587782767345e-05
"ANXA3",6.59734934856919,6.4528897865522,27.9606634988976,1.27024009251412e-07,8.677554460575e-05
"CD4",-4.98880731311476,6.16851612909778,27.548005852277,1.5711025150245e-07,0.000100173496357962
"MTRNR2L8",4.01165399059864,8.12939135753265,27.9199877187934,1.88160149540822e-07,0.000112472729388026
"ZDHHC19",4.6363936999299,7.67955270110384,28.3940655769133,2.1077658879495e-07,0.000118580429131465
"ALPL",4.28337895817362,7.35992702378873,26.6702530613829,2.47936255338975e-07,0.000126367668583046
"MMP9",7.16417534694055,8.81459804711213,33.8516737523427,2.51044092751765e-07,0.000126367668583046
"HP",6.45387202950421,6.34222374267128,26.1833820141826,3.1757942328985e-07,0.000151866480217206
"TRAC",-4.07070436049127,6.4111090470339,26.0762610178845,3.35630820961483e-07,0.000152855865317887
"ALOX5AP",3.27526405323603,9.5667898450775,25.7936680684126,3.88365368871427e-07,0.000168833017631197
"CXCL2",-3.67328265206273,6.65796529708993,25.4571354678763,4.62102670836831e-07,0.0001877323307611
"GCA",3.53464142340597,8.31775122876489,25.4198468548548,4.71097442311419e-07,0.0001877323307611
"DUSP2",-3.45458532047446,6.80292736077494,25.2409982531172,5.16713550658552e-07,0.000197673935939936
"TGFBI",-6.22528282582995,5.74154081498361,24.9207075766151,6.09776548286854e-07,0.000224303957992903
"S100A9",2.82482655739159,15.0075308554016,24.0417578192151,9.60936320778789e-07,0.000340384998960309
"MGAM",6.26005921594913,6.18988127816448,23.7311160688061,1.1320095353988e-06,0.000386662114162647
