"gene","logFC","logCPM","F","PValue","FDR"
"MMP9",8.87560638774667,9.15823408763849,164.289858438436,1.92243122258433e-08,0.000160369212587984
"MT2A",5.49070595157631,10.0411680795105,181.652743784281,6.31710105877223e-08,0.00026348628516139
"S100A12",4.50220579579504,12.4776847851625,136.839234631548,2.52114122858214e-07,0.000656607341658654
"CYSTM1",5.45814147432526,8.98272773000188,131.533362644009,3.14844086146561e-07,0.000656607341658654
"S100A9",3.81573883436786,14.8537772903313,106.376161568459,8.50709295631585e-07,0.00141932338883174
"HLA-DRA",-5.58054095597514,9.81344421822812,98.6799920512061,1.21715837272071e-06,0.00148843964942371
"S100A8",4.09658006917401,15.3578350101804,96.9132137613076,1.32615325683389e-06,0.00148843964942371
"IFITM2",3.28680633856801,10.9987152125792,95.4237543510781,1.4274175491956e-06,0.00148843964942371
"S100P",4.90356174752332,9.12171972090612,82.446970345376,2.87008823137972e-06,0.00266025289179663
"GCA",4.30014245860788,7.93370018933572,80.076305608423,3.32976898502634e-06,0.00277769328730897
"IL1R2",4.67387454001814,7.45465407709857,77.3149216091092,3.77394452333433e-06,0.00286202229215045
"ALOX5AP",3.83477142351667,9.00983564371516,75.9382397400518,4.1736533641692e-06,0.00290138469699162
"RPS26",2.82191540401134,10.6551847079958,71.5230167837809,5.49132041231031e-06,0.00352373806765328
"CST3",-4.10454528664058,9.48532172579724,67.2964002043966,7.2601340777804e-06,0.00432600274834601
"ZDHHC19",5.81844671872925,7.596473978399,62.5155003050104,7.82869691239885e-06,0.00435379930954875
"DHRS9",6.06720979939833,6.54920648479889,50.2153589230829,1.16113623649085e-05,0.00605387405300418
"ALPL",5.48581986547421,7.29803331675687,53.1783466047361,1.65835293344511e-05,0.00813763539458771
"STXBP2",2.82862999068273,10.2661812430875,54.4264177572957,1.88952788124156e-05,0.00875691199184284
"VCAN",-5.68006505526256,7.77761343254952,50.5689788731497,2.61426414308395e-05,0.0108747719847452
"GYG1",3.28434948796657,7.75620707564896,50.3846237961604,2.67576153344618e-05,0.0108747719847452
"RAB31",2.80930582959701,8.87709386926703,49.9882618921079,2.7514697985146e-05,0.0108747719847452
"SLC37A3",4.45012151652183,6.76031987858564,48.3726624339672,2.86795712855904e-05,0.0108747719847452
"ADGRG3",4.43613170868977,6.40346068568806,44.2025506741124,3.81579338673446e-05,0.0138397167096256
"CST7",3.46331812072124,8.12155966926984,44.6553890168745,4.50887256294344e-05,0.0156720895500309
