"gene","HC1","HC2","NSES"
"AL669831.5",4.44669159404492,4.88091111817509,4.77248964499869
"LINC00115",4.76169449409717,3.48082754210608,4.04905405047373
"FAM41C",4.04312272295644,4.54624760585208,3.48082754210608
"NOC2L",5.02009356627595,4.88091111817509,4.77248964499869
"HES4",3.48082754210608,4.88091111817509,4.45565018125735
"ISG15",5.23916589294564,5.38075636542466,4.45565018125735
"SDF4",5.02009356627595,6.49929514702503,4.45565018125735
"UBE2J2",4.44669159404492,5.90604956903415,5.61139554019353
"SCNN1D",4.04312272295644,4.10973135280164,3.48082754210608
"ACAP3",5.02009356627595,4.88091111817509,3.48082754210608
"PUSL1",4.04312272295644,4.10973135280164,3.48082754210608
"INTS11",4.04312272295644,5.75127484793027,3.48082754210608
"CPTP",4.04312272295644,3.48082754210608,4.04905405047373
"AURKAIP1",6.22915951780443,6.68180946011435,6.43647455431806
"CCNL2",5.23916589294564,5.38075636542466,5.61139554019353
"MRPL20",5.42931587612097,5.38075636542466,5.44289479092054
"SSU72",6.0084396527514,6.98943389654848,5.44289479092054
"AL645728.1",4.44669159404492,3.48082754210608,4.04905405047373
"AL691432.2",4.76169449409717,4.88091111817509,3.48082754210608
"MIB2",4.44669159404492,4.88091111817509,3.48082754210608
"CDK11B",3.48082754210608,4.10973135280164,4.77248964499869
"SLC35E2B",4.76169449409717,3.48082754210608,4.45565018125735
"CDK11A",6.12301650389485,4.10973135280164,6.02358031004547
"NADK",4.04312272295644,4.54624760585208,5.44289479092054
"GNB1",6.81077107757232,7.18354829977047,6.02358031004547
"FAAP20",6.81077107757232,7.24285313188096,6.52355884335602
"SKI",4.04312272295644,4.54624760585208,5.44289479092054
"RER1",5.23916589294564,5.90604956903415,5.44289479092054
"AL139246.5",4.76169449409717,4.88091111817509,4.45565018125735
"TNFRSF14",5.88397211596874,6.29030069184318,6.95807684073785
"TPRG1L",5.42931587612097,4.88091111817509,5.0321216312624
"WRAP73",4.44669159404492,4.10973135280164,3.48082754210608
"SMIM1",4.04312272295644,4.10973135280164,3.48082754210608
"LRRC47",4.04312272295644,4.10973135280164,3.48082754210608
"C1orf174",4.44669159404492,4.88091111817509,4.45565018125735
