"iteration","seed","AUC","PR_AUC","mean_difference","standardized_mean_difference","sensitivity","specificity","balanced_accuracy","MCC","F1"
1,20260719,0.992630385487528,0.993491137101311,1.80930571214286,3.74633502045999,0.952380952380952,1,0.976190476190476,0.953462589245592,0.975609756097561
2,20260720,1,1,1.81092973857143,4.09106242025395,1,1,1,1,1
3,20260721,0.996598639455782,0.996992370114595,1.83724454190476,4.1662867547743,0.976190476190476,1,0.988095238095238,0.976467291870559,0.987951807228916
4,20260722,1,1,1.89359874333333,4.38484226843001,1,1,1,1,1
5,20260723,0.99546485260771,0.996151865272853,1.90142409142857,4.23610730403147,0.976190476190476,1,0.988095238095238,0.976467291870559,0.987951807228916
6,20260724,1,1,1.87997899761905,4.47276825776691,1,1,1,1,1
7,20260725,1,1,1.84684784476191,4.17891460085259,1,1,1,1,1
8,20260726,1,1,1.95138085833333,4.52718515064499,1,1,1,1,1
9,20260727,1,1,1.85246477238095,4.30313888960608,1,1,1,1,1
10,20260728,0.997732426303855,0.997906770788688,1.89736767761905,4.3179500515296,0.976190476190476,1,0.988095238095238,0.976467291870559,0.987951807228916
11,20260729,1,1,1.89152099880952,4.47138675661805,1,1,1,1,1
12,20260730,1,1,1.86971860095238,4.32490816683396,1,1,1,1,1
13,20260731,0.997732426303855,0.997906770788688,1.86809885214286,4.38159943163307,0.976190476190476,1,0.988095238095238,0.976467291870559,0.987951807228916
14,20260732,1,1,1.90412032928571,4.62508235538428,1,1,1,1,1
15,20260733,1,1,1.83620515095238,4.29202805187224,1,1,1,1,1
16,20260734,0.997165532879819,0.997439737473695,1.93001305404762,4.4817501748667,0.976190476190476,1,0.988095238095238,0.976467291870559,0.987951807228916
17,20260735,0.996598639455782,0.996992370114595,1.84539495857143,4.07683361181954,0.976190476190476,1,0.988095238095238,0.976467291870559,0.987951807228916
18,20260736,1,1,1.94642668428571,4.7465408273212,1,1,1,1,1
19,20260737,1,1,1.94435859452381,4.60438625285097,1,1,1,1,1
20,20260738,1,1,1.90068708380952,4.46425673482794,1,1,1,1,1
21,20260739,1,1,1.87512915833333,4.3422202612749,1,1,1,1,1
22,20260740,1,1,1.81818374404762,4.15358933763971,1,1,1,1,1
23,20260741,1,1,1.89211499261905,4.45385815465644,1,1,1,1,1
24,20260742,0.997165532879819,0.997439737473695,1.81845811809524,3.94230989818157,0.976190476190476,1,0.988095238095238,0.976467291870559,0.987951807228916
25,20260743,1,1,1.89145443047619,4.41476448946974,1,1,1,1,1
26,20260744,1,1,1.91703751214286,4.38655572000878,1,1,1,1,1
27,20260745,0.997732426303855,0.997906770788688,1.8926502697619,4.24584302707139,0.976190476190476,1,0.988095238095238,0.976467291870559,0.987951807228916
28,20260746,1,1,1.88157468690476,4.53285706278494,1,1,1,1,1
29,20260747,1,1,1.89501243166667,4.39554022368167,1,1,1,1,1
30,20260748,1,1,1.81301110428571,4.1364746197855,1,1,1,1,1
31,20260749,0.997732426303855,0.997906770788688,1.84304446357143,4.22823492139548,0.976190476190476,1,0.988095238095238,0.976467291870559,0.987951807228916
32,20260750,0.996031746031746,0.996563452132877,1.75448877428571,3.90778181491919,0.976190476190476,1,0.988095238095238,0.976467291870559,0.987951807228916
33,20260751,1,1,1.82965294142857,4.17471458826779,1,1,1,1,1
34,20260752,1,1,1.8487697047619,4.38710597480566,1,1,1,1,1
35,20260753,1,1,1.86748885404762,4.32896217942496,1,1,1,1,1
36,20260754,1,1,1.86166874285714,4.34791027634049,1,1,1,1,1
37,20260755,0.997165532879819,0.997439737473695,1.83107810309524,4.08108700469735,0.976190476190476,1,0.988095238095238,0.976467291870559,0.987951807228916
38,20260756,1,1,1.91264662261905,4.31921744826868,1,1,1,1,1
39,20260757,1,1,1.8660212797619,4.3819005248263,1,1,1,1,1
40,20260758,0.996031746031746,0.996563452132877,1.83077752357143,4.05242422314806,0.976190476190476,1,0.988095238095238,0.976467291870559,0.987951807228916
41,20260759,0.997732426303855,0.997906770788688,1.87711293357143,4.21961938323285,0.976190476190476,1,0.988095238095238,0.976467291870559,0.987951807228916
42,20260760,1,1,1.86106512476191,4.40860541890147,1,1,1,1,1
43,20260761,1,1,1.94092198547619,4.53002497414817,1,1,1,1,1
44,20260762,1,1,1.86666654214286,4.21716428963872,1,1,1,1,1
45,20260763,0.992063492063492,0.993054550599905,1.88818440357143,4.0567119495244,0.952380952380952,1,0.976190476190476,0.953462589245592,0.975609756097561
46,20260764,0.993764172335601,0.995011187031485,1.78425011928571,3.80568978498106,0.976190476190476,1,0.988095238095238,0.976467291870559,0.987951807228916
47,20260765,1,1,1.8719192547619,4.41161019617326,1,1,1,1,1
48,20260766,0.996598639455782,0.996992370114595,1.86710587619048,4.1872746144934,0.976190476190476,1,0.988095238095238,0.976467291870559,0.987951807228916
49,20260767,1,1,1.88313964809524,4.45723377437008,1,1,1,1,1
50,20260768,1,1,1.91770174785714,4.57811013925086,1,1,1,1,1
51,20260769,0.997732426303855,0.997906770788688,1.81114643619048,4.11955074414244,0.976190476190476,1,0.988095238095238,0.976467291870559,0.987951807228916
