"metric","value"
"samples","802"
"sepsis","760"
"normal","42"
"genes_before_filter","11719"
"genes_in_network","5859"
"modules_non_grey","5"
"primary_sepsis_module","brown"
"primary_module_size","980"
"primary_module_correlation","0.374648619757563"
"primary_module_p","3.97836703022792e-28"
"primary_module_FDR","1.19351010906837e-27"
"S100A8_module",NA
"S100A8_MM",NA
"S100A8_GS",NA
"corrected_DEG_n","1508"
"primary_module_DEG_overlap_n","292"
"GO_FDR_significant_n","45"
"KEGG_FDR_significant_n","0"
