"gene","MAD","variance","retained","reason"
"A4GALT",0.310006118782501,0.114764465910111,FALSE,"MAD_at_or_below_median"
"AAA1",0.376193341324497,0.144433931435895,FALSE,"MAD_at_or_below_median"
"AACS",0.301941877836901,0.0972312313452089,FALSE,"MAD_at_or_below_median"
"AAGAB",0.411812704025098,0.182044997785263,FALSE,"MAD_at_or_below_median"
"AAK1",0.761959321575905,0.514707501579745,TRUE,"retained"
"AAMP",0.324122973411299,0.121599726563039,FALSE,"MAD_at_or_below_median"
"AARS",0.332594934546001,0.164943480348727,FALSE,"MAD_at_or_below_median"
"AARS2",0.282064870907401,0.125934571626586,FALSE,"MAD_at_or_below_median"
"AASDH",0.522377718374401,0.246407566380463,TRUE,"retained"
"AASDHPPT",0.523525019488796,0.3098492885001,TRUE,"retained"
"AATF",0.503206169589898,0.291218458147612,TRUE,"retained"
"AATK",0.508519931787,0.337571437072078,TRUE,"retained"
"ABAT",0.597707209232699,0.440004464997987,TRUE,"retained"
"ABCA1",1.3211104681278,1.70966764308363,TRUE,"retained"
"ABCA13",0.327884479353899,0.659273905587114,FALSE,"MAD_at_or_below_median"
"ABCA5",0.767610996482397,0.539065062979801,TRUE,"retained"
"ABCA7",0.9403094469258,0.715723196538193,TRUE,"retained"
"ABCB1",0.3578728093878,0.149470362324809,FALSE,"MAD_at_or_below_median"
"ABCB10",0.855819750515105,0.88478739464419,TRUE,"retained"
"ABCB6 ",0.294726770837098,0.29916420248522,FALSE,"MAD_at_or_below_median"
"ABCB7",0.6556612567134,0.413092970550979,TRUE,"retained"
"ABCB9",0.383729022026703,0.154807684865261,FALSE,"MAD_at_or_below_median"
"ABCC1",0.5411383304691,0.366058745508429,TRUE,"retained"
"ABCC10",0.3524711253042,0.127999271444642,FALSE,"MAD_at_or_below_median"
"ABCC11",0.2633389790808,0.077448538980302,FALSE,"MAD_at_or_below_median"
"ABCC13",1.7598644708211,2.46715132762356,TRUE,"retained"
"ABCC3",0.5636761885293,0.511094852609379,TRUE,"retained"
"ABCC4",0.532782961739703,0.555542107441199,TRUE,"retained"
"ABCC5",0.935715568571703,0.883428218507879,TRUE,"retained"
"ABCC6 ",0.2894975694723,0.0955105896496652,FALSE,"MAD_at_or_below_median"
"ABCC8",0.3365391924363,0.139293178689913,FALSE,"MAD_at_or_below_median"
"ABCD1",0.281699428539899,0.0969910618409452,FALSE,"MAD_at_or_below_median"
"ABCD3",0.827827690972799,0.650926002490066,TRUE,"retained"
"ABCD4",0.3235676211033,0.119357675951919,FALSE,"MAD_at_or_below_median"
"ABCE1",0.551406969294302,0.373061718596972,TRUE,"retained"
"ABCF1",0.656582372371798,0.402995364472173,TRUE,"retained"
"ABCF2",0.294072200713202,0.086829052017853,FALSE,"MAD_at_or_below_median"
"ABCF3",0.396895633837505,0.16903810180959,FALSE,"MAD_at_or_below_median"
"ABCG1",1.4107866848145,1.43817358460262,TRUE,"retained"
"ABCG2",0.6480231943269,1.35880610288981,TRUE,"retained"
"ABHD10",0.5633257552629,0.309566880195945,TRUE,"retained"
"ABHD11",0.430246934331897,0.177240665985937,FALSE,"MAD_at_or_below_median"
"ABHD12",0.2456083781319,0.0701515527425247,FALSE,"MAD_at_or_below_median"
"ABHD13",0.911477000777702,0.678658344706125,TRUE,"retained"
"ABHD14A",0.2900092555038,0.10601634507652,FALSE,"MAD_at_or_below_median"
"ABHD14B",0.367591892870999,0.204024933054561,FALSE,"MAD_at_or_below_median"
"ABHD15",0.3703332951423,0.226846726531307,FALSE,"MAD_at_or_below_median"
"ABHD2",0.685183836111601,0.668224283833784,TRUE,"retained"
"ABHD3",0.8530778552793,0.796039017670243,TRUE,"retained"
"ABHD4",0.453744142080596,0.204867027226892,FALSE,"MAD_at_or_below_median"
"ABHD5",0.659220878496595,0.45207789961091,TRUE,"retained"
"ABHD8",0.283574333395499,0.101397050400182,FALSE,"MAD_at_or_below_median"
"ABI1",0.503255061290098,0.251920289042023,TRUE,"retained"
"ABI2",0.560943851615704,0.397668930564778,TRUE,"retained"
"ABI3",0.792935313769201,0.54091500094872,TRUE,"retained"
"ABL1",0.356918504245799,0.139498633406498,FALSE,"MAD_at_or_below_median"
"ABL2",0.7955001561717,0.563072472407673,TRUE,"retained"
"ABLIM1",0.951610351190101,1.04341965744911,TRUE,"retained"
"ABLIM2",0.275422066040099,0.0914560360896416,FALSE,"MAD_at_or_below_median"
"ABLIM3",0.5083090630716,0.613660574776609,TRUE,"retained"
"ABP1",0.384677838583499,0.265615170286728,FALSE,"MAD_at_or_below_median"
"ABR",0.434630945466901,0.188899258711229,FALSE,"MAD_at_or_below_median"
"ABT1",0.3815446436949,0.1595168924722,FALSE,"MAD_at_or_below_median"
"ABTB1",0.4950003781506,0.276391481898414,TRUE,"retained"
"ABTB2",0.234849904575299,0.0874782766912065,FALSE,"MAD_at_or_below_median"
"ACAA1",0.465973509027602,0.248433738398241,TRUE,"retained"
"ACAA2",0.6379634701503,0.36162533505589,TRUE,"retained"
"ACACA",0.352112464349099,0.152827042706187,FALSE,"MAD_at_or_below_median"
"ACAD10",0.3187113736989,0.103464339253099,FALSE,"MAD_at_or_below_median"
"ACAD8",0.757568497152601,0.67507375053198,TRUE,"retained"
"ACADM",0.806824372097097,0.532502429386955,TRUE,"retained"
"ACADS",0.3011400543984,0.114691557367533,FALSE,"MAD_at_or_below_median"
"ACADSB",0.275737175620198,0.120947220339426,FALSE,"MAD_at_or_below_median"
"ACADVL",0.423464301752097,0.177054613484213,FALSE,"MAD_at_or_below_median"
"ACAN",0.259222851526801,0.0809880322591791,FALSE,"MAD_at_or_below_median"
"ACAP1",0.716164356165304,0.539031856260179,TRUE,"retained"
"ACAP2",0.543922489441791,0.403492174402845,TRUE,"retained"
"ACAP3",0.2995582981104,0.107076412374445,FALSE,"MAD_at_or_below_median"
"ACAT1",0.839237622675901,0.63518105088655,TRUE,"retained"
"ACAT2",0.470961178543799,0.288850712943802,TRUE,"retained"
"ACBD3",0.515259548210401,0.27495798205085,TRUE,"retained"
"ACBD5",0.863833901078402,0.694528076809523,TRUE,"retained"
"ACBD6",0.3578158753239,0.127430160053045,FALSE,"MAD_at_or_below_median"
"ACBD7",0.251332139274301,0.0772747425835393,FALSE,"MAD_at_or_below_median"
"ACCN4",0.3024969269532,0.101360524820243,FALSE,"MAD_at_or_below_median"
"ACCS",0.3933384791007,0.354215858668446,FALSE,"MAD_at_or_below_median"
"ACD",0.2610790860006,0.0751219875834837,FALSE,"MAD_at_or_below_median"
"ACE",0.277846704149702,0.113407880126412,FALSE,"MAD_at_or_below_median"
"ACER3",1.2936580149402,1.374227729776,TRUE,"retained"
"ACIN1",0.310854919143301,0.133078982616671,FALSE,"MAD_at_or_below_median"
"ACLY",0.5164436852631,0.311510901407246,TRUE,"retained"
"ACMSD",0.2570458995384,0.0719185333526276,FALSE,"MAD_at_or_below_median"
"ACN9",1.0424864301264,0.934270196609798,TRUE,"retained"
"ACO1",0.294119945622301,0.110438293184363,FALSE,"MAD_at_or_below_median"
"ACO2",0.440717929524604,0.199959387076117,FALSE,"MAD_at_or_below_median"
"ACOT1 ",0.256839592783198,0.0859290544841398,FALSE,"MAD_at_or_below_median"
"ACOT13",0.577433790645603,0.34350231510573,TRUE,"retained"
"ACOT7",0.557148130971601,0.475814486356033,TRUE,"retained"
"ACOT8",0.436391965144799,0.193762316956662,FALSE,"MAD_at_or_below_median"
"ACOT9",0.482786657081399,0.274647864087935,TRUE,"retained"
"ACOX1",0.616349904960299,0.488770491391517,TRUE,"retained"
"ACOX2",0.2944749289881,0.116216915171531,FALSE,"MAD_at_or_below_median"
"ACOX3",0.346177153236598,0.118670916702852,FALSE,"MAD_at_or_below_median"
"ACOXL",0.2712620372175,0.0889932467444262,FALSE,"MAD_at_or_below_median"
"ACP1",0.955793645713203,0.921652675365259,TRUE,"retained"
"ACP2",0.269833317125403,0.100469993374397,FALSE,"MAD_at_or_below_median"
"ACP5",0.7813108869111,0.781331057642586,TRUE,"retained"
"ACP6",0.690176654697597,0.527190510284426,TRUE,"retained"
"ACPL2",1.3251670159182,1.39783908604994,TRUE,"retained"
"ACPP",0.569472379129507,0.385211944632714,TRUE,"retained"
"ACPT",0.2599385373879,0.0813775114313446,FALSE,"MAD_at_or_below_median"
"ACRBP",0.941734840804799,1.00886876034628,TRUE,"retained"
"ACSBG1",0.2362852126005,0.0956910307363355,FALSE,"MAD_at_or_below_median"
"ACSF3",0.399357112333203,0.159076604337789,FALSE,"MAD_at_or_below_median"
