"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0006954","inflammatory response","46/251","351/4684",0.131054131054131,2.44564760899422,6.69995259586349,4.94858092322978e-09,1.40094325936635e-05,1.27465026517298e-05,"ACER3/ADM/AIM2/ALOX5/BCL6/BST1/C3AR1/CASP5/CD163/CST7/EXT1/FCGR1A/FUT7/HGF/HP/IER3/IL18R1/IL18RAP/IL1R1/IL1R2/IL1RN/IL4R/ITGAM/LDLR/LILRA5/LTB4R/LY96/MAPK14/MMP8/MMP9/NAIP/NLRC4/OSM/P2RX1/PGLYRP1/PLSCR1/PROK2/PXK/RABGEF1/S100A12/SLC11A1/SOCS3/TIMP1/TLR5/TNFAIP6/VNN1",46
"BP","GO:0001817","regulation of cytokine production","39/251","351/4684",0.111111111111111,2.07348384240815,4.97513419716707,6.51142145833542e-06,0.00423449524883452,0.00385276167019207,"AIM2/ALOX5/ARG1/BATF/BCL6/BPI/C3AR1/CARD16/CD55/CEACAM1/CLEC4E/CLEC5A/CR1/CYP1B1/FCER1G/FCGR1A/FLOT1/HGF/IL18R1/IL1R1/IL1R2/IL4R/IRAK3/JAK3/LILRA5/LY96/MAPK14/MMP8/NAIP/NLRC4/OSM/PDE4D/PGLYRP1/RABGEF1/SERPINB1/SLC11A1/TLR5/TSPO/UBE2J1",39
"BP","GO:0050727","regulation of inflammatory response","24/251","167/4684",0.143712574850299,2.6818713171267,5.26594147845702,6.76361238683965e-06,0.00423449524883452,0.00385276167019207,"AIM2/ALOX5/BCL6/BST1/CASP5/CST7/FCGR1A/FUT7/HGF/IER3/IL1R1/LDLR/LILRA5/MAPK14/MMP8/MMP9/NAIP/NLRC4/OSM/PGLYRP1/RABGEF1/S100A12/SOCS3/TNFAIP6",24
"BP","GO:0002274","myeloid leukocyte activation","20/251","124/4684",0.161290322580645,3.00989590026989,5.39699554486587,7.07297693778103e-06,0.00423449524883452,0.00385276167019207,"ANXA3/BATF/BPI/CD177/CLEC4D/CST7/DYSF/FCAR/FCER1G/IL18RAP/IL4R/ITGAM/JMJD6/LDLR/MMP8/PLSCR1/RABGEF1/S100A12/SLC11A1/STXBP2",20
"BP","GO:0001816","cytokine production","39/251","353/4684",0.110481586402266,2.06173605859847,4.93582668813109,7.47879768427149e-06,0.00423449524883452,0.00385276167019207,"AIM2/ALOX5/ARG1/BATF/BCL6/BPI/C3AR1/CARD16/CD55/CEACAM1/CLEC4E/CLEC5A/CR1/CYP1B1/FCER1G/FCGR1A/FLOT1/HGF/IL18R1/IL1R1/IL1R2/IL4R/IRAK3/JAK3/LILRA5/LY96/MAPK14/MMP8/NAIP/NLRC4/OSM/PDE4D/PGLYRP1/RABGEF1/SERPINB1/SLC11A1/TLR5/TSPO/UBE2J1",39
"BP","GO:0009617","response to bacterium","33/251","278/4684",0.118705035971223,2.21519676688928,4.97046283579298,9.04685868789533e-06,0.00426860949090528,0.00388380056303156,"ADM/ALPL/ANXA3/BPI/CARD16/CD55/CLEC4D/CLEC4E/EMILIN2/FAM20A/FCAR/FCER1G/FCGR1A/FKBP5/HP/HPGD/IRAK3/ITGAM/LCN2/LRG1/LY96/MAPK14/MMP8/MMP9/NAIP/NLRC4/PGLYRP1/PYGL/S100A12/SLC11A1/TLR5/TRIB1/TSPO",33
"BP","GO:0031347","regulation of defense response","39/251","366/4684",0.10655737704918,1.98850499640781,4.68627927524132,1.7783894933001e-05,0.00719231522218941,0.00654393848136143,"AIM2/ALOX5/ALPK1/ARG1/BCL6/BST1/CASP5/CEACAM1/CLEC4E/CR1/CST7/EMILIN2/FCGR1A/FLOT1/FUT7/HGF/IER3/IL18RAP/IL1R1/IRAK3/LDLR/LILRA5/LY96/MAP2K6/MAPK14/MMP8/MMP9/NAIP/NLRC4/OSM/PGLYRP1/PLSCR1/RABGEF1/S100A12/SMPDL3A/SOCS3/TLR5/TNFAIP6/ZDHHC3",39
"BP","GO:0032101","regulation of response to external stimulus","45/251","460/4684",0.0978260869565217,1.82556729603326,4.43628578494575,3.40387893670965e-05,0.0107070902998056,0.00974186170541348,"AIM2/ALOX5/ALPK1/ARG1/BCL6/BST1/C3AR1/CARD16/CASP5/CD55/CEACAM1/CLEC4E/CR1/CST7/EMILIN2/FCGR1A/FLOT1/FUT7/HGF/IER3/IL18RAP/IL1R1/IRAK3/KREMEN1/LDLR/LILRA5/LY96/MAP2K6/MAPK14/MMP8/MMP9/NAIP/NLRC4/OSM/PGLYRP1/PLSCR1/RABGEF1/S100A12/SMPDL3A/SOCS3/ST3GAL4/TLR5/TNFAIP6/TRIB1/ZDHHC3",45
"BP","GO:0050776","regulation of immune response","45/251","460/4684",0.0978260869565217,1.82556729603326,4.43628578494575,3.40387893670965e-05,0.0107070902998056,0.00974186170541348,"AIM2/ALPK1/ARG1/BATF/BCL6/BMX/C3AR1/CD177/CD55/CD59/CEACAM1/CLEC4D/CLEC4E/CR1/ENTPD7/FCAR/FCER1G/FCGR1A/FLOT1/FUT7/IL18R1/IL18RAP/IL1R1/IL4R/IRAK3/ITGAM/JAK3/LILRA5/LILRA6/LY96/MAP2K6/MAPK14/NAIP/NLRC4/OSCAR/PDE4D/PGLYRP1/PLSCR1/RABGEF1/SAMSN1/SLC11A1/SMPDL3A/TLR5/TNFSF13B/ZDHHC3",45
"BP","GO:0002366","leukocyte activation involved in immune response","21/251","155/4684",0.135483870967742,2.52831255622671,4.60391125846853,6.41287769963977e-05,0.0181548567676802,0.0165182228747563,"ANXA3/BATF/BCL6/CD177/CEACAM1/CLEC4D/CLEC4E/CR1/DYSF/ENTPD7/FCER1G/IL18R1/IL4R/ITGAM/JAK3/PGLYRP1/RABGEF1/SEMA4A/SLC11A1/SOCS3/STXBP2",21
"BP","GO:0002263","cell activation involved in immune response","21/251","156/4684",0.134615384615385,2.51210542445602,4.57026345007962,7.05868051543956e-05,0.0181664768538267,0.0165287954270628,"ANXA3/BATF/BCL6/CD177/CEACAM1/CLEC4D/CLEC4E/CR1/DYSF/ENTPD7/FCER1G/IL18R1/IL4R/ITGAM/JAK3/PGLYRP1/RABGEF1/SEMA4A/SLC11A1/SOCS3/STXBP2",21
"BP","GO:0002252","immune effector process","32/251","297/4684",0.107744107744108,2.01065099869881,4.28199041612832,8.86676562970851e-05,0.020918177914754,0.0190324346455234,"ANXA3/ARG1/BATF/BCL6/CD177/CD55/CD59/CEACAM1/CLEC4D/CLEC4E/CR1/DYSF/ENTPD7/FCAR/FCER1G/FCGR1A/FUT7/IL18R1/IL18RAP/IL1R1/IL4R/IRAK3/ITGAM/JAK3/NDST2/PGLYRP1/RABGEF1/SEMA4A/SLC11A1/SOCS3/STXBP2/UBE2J1",32
"BP","GO:0008015","blood circulation","20/251","148/4684",0.135135135135135,2.5218046731991,4.47613650265123,9.9829224526574e-05,0.0213756483265098,0.0194486647660189,"ADM/ASPH/C3AR1/CBS/CEACAM1/DSC2/ECE1/EMILIN2/EXT1/F5/FGF13/IER3/KCNE1/KCNMA1/MAP2K6/MEF2A/NDST2/P2RX1/PDE4D/TBC1D8",20
"BP","GO:0002286","T cell activation involved in immune response","13/251","73/4684",0.178082191780822,3.32325492550347,4.76004227164186,0.00010570790412262,0.0213756483265098,0.0194486647660189,"BATF/BCL6/CEACAM1/CLEC4D/CLEC4E/ENTPD7/FCER1G/IL18R1/IL4R/JAK3/SEMA4A/SLC11A1/SOCS3",13
"BP","GO:0002292","T cell differentiation involved in immune response","11/251","57/4684",0.192982456140351,3.6013140420773,4.70143609608704,0.000171812018541438,0.032426654966054,0.0295034392540981,"BATF/BCL6/CLEC4D/CLEC4E/ENTPD7/FCER1G/IL18R1/IL4R/JAK3/SEMA4A/SOCS3",11
"BP","GO:0002698","negative regulation of immune effector process","11/251","59/4684",0.186440677966102,3.47923559997299,4.55971827861798,0.000236884134390365,0.0410489230610283,0.0373484224396573,"ARG1/BCL6/CD55/CD59/CEACAM1/CR1/IL4R/IRAK3/JAK3/PGLYRP1/RABGEF1",11
"BP","GO:0002283","neutrophil activation involved in immune response","5/251","12/4684",0.416666666666667,7.77556440903054,5.5915827706973,0.000246496535513063,0.0410489230610283,0.0373484224396573,"ANXA3/CD177/FCER1G/ITGAM/STXBP2",5
"BP","GO:0046434","organophosphate catabolic process","14/251","92/4684",0.152173913043478,2.83977134938507,4.24040071727964,0.000327749675123256,0.0495560406910094,0.0450886358069122,"ENTPD1/ENTPD7/HK3/IER3/LDHA/LDLR/PDE4D/PFKFB2/PFKFB3/PLB1/PLBD1/SMPDL3A/UPP1/VNN1",14
"BP","GO:0009595","detection of biotic stimulus","6/251","19/4684",0.315789473684211,5.89305934158104,5.0848896582878,0.000335024171640865,0.0495560406910094,0.0450886358069122,"DACH1/LY96/NAIP/NLRC4/PGLYRP1/TSPO",6
"BP","GO:0002444","myeloid leukocyte mediated immunity","10/251","52/4684",0.192307692307692,3.58872203493717,4.46635141730907,0.00035009566012723,0.0495560406910094,0.0450886358069122,"ANXA3/ARG1/CD177/FCAR/FCGR1A/IL4R/ITGAM/NDST2/RABGEF1/STXBP2",10
"BP","GO:0002526","acute inflammatory response","9/251","44/4684",0.204545454545455,3.81709525534227,4.46703087399908,0.000428212032503574,0.0541343103138926,0.0492541810920802,"CD163/EXT1/FCGR1A/FUT7/HP/IL1RN/OSM/PLSCR1/VNN1",9
