"metric","value"
"samples","802"
"sepsis","760"
"normal","42"
"genes_before_filter","11719"
"genes_in_network","11719"
"modules_non_grey","8"
"primary_sepsis_module","black"
"primary_module_size","713"
"primary_module_correlation","0.408661632812892"
"primary_module_p","1.23974584863154e-33"
"primary_module_FDR","3.71923754589461e-33"
"S100A8_module","black"
"S100A8_MM","0.700322637799925"
"S100A8_GS","0.794717134418864"
"corrected_DEG_n","1508"
"primary_module_DEG_overlap_n","265"
"GO_FDR_significant_n","52"
"KEGG_FDR_significant_n","0"
