"gene","module","module_membership","gene_significance","gene_significance_p","gene_significance_FDR"
"A4GALT","brown",0.708633277557789,0.156700749974698,8.25921798884792e-06,1.69212894425365e-05
"AAA1","grey",0.00655876834085103,0.137776039756307,9.06447016571845e-05,0.000165901180496727
"AACS","grey",0.149827475771019,-0.26612623740236,1.81002192123833e-14,6.9890105090583e-14
"AAGAB","blue",0.537410289271835,-0.102636118638648,0.0036169683869475,0.00541366974493102
"AAK1","green",0.509963153090491,-0.26199400683635,4.69655771851823e-14,1.75283311793997e-13
"AAMP","turquoise",0.658029237639295,-0.408478953554407,1.33245283856627e-33,1.57092704377848e-32
"AARS","turquoise",0.441801582423142,-0.266788978860611,1.55094079447425e-14,6.01836926173635e-14
"AARS2","turquoise",0.700676856978036,-0.476413697474398,1.1194038688829e-46,3.26325719886535e-45
"AASDH","blue",0.582177423859788,-0.250016208366889,6.78463030591802e-13,2.36352801887792e-12
"AASDHPPT","blue",0.611469990156105,-0.234807142112205,1.65475285414367e-11,5.26814688881003e-11
"AATF","green",0.644835164553255,-0.253614361297308,3.0862368677392e-13,1.0953243444287e-12
"AATK","red",0.715236104036252,0.132488772820086,0.000168037121550473,0.000298187012030587
"ABAT","green",0.411603548575007,-0.157619532669491,7.29743826394142e-06,1.50508058808746e-05
"ABCA1","green",0.478407635972245,0.0972196200070012,0.00586102875612896,0.00853765021666567
"ABCA13","grey",0.464624968647942,0.123258313943501,0.000467828688489977,0.000788960195771196
"ABCA5","grey",0.144303803349575,-0.18054193330985,2.64324525355658e-07,6.19276112083757e-07
"ABCA7","green",0.596414453369609,0.0219342134438888,0.535077394105947,0.572236902858879
"ABCB1","brown",0.794666628544054,0.056166609468274,0.111972361596051,0.134833960701204
"ABCB10","yellow",0.435785483769103,0.0181210968156179,0.608354333782578,0.642048310302416
"ABCB6 ","pink",0.582227624238551,0.122391155008961,0.000513276428959544,0.000861513387421498
"ABCB7","blue",0.77788258645101,-0.318755669383519,2.13321496365741e-20,1.17643040748711e-19
"ABCB9","brown",0.723416959211965,0.129781676277712,0.000228496568447564,0.000399353002664928
"ABCC1","blue",0.681652137666966,-0.305851008645113,7.91009724881616e-19,3.99562196805502e-18
"ABCC10","grey",0.46985814787609,-0.126977241167435,0.000312227665685056,0.000537376415650341
"ABCC11","brown",0.657776707341184,0.121457432844833,0.000566784308069512,0.000946848938883337
"ABCC13","pink",0.88138258173609,0.208919624600791,2.32459396207853e-09,6.37685314644154e-09
"ABCC3","grey",0.0390644899657114,0.140308478156943,6.69079336337596e-05,0.000124459376865719
"ABCC4","pink",0.655556555756483,0.133952895945179,0.000141955699666597,0.000254136700946051
"ABCC5","green",0.58731474345342,-0.118921487525308,0.000739395898045287,0.00121536162477245
"ABCC6 ","brown",0.668445152978021,0.153278504437436,1.30178844053721e-05,2.61316525088311e-05
"ABCC8","brown",0.760583675661975,0.0521484695432409,0.140071543933825,0.166126750669011
"ABCD1","grey",0.0858068278352757,0.105325245046857,0.00282258005333196,0.00429749456216673
"ABCD3","yellow",0.738640699418946,-0.0567846745573342,0.108074544643824,0.130408318439145
"ABCD4","blue",0.582786984035621,-0.280931522441698,5.1762946708587e-16,2.21390500904354e-15
"ABCE1","blue",0.807503727108465,-0.351107751850903,1.1119316312763e-24,7.74255899401482e-24
"ABCF1","turquoise",0.731842891299887,-0.414952971061179,1.00648728527426e-34,1.26420412605885e-33
"ABCF2","turquoise",0.462429680192155,-0.279184147537044,7.96419440857248e-16,3.35728036957053e-15
"ABCF3","turquoise",0.56312562699274,-0.277188789065134,1.29776231930986e-15,5.38353154689993e-15
"ABCG1","green",0.5769018329935,-0.20476141567575,4.86194950938440e-09,1.30472146325797e-08
"ABCG2","pink",0.831406167343726,0.139867333623132,7.0568421302744e-05,0.000130811662329462
"ABHD10","blue",0.642406161530955,-0.21545239657545,7.06837990023117e-10,2.01838070299242e-09
"ABHD11","brown",0.621449209641041,0.00715594260215427,0.839650953094242,0.858702288097689
"ABHD12","grey",-0.167766631939227,-0.0690852019407572,0.0504944772545832,0.0644111003533755
"ABHD13","yellow",0.789982783502217,0.277722533589702,1.13930986338446e-15,4.73955135100518e-15
"ABHD14A","turquoise",0.65577309490021,-0.334398549878717,2.09760408405732e-22,1.30200329772605e-21
"ABHD14B","turquoise",0.773873451241851,-0.456926935727236,1.2787871278757e-42,2.75479896168664e-41
"ABHD15","turquoise",0.730727964536267,-0.554095067369478,9.84928502376522e-66,1.2824863465945e-63
"ABHD2","green",0.684741609760052,-0.117855429467387,0.000825576472560995,0.00135011591989147
"ABHD3","yellow",0.754454346860691,-0.117275468930086,0.000876279117729607,0.0014268604947441
"ABHD4","grey",-0.280924240531848,0.0245482131306396,0.487546765914011,0.526123762664333
"ABHD5","red",0.511591225988625,0.135292836837448,0.000121466812886087,0.000218860636563968
"ABHD8","grey",0.324008837148479,0.0458072035534224,0.195010340690664,0.226202730134998
"ABI1","yellow",0.916854169275998,-0.0191066551164483,0.588991342237065,0.623578420785632
"ABI2","turquoise",0.741764158744693,-0.459584038117907,3.70513830715393e-43,8.2705744421975e-42
"ABI3","turquoise",0.602176647984182,-0.390793932624768,1.16455591960335e-30,1.1595098404275e-29
"ABL1","blue",0.664849473058137,-0.403071517475572,1.10401040848034e-32,1.24283361930654e-31
"ABL2","red",0.562609266105694,0.115507128929433,0.00104920653312886,0.00169384920260878
"ABLIM1","turquoise",0.791359735896776,-0.554952034510927,5.67965889677701e-66,7.47864299003705e-64
"ABLIM2","brown",0.618881635796224,0.105278684693049,0.00283485949696821,0.00431394863588761
"ABLIM3","grey",0.0766025101641875,0.117607900001295,0.00084687482243063,0.00138136724528927
"ABP1","grey",-0.108801451026634,0.0880864069676244,0.0125767800735436,0.0174733000215599
"ABR","green",0.810619212839439,-0.201171791263966,9.08012309606208e-09,2.3869439785274e-08
"ABT1","blue",0.610689908852607,-0.385444490633162,8.34345818803262e-30,7.84097726588246e-29
"ABTB1","green",0.490767067053296,0.158252286009556,6.69828651649758e-06,1.3861419686886e-05
"ABTB2","grey",-0.220781707025011,0.0913564808733863,0.00963784545892083,0.0136161435724043
"ACAA1","red",0.764726552451986,0.30110292653765,2.85905864666392e-18,1.39605451167727e-17
"ACAA2","blue",0.627203539506003,-0.227135065140255,7.63697969854866e-11,2.32039836886937e-10
"ACACA","turquoise",0.442680130130248,-0.191980445811351,4.26825883586303e-08,1.06538286043618e-07
"ACAD10","grey",-0.00562593720534258,-0.184770793609805,1.36487412525494e-07,3.27430089536594e-07
"ACAD8","black",0.559985233891471,-0.0102104957127028,0.772800461448721,0.795964222189847
"ACADM","blue",0.753137204581493,-0.11528447509261,0.00107308515437833,0.00172953994280837
"ACADS","pink",0.596504056130689,0.11867698336601,0.000758390410270678,0.00124545644870545
"ACADSB","blue",0.691467696068439,-0.374473463456363,4.23075974031979e-28,3.60846240151439e-27
"ACADVL","grey",0.40403134444593,0.0541449927423804,0.125498465120005,0.149981288266504
"ACAN","brown",0.710036720891259,0.0887117152640248,0.0119601147875703,0.0166600006175605
"ACAP1","red",0.78019017698726,0.24617360351002,1.55220736146953e-12,5.30484633101822e-12
"ACAP2","yellow",0.85209788815265,0.0319775902070197,0.365777224936923,0.404009736007145
"ACAP3","brown",0.497745966306634,-0.0113480179527812,0.748300980440328,0.774061187199242
"ACAT1","blue",0.565916701538037,0.0167392691428413,0.635968302902769,0.668422649481394
"ACAT2","grey",0.654730220764155,-0.0541713734098177,0.125314121153802,0.149791532619483
"ACBD3","grey",0.212252649856882,-0.0716596016027434,0.0424771322360777,0.0547442552155059
"ACBD5","yellow",0.843930996866277,-0.13588167406324,0.000113373201888353,0.000204781219625401
"ACBD6","turquoise",0.478937809323076,-0.281643304581997,4.33923953082438e-16,1.86064939852656e-15
"ACBD7","brown",0.649124676999358,0.0875039266880891,0.0131763145903331,0.0182478410167943
"ACCN4","brown",0.723317506314104,0.117482032860873,0.000857898920104233,0.00139848622126881
"ACCS","grey",-3.25535294286134e-05,-0.152256436588667,1.48846809805236e-05,2.96554873190677e-05
"ACD","grey",-0.111172838460001,-0.216283970861579,6.05773231706915e-10,1.7369847081902e-09
"ACE","brown",0.673230803419953,0.0978023414241973,0.00557041736838323,0.00813353116622017
"ACER3","black",0.870929420663295,0.330515090865357,6.77638179525134e-22,4.07661284694818e-21
"ACIN1","green",0.736410426908363,-0.212497542055284,1.21685432201664e-09,3.41892011501152e-09
"ACLY","blue",0.683793483461701,-0.328235943935184,1.33811971385433e-21,7.91191974099845e-21
"ACMSD","brown",0.627880398491691,0.129510098389637,0.000235575107537459,0.000410880292488686
"ACN9","black",0.769358885625777,0.316269394992754,4.33891073052331e-20,2.34753900512478e-19
"ACO1","blue",0.411566610200984,-0.361131672043067,4.10822529027358e-26,3.1262527387478e-25
"ACO2","pink",0.605246287606231,-0.0594362123232902,0.0925548939414377,0.112913887372445
"ACOT1 ","turquoise",0.570305695343531,-0.360794648207038,4.59886950673448e-26,3.48829461161303e-25
"ACOT13","grey",0.581891576184429,0.236078295302972,1.27761484717806e-11,4.10419478552475e-11
"ACOT7","grey",0.299124651857257,-0.0154728275521638,0.661729125090177,0.693197784654669
"ACOT8","grey",0.464212884336188,0.151903873178255,1.55857812015656e-05,3.10101476911964e-05
"ACOT9","yellow",0.411794243705947,0.0863927416811231,0.0143903300039233,0.0198167188385402
"ACOX1","red",0.754382474654953,0.174400444966394,6.71674793593723e-07,1.52368503796454e-06
"ACOX2","grey",-0.0750879579062636,0.233687552750202,2.07554523664415e-11,6.5685429727877e-11
"ACOX3","grey",0.337711263867647,-0.0876100713089711,0.0130652184038604,0.0181025413188508
"ACOXL","brown",0.545263572552159,0.105529878118633,0.00276918450144039,0.00422113334708375
"ACP1","pink",0.858024060808204,0.0221100351803781,0.531808782940172,0.568948980032488
"ACP2","grey",0.000215929016224743,0.0592013621965077,0.0938530606329256,0.114402331761728
"ACP5","pink",0.654586075976668,-0.0194858874319753,0.581617059804958,0.616718270345123
"ACP6","black",0.534150108000971,0.178423776645361,3.65937760972832e-07,8.48353040720202e-07
"ACPL2","yellow",0.608515282881003,0.0874729366106093,0.0132089071841103,0.0182908168841532
"ACPP","black",0.559265567784186,0.177904153905781,3.96103480581516e-07,9.14847593404569e-07
"ACPT","brown",0.685519612189918,0.121820875880122,0.000545368594293352,0.000913155387415886
"ACRBP","grey",-0.0433618482160914,0.0513115915957354,0.146553341648154,0.173393095484576
"ACSBG1","grey",-0.0889449121739564,0.0860339420638406,0.0148028347285321,0.0203536806504362
"ACSF3","grey",0.080127699536537,-0.160861961734267,4.68794382174508e-06,9.84023171180917e-06
"ACSL1","black",0.590829270008088,0.411052727976783,4.80397614017856e-34,5.87659670007856e-33
"ACSL3","black",0.628496545569461,0.258607486946224,1.01337014868276e-13,3.7030510671697e-13
"ACSL4","yellow",0.779519110486229,0.28370620524301,2.59502577656606e-16,1.12968451246574e-15
"ACSL5","blue",0.585198626943507,-0.397677479037491,8.75628014109084e-32,9.38836660324278e-31
"ACSL6","pink",0.879724502429647,0.0817354731696853,0.0206140080158028,0.0277449821910179
"ACSM3","pink",0.572000295499655,-0.00899015942776553,0.799336574030787,0.821199729207223
"ACSM5","brown",0.658230773793481,0.146686354706117,3.04335769903791e-05,5.85441708388464e-05
"ACSS1","turquoise",0.824275200873551,-0.515528198502915,1.1736369618119e-55,6.91148319370538e-54
"ACSS2","black",0.619100568536723,0.183341655935176,1.7094108713984e-07,4.06918261261788e-07
"ACTA2","grey",0.000377487898636232,0.0351132142058675,0.320638016330233,0.357250134376687
"ACTB","red",0.447422278796757,0.0180518731046649,0.609724932213096,0.643378937565754
"ACTG1","yellow",0.50369409256328,-0.134244433145079,0.000137238976052699,0.000246030833771085
