"gene","module"
"A4GALT","brown"
"AAA1","grey"
"AACS","grey"
"AAGAB","blue"
"AAK1","green"
"AAMP","turquoise"
"AARS","turquoise"
"AARS2","turquoise"
"AASDH","blue"
"AASDHPPT","blue"
"AATF","green"
"AATK","red"
"ABAT","green"
"ABCA1","green"
"ABCA13","grey"
"ABCA5","grey"
"ABCA7","green"
"ABCB1","brown"
"ABCB10","yellow"
"ABCB6 ","pink"
"ABCB7","blue"
"ABCB9","brown"
"ABCC1","blue"
"ABCC10","grey"
"ABCC11","brown"
"ABCC13","pink"
"ABCC3","grey"
"ABCC4","pink"
"ABCC5","green"
"ABCC6 ","brown"
"ABCC8","brown"
"ABCD1","grey"
"ABCD3","yellow"
"ABCD4","blue"
"ABCE1","blue"
"ABCF1","turquoise"
"ABCF2","turquoise"
"ABCF3","turquoise"
"ABCG1","green"
"ABCG2","pink"
"ABHD10","blue"
"ABHD11","brown"
"ABHD12","grey"
"ABHD13","yellow"
"ABHD14A","turquoise"
"ABHD14B","turquoise"
"ABHD15","turquoise"
"ABHD2","green"
"ABHD3","yellow"
"ABHD4","grey"
"ABHD5","red"
"ABHD8","grey"
"ABI1","yellow"
"ABI2","turquoise"
"ABI3","turquoise"
"ABL1","blue"
"ABL2","red"
"ABLIM1","turquoise"
"ABLIM2","brown"
"ABLIM3","grey"
"ABP1","grey"
"ABR","green"
"ABT1","blue"
"ABTB1","green"
"ABTB2","grey"
"ACAA1","red"
"ACAA2","blue"
"ACACA","turquoise"
"ACAD10","grey"
"ACAD8","black"
"ACADM","blue"
"ACADS","pink"
"ACADSB","blue"
"ACADVL","grey"
"ACAN","brown"
"ACAP1","red"
"ACAP2","yellow"
"ACAP3","brown"
"ACAT1","blue"
"ACAT2","grey"
"ACBD3","grey"
"ACBD5","yellow"
"ACBD6","turquoise"
"ACBD7","brown"
"ACCN4","brown"
"ACCS","grey"
"ACD","grey"
"ACE","brown"
"ACER3","black"
"ACIN1","green"
"ACLY","blue"
"ACMSD","brown"
"ACN9","black"
"ACO1","blue"
"ACO2","pink"
"ACOT1 ","turquoise"
"ACOT13","grey"
"ACOT7","grey"
"ACOT8","grey"
"ACOT9","yellow"
"ACOX1","red"
"ACOX2","grey"
"ACOX3","grey"
"ACOXL","brown"
"ACP1","pink"
"ACP2","grey"
"ACP5","pink"
"ACP6","black"
"ACPL2","yellow"
"ACPP","black"
"ACPT","brown"
"ACRBP","grey"
"ACSBG1","grey"
"ACSF3","grey"
"ACSL1","black"
"ACSL3","black"
"ACSL4","yellow"
"ACSL5","blue"
"ACSL6","pink"
"ACSM3","pink"
"ACSM5","brown"
"ACSS1","turquoise"
"ACSS2","black"
"ACTA2","grey"
"ACTB","red"
"ACTG1","yellow"
"ACTL6A","blue"
"ACTL7B","brown"
"ACTL8","brown"
"ACTN1","red"
"ACTN4","green"
"ACTR10","yellow"
"ACTR1A","black"
"ACTR1B","brown"
"ACTR2","yellow"
"ACTR2 ","black"
"ACTR3","yellow"
"ACTR5","turquoise"
"ACTR6","blue"
"ACTR8","grey"
"ACVR1","blue"
"ACVR1B","black"
"ACVR1C","grey"
"ACVR2A","turquoise"
"ACVRL1","brown"
"ACY3","brown"
"ACYP1","blue"
"ADA","turquoise"
"ADAD2","brown"
"ADAM10","yellow"
"ADAM11","brown"
"ADAM12","brown"
"ADAM15","black"
"ADAM17","green"
"ADAM19","red"
"ADAM28","turquoise"
"ADAM33","brown"
"ADAM8","red"
"ADAM9","yellow"
"ADAMTS13","brown"
"ADAMTS15","brown"
"ADAMTS2","brown"
"ADAMTS3","black"
"ADAMTS9","brown"
"ADAMTSL1","brown"
"ADAP1","grey"
"ADAP1 ","brown"
"ADAP2","grey"
"ADAR","green"
"ADARB1","turquoise"
"ADARB2","brown"
"ADAT1","grey"
"ADAT3","grey"
"ADC","brown"
"ADCK1","brown"
"ADCK2","turquoise"
"ADCK4","red"
"ADCK5","brown"
"ADCY2","brown"
"ADCY3","black"
"ADCY4","red"
"ADCY7","blue"
"ADCY9","brown"
"ADCYAP1R1","grey"
"ADD1","pink"
"ADD2","brown"
"ADD3","yellow"
"ADH1A","brown"
"ADH5","blue"
"ADHFE1","turquoise"
"ADI1","turquoise"
"ADIPOR1","pink"
"ADIPOR2","grey"
"ADK","blue"
"ADM","black"
"ADM2","brown"
"ADNP","blue"
"ADNP2","turquoise"
"ADO","blue"
"ADORA2A ","black"
"ADORA2B","yellow"
"ADORA3","grey"
"ADPGK","yellow"
"ADPRH","grey"
"ADPRHL1","brown"
"ADPRHL2","turquoise"
"ADRA1A","brown"
"ADRA2B","brown"
"ADRA2C","brown"
"ADRB2","blue"
"ADRB3","brown"
"ADRBK1","red"
"ADRBK2","turquoise"
"ADRM1","turquoise"
"ADSL","turquoise"
"ADSS","blue"
"AEBP1","grey"
"AEBP2","blue"
"AEN","grey"
"AES","turquoise"
"AFAP1","grey"
"AFF1","yellow"
"AFF3","blue"
"AFF4","yellow"
"AFG3L2","turquoise"
"AFTPH","red"
"AGA","blue"
"AGAP2","grey"
"AGAP3","grey"
"AGAP4","turquoise"
"AGAP4 ","turquoise"
"AGAP5","turquoise"
"AGAP6 ","turquoise"
"AGBL5","pink"
"AGER","green"
"AGFG1","black"
"AGGF1","yellow"
"AGK","blue"
"AGL","yellow"
"AGMAT","turquoise"
"AGPAT1","grey"
"AGPAT2","red"
"AGPAT3","pink"
"AGPAT4","grey"
"AGPAT5","blue"
"AGPAT6","black"
"AGPAT9","red"
"AGPS","blue"
"AGRN","grey"
"AGTPBP1","black"
"AGTRAP","red"
"AGXT2L2","black"
"AHCTF1","green"
"AHCY","grey"
"AHCYL1","green"
"AHCYL2","turquoise"
"AHI1","turquoise"
"AHNAK","turquoise"
"AHR","blue"
"AHRR","brown"
"AHSA1","turquoise"
"AHSA2","yellow"
"AHSP","pink"
"AIDA","pink"
"AIDA ","pink"
"AIF1","red"
"AIFM1","blue"
"AIG1","black"
"AIM1","black"
"AIM2","grey"
"AIMP1","blue"
"AIMP2","blue"
"AIP","turquoise"
"AIPL1","brown"
"AIRE","brown"
"AK1","brown"
"AK2","brown"
"AK3","blue"
"AK3L1","grey"
"AKAP1","turquoise"
"AKAP10","red"
"AKAP11","blue"
"AKAP13","green"
"AKAP2 ","blue"
"AKAP7","blue"
"AKAP8","blue"
"AKAP8L","grey"
"AKAP9","grey"
"AKIRIN1","red"
"AKIRIN2","yellow"
"AKNA","green"
"AKR1A1","turquoise"
"AKR1B1","turquoise"
"AKR1B10","brown"
"AKR1C1","grey"
"AKR1C1 ","grey"
"AKR1C3","grey"
"AKR1E2","brown"
"AKR7A2","turquoise"
"AKT1","green"
"AKT1S1","pink"
"AKT2","pink"
"AKT3","turquoise"
"AKTIP","yellow"
"ALAD","pink"
"ALAS1","black"
"ALAS2","pink"
"ALCAM","yellow"
"ALDH16A1","turquoise"
"ALDH18A1","turquoise"
"ALDH1A1","grey"
"ALDH2","green"
"ALDH3A2","blue"
"ALDH3B1","red"
"ALDH4A1","grey"
"ALDH5A1","pink"
"ALDH6A1","turquoise"
"ALDH9A1","green"
"ALDOA","red"
"ALDOC","turquoise"
"ALG11 ","grey"
"ALG13","blue"
"ALG14","grey"
"ALG2","blue"
"ALG3","turquoise"
"ALG5","turquoise"
"ALG6","yellow"
"ALG8","blue"
"ALG9","turquoise"
"ALKBH1","blue"
"ALKBH3","blue"
"ALKBH4","grey"
"ALKBH5","turquoise"
"ALKBH6","grey"
"ALKBH7","turquoise"
"ALMS1","turquoise"
"ALOX12","grey"
"ALOX15","brown"
"ALOX15B","grey"
"ALOX5","black"
"ALOX5AP","black"
"ALPK1","red"
"ALPK3","brown"
"ALPL","red"
"ALS2","blue"
"ALS2CL","brown"
"AMAC1","brown"
"AMAC1L2","brown"
"AMACR","grey"
"AMACR ","grey"
"AMBRA1","grey"
"AMD1","green"
"AMDHD2","grey"
"AMELX","brown"
"AMFR","pink"
"AMH","brown"
"AMHR2","brown"
"AMICA1","green"
"AMIGO2","blue"
"AMIGO3","brown"
"AMMECR1","turquoise"
"AMMECR1L","blue"
"AMN","brown"
"AMN1","yellow"
"AMOTL1","grey"
"AMPD2","green"
"AMPD3","black"
"AMPH","grey"
"AMT","grey"
"AMY1A ","green"
"AMY2B","grey"
"AMZ2","grey"
"ANAPC1","turquoise"
"ANAPC10","blue"
"ANAPC11","turquoise"
"ANAPC13","blue"
"ANAPC16","blue"
"ANAPC4","blue"
"ANAPC5","turquoise"
"ANAPC7","blue"
"ANG","grey"
"ANGEL1","turquoise"
"ANGEL2","blue"
"ANGPT1","grey"
"ANK1","pink"
"ANK3","turquoise"
"ANKDD1A","grey"
"ANKFY1","grey"
"ANKH","pink"
"ANKH ","blue"
"ANKHD1","grey"
"ANKHD1-EIF4EBP3 ","green"
"ANKHD1 ","green"
"ANKIB1","turquoise"
"ANKK1","brown"
"ANKLE1","brown"
"ANKLE2","blue"
"ANKMY2","blue"
"ANKRA2","yellow"
"ANKRD10","blue"
"ANKRD11","green"
"ANKRD12","yellow"
"ANKRD13A","green"
"ANKRD13C","blue"
"ANKRD13D","grey"
"ANKRD17","green"
"ANKRD20A5","grey"
"ANKRD22","black"
"ANKRD23 ","brown"
"ANKRD27","yellow"
"ANKRD28","yellow"
"ANKRD32","yellow"
"ANKRD34B","black"
"ANKRD35","grey"
"ANKRD36","turquoise"
"ANKRD36 ","blue"
"ANKRD36B ","grey"
"ANKRD37","grey"
"ANKRD40","blue"
"ANKRD42","grey"
"ANKRD44","green"
"ANKRD46","brown"
"ANKRD49","yellow"
"ANKRD50","yellow"
"ANKRD52","brown"
"ANKRD55","black"
"ANKRD57","grey"
"ANKRD58","grey"
"ANKRD6","black"
"ANKRD9","pink"
"ANKS1A","black"
"ANKS3","brown"
"ANKS6","brown"
"ANKZF1","green"
"ANLN","grey"
"ANO10","black"
"ANO6","grey"
"ANO7","brown"
"ANP32A","red"
"ANP32B","pink"
"ANP32E","yellow"
"ANPEP","green"
"ANTXR2","red"
"ANXA1","black"
"ANXA11","red"
"ANXA2","turquoise"
"ANXA2P2","turquoise"
"ANXA3","black"
"ANXA4","grey"
"ANXA5","grey"
"ANXA6","turquoise"
"ANXA7","yellow"
"AOAH","green"
"AOC2","green"
"AOC3","grey"
"AP1AR","yellow"
"AP1B1","grey"
"AP1G1","red"
"AP1G2","green"
"AP1M1","red"
"AP1S1","grey"
"AP1S2","yellow"
"AP2A1","brown"
"AP2A2","grey"
"AP2B1","pink"
"AP2M1","pink"
