"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0009617","response to bacterium","32/231","419/9179",0.0763723150357995,3.03472502040521,6.84979718691007,1.55868222662361e-08,4.78983048241436e-05,4.34462161694666e-05,"ADM/ANXA3/BPI/CD55/CHIT1/CLEC4D/CLEC4E/EMILIN2/FAM20A/FCAR/FCER1G/FCGR1A/FKBP5/HMGB2/HP/HPGD/IRAK3/ITGAM/LCN2/LRG1/LTF/MAPK14/MMP8/MMP9/NAIP/NLRC4/PGLYRP1/S100A12/S100A8/SNX3/TRIB1/TSPO",32
"BP","GO:0050727","regulation of inflammatory response","23/231","255/9179",0.0901960784313725,3.5840251252016,6.72363408946114,9.98505613995761e-08,0.000153420387590449,0.000139160150834778,"ALOX5/ANXA1/BST1/CST7/FCGR1A/HGF/IER3/IL1R1/LDLR/LILRA5/MAPK14/MMP8/MMP9/NAIP/NLRC4/OSM/PGLYRP1/PSMA6/RABGEF1/S100A12/S100A8/SOCS3/TNFAIP6",23
"BP","GO:0002274","myeloid leukocyte activation","18/231","175/9179",0.102857142857143,4.08712430426716,6.62479474233595,3.79733724565763e-07,0.00038897391186353,0.000352819264087769,"ANXA1/ANXA3/BATF/BPI/CD177/CLEC4D/CST7/FCAR/FCER1G/IL18RAP/ITGAM/JMJD6/LDLR/MMP8/PLSCR1/RABGEF1/S100A12/STXBP2",18
"BP","GO:0042742","defense response to bacterium","17/231","175/9179",0.0971428571428571,3.86006184291899,6.13753149931006,1.80620363226087e-06,0.00138761594048441,0.00125863874163863,"ADM/ANXA3/BPI/CLEC4D/CLEC4E/EMILIN2/FCER1G/FCGR1A/HMGB2/HP/LCN2/LTF/NAIP/NLRC4/PGLYRP1/S100A12/S100A8",17
"BP","GO:0042119","neutrophil activation","8/231","38/9179",0.210526315789474,8.36545910230121,7.30990604782089,3.63137931986192e-06,0.00223184572998714,0.00202439840820934,"ANXA1/ANXA3/CD177/FCAR/FCER1G/IL18RAP/ITGAM/STXBP2",8
"BP","GO:0036230","granulocyte activation","8/231","43/9179",0.186046511627907,7.39273129970804,6.75086870635941,9.66000443498982e-06,0.00494753227145395,0.00448766521821983,"ANXA1/ANXA3/CD177/FCAR/FCER1G/IL18RAP/ITGAM/STXBP2",8
"BP","GO:0002764","immune response-regulating signaling pathway","26/231","431/9179",0.0603248259860789,2.39706310703991,4.77328428870171,2.95823322181913e-05,0.012986643843786,0.0117795512351535,"BMX/C3AR1/CEACAM1/CLEC4D/CLEC4E/CR1/FCAR/FCER1G/FCGR1A/FLOT1/IRAK3/ITGAM/LILRA5/LILRA6/LTF/MAP2K6/NAIP/NLRC4/OSCAR/PDE4D/PLSCR1/RABGEF1/S100A8/SMPDL3A/TIFA/ZDHHC3",26
"BP","GO:0002283","neutrophil activation involved in immune response","5/231","17/9179",0.294117647058824,11.6870384517443,7.08604193027771,4.67079648802218e-05,0.0179416970096152,0.0162740382898457,"ANXA3/CD177/FCER1G/ITGAM/STXBP2",5
"BP","GO:0046434","organophosphate catabolic process","14/231","164/9179",0.0853658536585366,3.39209164818921,4.96631088259922,6.40721643569817e-05,0.0218770845632227,0.0198436363996828,"ENTPD1/ENTPD7/HK3/IER3/LDHA/LDLR/PDE4D/PFKFB2/PFKFB3/PLB1/PLBD1/SMPDL3A/UPP1/VNN1",14
"BP","GO:1990266","neutrophil migration","9/231","72/9179",0.125,4.96699134199134,5.42946279450334,7.42190556035722e-05,0.0228075157869778,0.0206875851829747,"BST1/C3AR1/CD177/CKLF/FCER1G/IL1R1/S100A12/S100A8/TNFAIP6",9
"BP","GO:0002252","immune effector process","26/231","463/9179",0.0561555075593952,2.23139135882116,4.36862750001509,9.82857685573366e-05,0.024513523264596,0.0222350213590868,"ANXA1/ANXA3/ARG1/BATF/CD177/CD55/CD59/CEACAM1/CLEC4D/CLEC4E/CR1/ENTPD7/FCAR/FCER1G/FCGR1A/IL18R1/IL18RAP/IL1R1/IRAK3/ITGAM/NDST2/PGLYRP1/RABGEF1/SOCS3/STXBP2/UBE2J1",26
"BP","GO:0097530","granulocyte migration","10/231","92/9179",0.108695652173913,4.31912290607943,5.14072074921681,9.92916303782058e-05,0.024513523264596,0.0222350213590868,"ANXA1/BST1/C3AR1/CD177/CKLF/FCER1G/IL1R1/S100A12/S100A8/TNFAIP6",10
"BP","GO:0001819","positive regulation of cytokine production","22/231","360/9179",0.0611111111111111,2.42830687830688,4.44201617489141,0.000103701855658883,0.024513523264596,0.0222350213590868,"ANXA1/BATF/C3AR1/CD55/CLEC4E/CLEC5A/CYP1B1/FCER1G/FCGR1A/FLOT1/HGF/HMGB2/IL18R1/IL1R1/IRAK3/LILRA5/MAPK14/MMP8/NAIP/NLRC4/OSM/PDE4D",22
"BP","GO:0002446","neutrophil mediated immunity","6/231","32/9179",0.1875,7.45048701298701,5.8727996302323,0.000124619998073891,0.0273540895772192,0.0248115605187718,"ANXA3/ARG1/CD177/FCAR/ITGAM/STXBP2",6
"BP","GO:0008610","lipid biosynthetic process","25/231","450/9179",0.0555555555555556,2.20755170755171,4.22033354095063,0.000159462341835099,0.0316949025042874,0.0287489002111268,"ACER3/ADM/ALOX5/B3GNT5/B4GALT5/BMX/CEACAM1/DHRS9/ERLIN1/FAR2/GK/IDI1/ITPKC/LDLR/MBOAT2/OLAH/P2RX1/PDSS1/PECR/PGS1/PLSCR1/SPTLC2/ST6GALNAC3/TSPO/UGCG",25
"BP","GO:0043312","neutrophil degranulation","4/231","12/9179",0.333333333333333,13.2453102453102,6.81967736750388,0.000165023898492873,0.0316949025042874,0.0287489002111268,"ANXA3/CD177/ITGAM/STXBP2",4
"BP","GO:0031349","positive regulation of defense response","22/231","377/9179",0.0583554376657825,2.31880762915246,4.20124948968789,0.000201534642100204,0.0360335555152579,0.0326842807489349,"ARG1/CLEC4E/EMILIN2/FCGR1A/FLOT1/HMGB2/IL18RAP/IRAK3/LDLR/LILRA5/LTF/MAP2K6/MMP8/NAIP/NLRC4/OSM/PLSCR1/S100A12/S100A8/SMPDL3A/TIFA/ZDHHC3",22
"BP","GO:0002366","leukocyte activation involved in immune response","16/231","229/9179",0.0698689956331878,2.7763095710694,4.37362867512988,0.000211065408159663,0.0360335555152579,0.0326842807489349,"ANXA1/ANXA3/BATF/CD177/CEACAM1/CLEC4D/CLEC4E/CR1/ENTPD7/FCER1G/IL18R1/ITGAM/PGLYRP1/RABGEF1/SOCS3/STXBP2",16
"BP","GO:0002444","myeloid leukocyte mediated immunity","9/231","83/9179",0.108433734939759,4.30871538100454,4.86508306387337,0.000225532770621518,0.0364769581115751,0.0330864696180488,"ANXA3/ARG1/CD177/FCAR/FCGR1A/ITGAM/NDST2/RABGEF1/STXBP2",9
"BP","GO:0002263","cell activation involved in immune response","16/231","232/9179",0.0689655172413793,2.74040901627109,4.31393529890048,0.000244830933816083,0.0376182729808412,0.0341217006707888,"ANXA1/ANXA3/BATF/CD177/CEACAM1/CLEC4D/CLEC4E/CR1/ENTPD7/FCER1G/IL18R1/ITGAM/PGLYRP1/RABGEF1/SOCS3/STXBP2",16
"BP","GO:0002697","regulation of immune effector process","18/231","283/9179",0.0636042402826855,2.52737368638429,4.19332152916599,0.000275957415248802,0.0386574482218057,0.0350642858483366,"ANXA1/ARG1/BATF/CD177/CD55/CD59/CEACAM1/CR1/FCGR1A/IL18R1/IL18RAP/IL1R1/IRAK3/ITGAM/PGLYRP1/RABGEF1/STXBP2/UBE2J1",18
"BP","GO:0050832","defense response to fungus","6/231","37/9179",0.162162162162162,6.44366444366444,5.33075384958588,0.000287809947030246,0.0386574482218057,0.0350642858483366,"ARG1/CLEC4D/CLEC4E/LTF/S100A12/S100A8",6
"BP","GO:0031348","negative regulation of defense response","14/231","189/9179",0.0740740740740741,2.94340227673561,4.33741315501793,0.000289333325447944,0.0386574482218057,0.0350642858483366,"ALOX5/ARG1/CEACAM1/CR1/CST7/HGF/IER3/IRAK3/LDLR/MAPK14/PGLYRP1/RABGEF1/SOCS3/TNFAIP6",14
"BP","GO:0001906","cell killing","12/231","149/9179",0.0805369127516778,3.20020918678637,4.35041073267323,0.000367598458965141,0.0446214242652333,0.040473917637261,"ARG1/CD55/CD59/CEACAM1/CR1/FCGR1A/IL18RAP/ITGAM/LTF/PGLYRP1/S100A12/STXBP2",12
"BP","GO:0032102","negative regulation of response to external stimulus","17/231","265/9179",0.0641509433962264,2.54909744343707,4.1113304823181,0.000369355905611836,0.0446214242652333,0.040473917637261,"ALOX5/ARG1/CEACAM1/CR1/CST7/HGF/IER3/IRAK3/LDLR/LTF/MAPK14/PGLYRP1/RABGEF1/SERPINB2/SOCS3/TNFAIP6/TRIB1",17
"BP","GO:0030593","neutrophil chemotaxis","7/231","54/9179",0.12962962962963,5.15095398428732,4.91524750325868,0.000377532388836989,0.0446214242652333,0.040473917637261,"BST1/C3AR1/CKLF/FCER1G/S100A12/S100A8/TNFAIP6",7
"BP","GO:0050728","negative regulation of inflammatory response","10/231","109/9179",0.0917431192660551,3.6454982326542,4.46410200900575,0.000404497434667708,0.0451264603613293,0.0409320112479832,"ALOX5/CST7/HGF/IER3/LDLR/MAPK14/PGLYRP1/RABGEF1/SOCS3/TNFAIP6",10
"BP","GO:0009595","detection of biotic stimulus","5/231","26/9179",0.192307692307692,7.64152514152514,5.44866105687579,0.000412619842493189,0.0451264603613293,0.0409320112479832,"DACH1/NAIP/NLRC4/PGLYRP1/TSPO",5
"BP","GO:0071621","granulocyte chemotaxis","8/231","72/9179",0.111111111111111,4.41510341510341,4.67411580545006,0.000425859860227318,0.0451264603613293,0.0409320112479832,"ANXA1/BST1/C3AR1/CKLF/FCER1G/S100A12/S100A8/TNFAIP6",8
"BP","GO:1901292","nucleoside phosphate catabolic process","11/231","132/9179",0.0833333333333333,3.31132756132756,4.29747340185758,0.000481576700486293,0.0493295066864793,0.0447443895750072,"ENTPD1/ENTPD7/HK3/IER3/LDHA/PDE4D/PFKFB2/PFKFB3/SMPDL3A/UPP1/VNN1",11
"BP","GO:0019221","cytokine-mediated signaling pathway","20/231","352/9179",0.0568181818181818,2.25772333726879,3.86604510623036,0.000555445069473303,0.055060732209402,0.0499429047186862,"ARG1/AZI2/CEACAM1/FCER1G/IL18R1/IL18RAP/IL1R1/IL1R2/IL1RN/IRAK3/LILRA5/LILRA6/MMP8/NAIP/OSM/RABGEF1/SOCS3/TIFA/TXNDC17/UGCG",20
"BP","GO:0001818","negative regulation of cytokine production","14/231","204/9179",0.0686274509803922,2.72697563874034,4.00775436059507,0.000626837224038844,0.0601959621709802,0.0546008213570677,"ANXA1/ARG1/BPI/CEACAM1/CR1/HGF/IL1R2/IRAK3/LILRA5/LTF/PGLYRP1/RABGEF1/SERPINB1/TSPO",14
"BP","GO:2000377","regulation of reactive oxygen species metabolic process","10/231","117/9179",0.0854700854700855,3.3962333962334,4.19109058343672,0.000710446360535045,0.066157626240127,0.0600083560668835,"ALOX5/BST1/CD177/CYP1B1/GADD45A/HP/IER3/ITGAM/MAPK14/TSPO",10
"BP","GO:0002292","T cell differentiation involved in immune response","8/231","79/9179",0.10126582278481,4.02389172009425,4.33686710503723,0.000798390147608843,0.0721603801059404,0.0654531613271893,"ANXA1/BATF/CLEC4D/CLEC4E/ENTPD7/FCER1G/IL18R1/SOCS3",8
"BP","GO:0002698","negative regulation of immune effector process","9/231","99/9179",0.0909090909090909,3.61235733963007,4.19879126433495,0.000838922572428929,0.07365740185926,0.0668110367456182,"ANXA1/ARG1/CD55/CD59/CEACAM1/CR1/IRAK3/PGLYRP1/RABGEF1",9
"BP","GO:0009620","response to fungus","6/231","46/9179",0.130434782608696,5.18294748729531,4.56953100482548,0.000960287909847337,0.0787551319497966,0.0714349390799532,"ARG1/CLEC4D/CLEC4E/LTF/S100A12/S100A8",6
"BP","GO:0008015","blood circulation","16/231","263/9179",0.0608365019011407,2.41739502576004,3.74714740401158,0.000972320613719306,0.0787551319497966,0.0714349390799532,"ADM/ASPH/C3AR1/CEACAM1/EMILIN2/FGF13/GCLM/IER3/KCNE1/KCNMA1/MAP2K6/MEF2A/NDST2/P2RX1/PDE4D/TBC1D8",16
"BP","GO:0030148","sphingolipid biosynthetic process","7/231","63/9179",0.111111111111111,4.41510341510341,4.37007615014283,0.000973867560719905,0.0787551319497966,0.0714349390799532,"ACER3/B3GNT5/B4GALT5/P2RX1/SPTLC2/ST6GALNAC3/UGCG",7
"BP","GO:0002286","T cell activation involved in immune response","9/231","102/9179",0.0882352941176471,3.5061115355233,4.08927523700951,0.00104010436277491,0.081954889918136,0.07433728347174,"ANXA1/BATF/CEACAM1/CLEC4D/CLEC4E/ENTPD7/FCER1G/IL18R1/SOCS3",9
