"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.106846047074203,3.28080217126461,0.502815847058978,5985.53773746187,6028.36927875052,6589.15204318177
2,0.251844036967528,-3.1686522880192,0.723431301010752,3251.56182741794,3252.64482860017,4063.6918241033
3,0.375080717841803,-3.10333150564801,0.842397072917664,1865.03783510715,1827.91251744626,2686.02309933253
4,0.432012167168059,-2.64656619146881,0.899145897189406,1121.69156397535,1079.51003281018,1867.55589891002
5,0.45445284403633,-2.30365082067112,0.90883336344464,702.879643252124,669.589022766193,1347.7284835239
6,0.483701722752003,-2.07510692647338,0.912611120911826,456.308933537869,431.052679432543,1000.33150887881
7,0.513273077506488,-1.94346928767285,0.911412218329713,305.416824493045,285.286594729739,758.961960403987
8,0.542918556903932,-1.87879393183888,0.905344946408121,209.88996161543,192.698153396806,586.105097063558
9,0.570940823356213,-1.84176301322891,0.90549741673682,147.58950840436,132.263379167948,459.285235832354
10,0.606042475070563,-1.77549523574192,0.91534818679311,105.885701855581,92.0577768625974,364.381969753911
11,0.646070485603379,-1.73560533695423,0.92810262260308,77.321946189829,64.9260347699278,292.17693961687
12,0.689239606442486,-1.69101872550462,0.939775563402831,57.357914576135,46.308958423773,236.460207100122
13,0.73518996312676,-1.65027263887433,0.955179758811714,43.1513401766328,33.4348612294444,192.937985091467
14,0.773086323004243,-1.61649206693252,0.967148150555487,32.8781595072748,24.3705677622049,158.575287017216
15,0.795545889320922,-1.65516331994248,0.971379544565513,25.3413240402045,17.9193890382266,133.830317442542
16,0.815353013511223,-1.67734218115966,0.975086666960211,19.7393289428768,13.2860871415937,114.030974678116
17,0.828966641209878,-1.71397526583971,0.977289008846458,15.5257042960738,9.88525255996305,97.9642611164461
18,0.837682494327781,-1.73597460256006,0.97890821716965,12.3217096249362,7.42872735650148,84.5661236397156
19,0.855177587786359,-1.74704419583873,0.983486483341714,9.86091857243825,5.619463489778,73.3164574933039
20,0.873144526399358,-1.74270336101805,0.987173281161505,7.95335412364911,4.2674303909222,63.8125561247984
