"metric","value"
"samples","802"
"sepsis","760"
"normal","42"
"genes_before_filter","11518"
"genes_in_network","11518"
"modules_non_grey","7"
"primary_sepsis_module","red"
"primary_module_size","757"
"primary_module_correlation","0.405231643169198"
"primary_module_p","4.76598229547568e-33"
"primary_module_FDR","1.90639291819027e-32"
"S100A8_module","red"
"S100A8_MM","0.668532787041806"
"S100A8_GS","0.794717134418865"
"corrected_DEG_n","1508"
"primary_module_DEG_overlap_n","241"
"GO_FDR_significant_n","73"
"KEGG_FDR_significant_n","0"
