"parameter","value"
"input_scale","log2 RMA"
"aggregation","mean probe per gene"
"gene_filter","all genes with finite, nonzero variance; no label-based filtering"
"missing_filter","finite values, nonzero variance, goodSamplesGenes"
"sample_exclusion","none; clustering/PCA/connectivity diagnostic only"
"sample_n","802"
"gene_n","11518"
"soft_threshold_rule","WGCNA estimate; else first signed R2 > 0.90; else 6"
"soft_threshold_power","6"
"networkType","signed"
"TOMType","signed"
"correlation","Pearson"
"minModuleSize","200"
"deepSplit","2"
"pamRespectsDendro","FALSE"
"mergeCutHeight","0.25"
"module_eigengene","WGCNA moduleEigengenes via blockwiseModules"
"module_trait_test","Pearson correlation with Sepsis=1, Normal=0"
"module_test_correction","BH across all module-trait tests"
"random_seed","20260908"
"maxBlockSize","12000"
"blocks","1"
