"gene","MAD","variance","retained","reason"
"TNFAIP8L1",0.24695249328435,0.0776227623172339,TRUE,"retained"
"ARRDC5",0.502720882734,0.246139388791327,TRUE,"retained"
"CGB",0.4813278276072,0.270044775544244,TRUE,"retained"
"FAM86C",0.2422665260729,0.0672510291705539,TRUE,"retained"
"RAB3D",0.4295334849729,0.205731629400524,TRUE,"retained"
"CACNG8",0.2840424791715,0.0918640193176684,TRUE,"retained"
"MORC2",0.6045279320304,0.462217802992833,TRUE,"retained"
"HIST1H2BN",0.2684479534464,0.0956211405103193,TRUE,"retained"
"ZNF600",0.297486497303101,0.140068585587531,TRUE,"retained"
"HIST1H2BH",0.2542851537849,0.109165582386074,TRUE,"retained"
"SNAPC5",0.24921251312685,0.0673972421651619,TRUE,"retained"
"SSX7",0.3633079320318,0.10519521849659,TRUE,"retained"
"PCDHA13",0.2475168542406,0.0827605252172216,TRUE,"retained"
"PCDHA4",0.31912728710625,0.12175454494632,TRUE,"retained"
"TUBB4Q",0.2961693591696,0.17447398609566,TRUE,"retained"
"KRTAP6-1",0.431287447474799,0.188870694997352,TRUE,"retained"
"SFT2D1",0.4562662300056,0.215299389371974,TRUE,"retained"
"POU3F3",0.22172981860575,0.0530723509836601,TRUE,"retained"
"KRTAP10-12",0.458192039932199,0.214407517802488,TRUE,"retained"
"KRTAP10-1",0.3673959546789,0.156199827000695,TRUE,"retained"
"KRTAP10-3",0.3907397570643,0.158587273548384,TRUE,"retained"
"OR2A14",0.402945164454,0.192848866836202,TRUE,"retained"
"RPL38",0.446692066965902,0.188022841253362,TRUE,"retained"
"H3F3B",0.302111324190899,0.139170269274118,TRUE,"retained"
"UNCX",0.4331062766919,0.255001320755121,TRUE,"retained"
"TMEM211",0.24794251870815,0.0776371542933894,TRUE,"retained"
"DUX4",0.42237571026336,0.194534464497957,TRUE,"retained"
"TCEAL1",0.2997835421154,0.128941563579488,TRUE,"retained"
"HIST2H2AC",0.3686968487055,0.146708480855496,TRUE,"retained"
"WDFY4",0.555172068318,0.329123652615048,TRUE,"retained"
"SCAND1",0.2866409209965,0.0826065810156312,TRUE,"retained"
