"gene","module","module_membership","gene_significance","gene_significance_p","gene_significance_FDR"
"TNFAIP8L1","blue",0.586227449371801,-0.42728954778957,6.25206299113056e-37,8.17380948148034e-36
"ARRDC5","blue",0.376670713798001,-0.262758888900542,3.94162496913862e-14,1.48267917683013e-13
"CGB","turquoise",0.939899851809212,0.0483122231024446,0.171673182024348,0.201152768113574
"FAM86C","turquoise",0.684255412249677,-0.0727692111775724,0.0393686235216201,0.0508007848669079
"RAB3D","black",0.612145049351934,0.178628385062996,3.54677547515435e-07,8.19000800377462e-07
"CACNG8","turquoise",0.641724461018856,0.11110931596463,0.00162474943066734,0.00254126343596231
"MORC2","blue",0.785661243575091,-0.520396415410501,7.38213427780613e-57,3.7292729215689e-55
"HIST1H2BN","grey",0.132081270491408,0.171193881448366,1.07916005960521e-06,2.39171937012368e-06
"ZNF600","blue",0.568894031306924,-0.46954031008973,3.23778934414846e-45,7.26956289783664e-44
"HIST1H2BH","grey",0.255347964590531,0.0434817457842158,0.218679502734569,0.251698862046245
"SNAPC5","blue",0.565039360370558,-0.282076575405857,3.89649826413808e-16,1.65364285211284e-15
"SSX7","turquoise",0.805828293177316,-0.0129044665538155,0.715190098015758,0.743462053153926
"PCDHA13","turquoise",0.610646273392726,0.150368968604535,1.90210195417339e-05,3.75015582132302e-05
"PCDHA4","turquoise",0.847901256812657,0.109873628228184,0.00183220616360302,0.00284335092864182
"TUBB4Q","turquoise",0.71697302546695,0.117045097947877,0.000897207115228279,0.00145324589413575
"KRTAP6-1","turquoise",0.717191990981958,0.250300164658066,6.37857950496562e-13,2.23376341557294e-12
"SFT2D1","brown",0.720383365076589,0.317845209411348,2.76876304316991e-20,1.49160957582933e-19
"POU3F3","turquoise",0.759569144892602,0.0758036648848667,0.0318354580345708,0.0416257016281288
"KRTAP10-12","turquoise",0.808992463533906,0.0747783772515581,0.0342296312964145,0.0445035436586637
"KRTAP10-1","turquoise",0.780288779554276,0.0960447095746286,0.00648879875920823,0.00935628243722589
"KRTAP10-3","turquoise",0.811255365577013,0.073442400062585,0.0375783569907536,0.0486323051482584
"OR2A14","turquoise",0.887620994853579,0.167098391377092,1.95256713665462e-06,4.21786726931506e-06
"RPL38","blue",0.608562697900179,-0.328302450035516,1.31192085745201e-21,7.58569499805837e-21
"H3F3B","black",0.677968797264596,0.019754818232651,0.576413873171212,0.612862087250625
"UNCX","turquoise",0.807373178062884,0.106810653581914,0.00245538644927121,0.00375479834342881
"TMEM211","turquoise",0.750425358487601,0.163324310737201,3.33033328439634e-06,7.04735968577569e-06
"DUX4","turquoise",0.919940741403552,0.0801574143218042,0.0231991245482736,0.0309232168206244
"TCEAL1","yellow",0.538555456192147,-0.259778449294581,7.77732829949292e-14,2.87481602546725e-13
"HIST2H2AC","red",0.469392807531713,0.335701364488891,1.41004923663446e-22,8.59764272501629e-22
"WDFY4","black",0.455095454479342,-0.0389378931930563,0.270721071828734,0.305972456611065
"SCAND1","turquoise",0.373155160521669,0.170522192425089,1.19053643365355e-06,2.6254257405364e-06
"FAM127A","red",0.553218072919167,-0.00103213298429623,0.976717829476456,0.979609540222032
"NSUN5","grey",0.474223898068825,0.0311500522080396,0.378320507424008,0.416666246367348
"ACOXL","turquoise",0.526108070334796,0.105529878118633,0.00276918450144039,0.00420507146837052
"VPS54","brown",0.819690853657699,0.13520159331838,0.000122768589454725,0.000221152426233895
"PARD6A","grey",0.00739056595233454,-0.0459121125042546,0.193988591558819,0.225363610651053
"RPL36","blue",0.630236515674687,-0.273717776305031,3.0057924548499e-15,1.21391015059471e-14
"UQCRHL","grey",0.343588099761093,0.117169244469475,0.000885872286425043,0.00143569396300037
"RPL9","yellow",0.41842370632551,0.17136346565862,1.05266430700429e-06,2.33614402467735e-06
"IFITM3","grey",-0.193471439973901,0.138665926717177,8.15197214099292e-05,0.00014977574592432
"LCE1D","turquoise",0.854971225026839,0.0632392123787603,0.0734687040643319,0.091086353969805
"LCE1F","turquoise",0.703120353163478,0.0541372399439378,0.125552680543366,0.150230186422034
"LCE1A","turquoise",0.842922445271666,0.0704941380124169,0.0459627090028112,0.05878286501159
"BAI1","turquoise",0.685438651350203,0.0632718687713445,0.0733199140439368,0.0909138518632861
"CRISP2","grey",0.230903416748642,0.145258555277191,3.64078407197453e-05,6.95778180537625e-05
"C5orf36","brown",0.551321342095951,0.231351075604885,3.31784381624643e-11,1.03619644998716e-10
"CHST7","blue",0.456497847093342,-0.402175363292878,1.56148415387822e-32,1.65153117395494e-31
"RSRC1","brown",0.348262958945907,0.0441717266574783,0.211451305035937,0.244086603668462
"KRTAP10-10","turquoise",0.844263162125347,0.135792439136784,0.000114566209470322,0.000207024411778973
"PTMS","turquoise",0.807731098300563,0.113902261198564,0.00123290237117517,0.00195869924292353
"UTS2R","turquoise",0.811565709171441,0.0915124474613817,0.00951436509004231,0.0133952398370746
"FIG4","red",0.740578293852447,0.0771583023853565,0.0288930675071603,0.0380071210081627
"GP1BB","turquoise",0.453189675790251,0.218198428523007,4.23650775280507e-10,1.23253590039931e-09
"KLF7","red",0.841254645567561,0.282565780718141,3.44986926807482e-16,1.47005528041753e-15
"AURKAIP1","black",0.494455274473462,0.0831241671579388,0.0185502576236826,0.0250306779884696
"C15orf40","yellow",0.566024445873096,-0.174511341534855,6.60646913715425e-07,1.4934899219184e-06
"TRPT1","black",0.438042100045435,0.0859699802056951,0.0148774528290944,0.0203465330901816
"KRT33A","turquoise",0.82270701022025,0.139638630522072,7.25397730036148e-05,0.000134111252882124
"NOP16","blue",0.626259927006208,-0.286448823514431,1.30139160151297e-16,5.67123835883691e-16
"MLXIPL","turquoise",0.814579917282103,0.186029653735554,1.11776907190241e-07,2.69227607071768e-07
"LHB","turquoise",0.858634389156102,0.055992072791793,0.11309288263273,0.136369746876443
"LOC100289135","red",0.442998613608824,0.220979831626759,2.50500639172638e-10,7.38297431420278e-10
"HLA-C","grey",-0.186094548669531,-0.0129734696991059,0.713733951245186,0.742216292022577
"TTN","grey",0.31075332984626,-0.0305208616271628,0.388032077122457,0.42634298047281
"KRTAP10-8","turquoise",0.89264540181282,0.066718519547811,0.0589454809767615,0.0741032580102968
"NKX1-2","turquoise",0.868746739205102,0.0788394372721128,0.0255690393946389,0.033866627845843
"C11orf90","grey",0.0989625944129733,0.0852265972010129,0.015769251995902,0.0214947034897988
"CBWD1","yellow",0.648117774339688,-0.128356240885794,0.000268002290372933,0.000463491048125441
"DSN1","yellow",0.529447562711532,-0.242730446444378,3.21997097574238e-12,1.08083418789996e-11
"SP9","turquoise",0.495227394649989,0.128137620999927,0.000274598710806087,0.000474258202288876
"GH1","turquoise",0.436817863631641,-0.0183358180014532,0.604111694437525,0.639259654966023
"GSTP1","blue",0.662853684532746,-0.280270737586737,6.0944945912264e-16,2.55911005110265e-15
"ADAMTS15","turquoise",0.816129536846622,0.149504880985748,2.1259953842571e-05,4.17087631338329e-05
"EBI3","turquoise",0.381322554174587,0.116736550966767,0.000925961732437076,0.00149687399778389
"COX7C","grey",0.447943313399398,0.267877814910028,1.20217394363102e-14,4.69696047582838e-14
"LOC100291837","blue",0.612578109675174,-0.169197358516112,1.4434214089255e-06,3.15830695060865e-06
"CST3","green",0.528023354986762,-0.269005801082635,9.22206559081813e-15,3.62648519887481e-14
"TIMP1","black",0.491840431586916,0.318786443495362,2.11446185923173e-20,1.14933325599958e-19
"ATP6V0E1","red",0.676615672794069,0.302666056059149,1.87777305938503e-18,9.102773610268e-18
"SPDEF","turquoise",0.769136883675198,0.138115404773365,8.70567360389095e-05,0.000159643287007827
"Septin 2","brown",0.599139966841061,-0.0608112249428245,0.08524052288871,0.104714200366058
"SERPING1","grey",-0.330371377287272,-0.00368701460593393,0.916969137209038,0.928741692083512
"NDUFA4","grey",0.60677748305478,0.431796515917171,9.26245368285285e-38,1.28691123665982e-36
"UBA1","black",0.620935830956811,0.0680654960322258,0.0540025179755605,0.0682842246176865
"MDH1","yellow",0.803458580357851,-0.302734360575924,1.84348461000025e-18,8.94785323977364e-18
"TRIM28","blue",0.790176764483058,-0.419239339562861,1.76370665935383e-35,2.10948840108384e-34
"CALR","grey",0.188299581713947,-0.0562704343129897,0.111309966301553,0.134318301923656
"RPS11","blue",0.591900142065056,-0.222656957818936,1.81858494869127e-10,5.4181224622416e-10
