"gene","module"
"TNFAIP8L1","blue"
"ARRDC5","blue"
"CGB","turquoise"
"FAM86C","turquoise"
"RAB3D","black"
"CACNG8","turquoise"
"MORC2","blue"
"HIST1H2BN","grey"
"ZNF600","blue"
"HIST1H2BH","grey"
"SNAPC5","blue"
"SSX7","turquoise"
"PCDHA13","turquoise"
"PCDHA4","turquoise"
"TUBB4Q","turquoise"
"KRTAP6-1","turquoise"
"SFT2D1","brown"
"POU3F3","turquoise"
"KRTAP10-12","turquoise"
"KRTAP10-1","turquoise"
"KRTAP10-3","turquoise"
"OR2A14","turquoise"
"RPL38","blue"
"H3F3B","black"
"UNCX","turquoise"
"TMEM211","turquoise"
"DUX4","turquoise"
"TCEAL1","yellow"
"HIST2H2AC","red"
"WDFY4","black"
"SCAND1","turquoise"
"FAM127A","red"
"NSUN5","grey"
"ACOXL","turquoise"
"VPS54","brown"
"PARD6A","grey"
"RPL36","blue"
"UQCRHL","grey"
"RPL9","yellow"
"IFITM3","grey"
"LCE1D","turquoise"
"LCE1F","turquoise"
"LCE1A","turquoise"
"BAI1","turquoise"
"CRISP2","grey"
"C5orf36","brown"
"CHST7","blue"
"RSRC1","brown"
"KRTAP10-10","turquoise"
"PTMS","turquoise"
"UTS2R","turquoise"
"FIG4","red"
"GP1BB","turquoise"
"KLF7","red"
"AURKAIP1","black"
"C15orf40","yellow"
"TRPT1","black"
"KRT33A","turquoise"
"NOP16","blue"
"MLXIPL","turquoise"
"LHB","turquoise"
"LOC100289135","red"
"HLA-C","grey"
"TTN","grey"
"KRTAP10-8","turquoise"
"NKX1-2","turquoise"
"C11orf90","grey"
"CBWD1","yellow"
"DSN1","yellow"
"SP9","turquoise"
"GH1","turquoise"
"GSTP1","blue"
"ADAMTS15","turquoise"
"EBI3","turquoise"
"COX7C","grey"
"LOC100291837","blue"
"CST3","green"
"TIMP1","black"
"ATP6V0E1","red"
"SPDEF","turquoise"
"Septin 2","brown"
"SERPING1","grey"
"NDUFA4","grey"
"UBA1","black"
"MDH1","yellow"
"TRIM28","blue"
"CALR","grey"
"RPS11","blue"
"COX4I1","blue"
"LAPTM4B","turquoise"
"PLD3","turquoise"
"PHB2","blue"
"C4orf46","yellow"
"CDKN1A","turquoise"
"FKBP1A","red"
"MTCH1","green"
"CD81","blue"
"MUTED","yellow"
"MAGED2","blue"
"APEX1","blue"
"SLC25A5","blue"
"ILF2","blue"
"COL6A1","turquoise"
"PSMB4","yellow"
"PRDX2","turquoise"
"EPAS1","red"
"TSC22D1","grey"
"DDB1","turquoise"
"LOC728622","turquoise"
"SKP1","turquoise"
"LY6E","grey"
"CCT2","yellow"
"BCAP31","red"
"FLNA","grey"
"NHP2L1","blue"
"ARF4","brown"
"AKR1B1","blue"
"TMBIM1","brown"
"RBBP7","blue"
"PDIA6","yellow"
"DAP","turquoise"
"DNAJB1","grey"
"ERGIC3","blue"
"SSR2","blue"
"COX8A","red"
"DHCR24","grey"
"LYZ","yellow"
"IGFBP4","turquoise"
"ARHGDIB","black"
"TUFM","blue"
"TXN","red"
"SRPR","green"
"DDX17","green"
"TFRC","grey"
"MCL1","brown"
"PGRMC1","brown"
"AMY1A","green"
"MORF4L1","brown"
"HBG1","turquoise"
"RPS25","blue"
"CTSK","grey"
