"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0009617","response to bacterium","31/216","419/9179",0.0739856801909308,3.14404888181738,6.97370938334421,1.12704904090551e-08,2.93032373031377e-05,2.57729618426627e-05,"TRIB1/TSPO/ADM/MAPK14/FCER1G/MMP9/EMILIN2/LTF/ANXA3/S100A12/LRG1/IRAK3/CD55/BPI/MMP8/TLR5/ITGAM/PGLYRP1/HP/CLEC4D/NLRC4/FCGR1A/FAM20A/CLEC4E/NAIP/FCAR/FKBP5/HPGD/S100A8/CHIT1/LCN2",31
"BP","GO:0002274","myeloid leukocyte activation","19/216","175/9179",0.108571428571429,4.61378306878307,7.49268653941669,2.5378056877475e-08,2.93032373031377e-05,2.57729618426627e-05,"ANXA1/STXBP2/FCER1G/LDLR/THBS1/ANXA3/BATF/CST7/S100A12/BPI/MMP8/CD177/IL18RAP/ITGAM/CLEC4D/JMJD6/FCAR/RABGEF1/PLSCR1",19
"BP","GO:0050727","regulation of inflammatory response","23/216","255/9179",0.0901960784313725,3.83291575889615,7.12193775642673,2.8514340547977e-08,2.93032373031377e-05,2.57729618426627e-05,"MAPK14/ANXA1/IL1R1/SOCS3/MMP9/LDLR/IER3/CST7/S100A12/ALOX5/OSM/MMP8/BST1/HGF/PGLYRP1/NLRC4/FCGR1A/NAIP/LILRA5/RABGEF1/TNFAIP6/S100A8/PSMA6",23
"BP","GO:0042119","neutrophil activation","8/216","38/9179",0.210526315789474,8.94639376218323,7.61972380218537,2.1992733197192e-06,0.00169508991117357,0.00149087580831491,"ANXA1/STXBP2/FCER1G/ANXA3/CD177/IL18RAP/ITGAM/FCAR",8
"BP","GO:0042742","defense response to bacterium","16/216","175/9179",0.0914285714285714,3.88529100529101,5.98225755839959,3.39122369079126e-06,0.00209102852774189,0.00183911415315332,"ADM/FCER1G/EMILIN2/LTF/ANXA3/S100A12/BPI/PGLYRP1/HP/CLEC4D/NLRC4/FCGR1A/CLEC4E/NAIP/S100A8/LCN2",16
"BP","GO:0036230","granulocyte activation","8/216","43/9179",0.186046511627907,7.90611541774333,7.04635011827456,5.89329550218576e-06,0.00302817167220645,0.00266335600239132,"ANXA1/STXBP2/FCER1G/ANXA3/CD177/IL18RAP/ITGAM/FCAR",8
"BP","GO:0002764","immune response-regulating signaling pathway","26/216","431/9179",0.0603248259860789,2.56352582280657,5.16135237637804,8.94439170521617e-06,0.00393936566102592,0.00346477489212584,"ZDHHC3/FCER1G/LTF/CEACAM1/SMPDL3A/PDE4D/MAP2K6/IRAK3/BMX/LILRA3/OSCAR/TLR5/LILRA6/ITGAM/CR1/CLEC4D/NLRC4/FCGR1A/CLEC4E/NAIP/FCAR/LILRA5/RABGEF1/FLOT1/PLSCR1/S100A8",26
"BP","GO:0002252","immune effector process","27/216","463/9179",0.0583153347732181,2.47813174946004,5.06663051301888,1.10351541110966e-05,0.00425267251556387,0.00374033644607697,"ANXA1/IL1R1/CD59/STXBP2/FCER1G/NDST2/SOCS3/C1QB/CEACAM1/ANXA3/BATF/IRAK3/JAK3/ENTPD7/CD55/CD177/IL18RAP/ITGAM/PGLYRP1/CR1/CLEC4D/IL18R1/FCGR1A/CLEC4E/FCAR/RABGEF1/ARG1",27
"BP","GO:0001818","negative regulation of cytokine production","16/216","204/9179",0.0784313725490196,3.33297022512709,5.2309582670968,2.39154379738852e-05,0.00802614515619345,0.00705920409797509,"TSPO/ANXA1/THBS1/LTF/CEACAM1/IRAK3/JAK3/IL1R2/BPI/HGF/PGLYRP1/CR1/LILRA5/RABGEF1/SERPINB1/ARG1",16
"BP","GO:0002366","leukocyte activation involved in immune response","17/216","229/9179",0.074235807860262,3.15467814976549,5.12581390797984,2.70444601138561e-05,0.00802614515619345,0.00705920409797509,"ANXA1/STXBP2/FCER1G/SOCS3/CEACAM1/ANXA3/BATF/JAK3/ENTPD7/CD177/ITGAM/PGLYRP1/CR1/CLEC4D/IL18R1/CLEC4E/RABGEF1",17
